twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1009698957763719174,EnockKobinaEsse,Thu Jun 21 07:26:05 +0000 2018,False,"Greater Accra, Ghana",250,3190,624,4166
 
created_at,full_text,retweet_count,favorite_count,twitter_url
cold
2020-05-22 22:56:51,"Ex Bayern and French international wingback Bixente Lizarazu:

""Haaland the best young striker in the world? He is a very good striker, but for me,Mbappé is.What he's doing in Dortmund is impressive.Physically,he's a monster and he's cold blooded.""He lacks his back game"" https://t.co/8YTp891hQq",1,0,https://twitter.com/EnockKobinaEsse/status/1263967087871082498
2020-05-22 19:07:17,"Favourite rap song ?

 Lukaku:”Euhm old school i would say 2 of america’s most wanted by 2pac and snoop .Right now i like cold hearted from MeekMill.”Yeah sometimes i listening to BurnaBoy.” https://t.co/AA2CR751QC",1,2,https://twitter.com/EnockKobinaEsse/status/1263909316182016006
2020-03-11 06:26:57,"Juan Sebastián Verón (ex-Argentina) ""The Copa Libertadores is the opposite of the Champions League. I can't imagine a player from Barça or any European team taking a shower with cold water, playing 3,000 meters above sea level, spending a week away from home to play a game."" https://t.co/sX5CV4LlC0",0,1,https://twitter.com/EnockKobinaEsse/status/1237626042845671425
Touch
2020-05-22 13:37:53,"CR7's mom Dolores Aveiro denies rift with Georgina Rodriguez after 'unfollowing star's girlfriend on Instagram'

“It was unintentional. As you know, I only touch my Instagram superficially.”I really only know how to publish photos and read your comments. Be well and be happy."" https://t.co/6EIDePLlia",3,5,https://twitter.com/EnockKobinaEsse/status/1263826419328712704
2020-05-05 08:17:38,"Paulo Dybala: ""I didn't think I could miss football so much, playing and training. I need to go back to practice, see my mates and friends and touch the ball. At home I play, but it's not the same thing. I need to put on my shoes, run, score goals."" https://t.co/asPwNiPdVR",0,2,https://twitter.com/EnockKobinaEsse/status/1257585231378481152
2020-04-23 16:11:30,"Zuniga: “James asked me about Naples, and I told him it’s a little bit like Colombia, where the people are warm, passionate, and fun. I told him to accept, he’d be become a God there, that every time he’d touch the ball at San Paolo, the Napoli fans would rise to their feet”. https://t.co/DH1KZnQptf",0,1,https://twitter.com/EnockKobinaEsse/status/1253355829685862403
2020-03-20 07:33:01,"Romelu Lukaku on misses his mum as he struggles in self-isolation:

My mum has diabetes and they have a higher risk to get into trouble when they get it. So I cannot even go home and touch her.""My mum is not even going out now. She’s just going in the backyard or late at night."" https://t.co/MSvOup3GTa",0,0,https://twitter.com/EnockKobinaEsse/status/1240904162151403520
2020-02-05 06:30:52,"Piqué, Busquets and Messi got in touch with Xavi, that didn't mean they went against Valverde. They value what he did but they saw that the season was failing [ser] https://t.co/kjuRwZ6C5u",0,2,https://twitter.com/EnockKobinaEsse/status/1224943452569337856
covid-19
2020-05-19 22:35:05,"OFFICIAL: Watford confirm that three staff members are among the Premier League's six positive Covid-19 tests.

 All three will now self-isolate for seven days - in line with the protocols set out in Premier League guidelines - before being tested again at a later date. https://t.co/VR5BQ4hnmG",0,0,https://twitter.com/EnockKobinaEsse/status/1262874444151824386
2020-05-19 22:29:00,OFFICIAL : Burnley have this evening confirmed that one of the six positive COVID-19 tests reported by the Premier League on Tuesday came from one of their staff members. https://t.co/nGe2heHmb1,0,0,https://twitter.com/EnockKobinaEsse/status/1262872914988355584
2020-05-19 14:32:38,JUST IN: Premier League will reveal shortly how many (if any) positive tests for Covid-19 have been recorded among its clubs. https://t.co/2doO47mLj0,0,0,https://twitter.com/EnockKobinaEsse/status/1262753034435571712
2020-05-18 14:01:45,"Premier League Players Should Not Be Paid If They Refuse To Train, Says Official. COVID-19 fears

""If you asked people in the street would you train and play football against people being tested twice a week, would you do it for £60,000 a week, they'd all say yes."" https://t.co/FOIY9NB9Du",0,0,https://twitter.com/EnockKobinaEsse/status/1262382874189332480
2020-05-17 21:50:50,Premier League clubs have been told they could face heavy sanctions for serious breaches of new Covid-19 rules amid concerns that the system for testing players could be manipulated. https://t.co/HfDyKeGmQ7,0,0,https://twitter.com/EnockKobinaEsse/status/1262138535773122560
2020-05-14 11:43:20,PSG is clear that between Neymar and Mbappé PSG will prefer Mbappé to stay. But PSG believes that the COVID-19 will be obstacles for Barça to make a good offer . PSG is willing to accept an installment payment from Barça for Neyma. {Lequipe} https://t.co/BE3KNcH3ad,1,0,https://twitter.com/EnockKobinaEsse/status/1260898487849357312
2020-05-14 10:11:51,"Beşiktaş Health Team Consultant Tekin Kerem Ülkü: ""As a result of the second tests performed, positive Covid-19 test results were detected in 8 people. The follow-up and treatment process of the people who test positive was started immediately in accordance."" https://t.co/USTzmYw2OG",0,1,https://twitter.com/EnockKobinaEsse/status/1260875466975649792
2020-05-14 06:51:09,"Clubs are already preparing to play the 2020-21 season behind closed doors.
 
Boris Johnson says a vaccine for Covid-19 may never actually be found.

Playing behind closed doors could see the football clubs lose a total of £1billion. https://t.co/XAvvLrzpYD",1,0,https://twitter.com/EnockKobinaEsse/status/1260824958101487619
2020-05-13 08:00:18,Clubs must appoint ‘Designated Covid-19 Officer’ - not member of own medical team. https://t.co/y6J7SEuKFj,0,0,https://twitter.com/EnockKobinaEsse/status/1260479972466208773
2020-05-12 14:15:57,"As mass activities worldwide fall victim to the COVID-19 pandemic, organizers of the world's foremost bare-biking gathering are planning to turn their annual stripped cycle into a day-long event open to even more pedaling nudists. https://t.co/o2qLmzBOBC",0,2,https://twitter.com/EnockKobinaEsse/status/1260212119951290368
2020-05-12 07:14:36,"Exclusive: The Premier League have started COVID-19 testing with a first trial at Wolves. Non-playing staff have used a drive-through station. It is in the process of being rolled out at all 20 clubs, subject to player consent.

{TheAthleticUK} https://t.co/hTZp8wEkQ1",0,1,https://twitter.com/EnockKobinaEsse/status/1260106081071759360
2020-05-07 12:53:19,"OFFICIAL: No cases of Covid-19 at Barca All test results are negative, so players will return to training tomorrow, Friday https://t.co/TkNm9vjxZ7",0,2,https://twitter.com/EnockKobinaEsse/status/1258379385385684996
2020-05-07 10:18:03,"On Monday, Dembele is expected to be present in Ciutat Esportiva. The Covid-19 will be tested. He will undergo for medical tests and will continue to recover from his injury in Barcelona. He is now in France and he is expected to come to Barça on Monday. https://t.co/XQoKEXHy6Z",0,4,https://twitter.com/EnockKobinaEsse/status/1258340310435889152
2020-04-28 06:45:30,"Olympics will be AXED and not postponed if coronavirus pandemic is not under control by next year.

Yoshiro Mori: ""No. In that case it is cancelled.""mankind is betting"" on Covid-19 being under control by then, and said if it is then ""we'll hold the Olympics in peace next summer"" https://t.co/0u0lefWQFd",0,0,https://twitter.com/EnockKobinaEsse/status/1255025330777214977
2020-04-27 11:40:18,"Ronaldinho on first thing he would do once the situation is resolved:

“The first thing will be to give a big kiss to my mother who has lived through these difficult days since the start of the Covid-19 pandemic in her home.” https://t.co/lPMhnx5tjw",0,0,https://twitter.com/EnockKobinaEsse/status/1254737132620599297
2020-04-11 13:28:10,"Rugani, Matuidi &amp; Dybala have undergone new tests for COVID-19 &amp; waiting for the outcome to see if they have recovered or not. [Sky] https://t.co/1mDa6j6lYK",0,2,https://twitter.com/EnockKobinaEsse/status/1248966072033828865
