twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
2652236505,__TYANCO,Sun Jun 29 04:58:29 +0000 2014,False,"New Orleans, LA / 7th Ward",1195,1101,21948,8725
 
created_at,full_text,retweet_count,favorite_count,twitter_url
test positive
2020-04-06 15:44:57,"Unfortunately I did test positive for COVID-19, please take it serious and STAY HOME. WASH HANDS !!! I’m staying isolated from everyone. Praying everyday I improve and don’t get any worse. Y’all pray for me, I need it just to stay positive about the whole situation ❤️🙏🏽",31,167,https://twitter.com/__TYANCO/status/1247188555509702658
positive for Covid
2020-04-06 15:44:57,"Unfortunately I did test positive for COVID-19, please take it serious and STAY HOME. WASH HANDS !!! I’m staying isolated from everyone. Praying everyday I improve and don’t get any worse. Y’all pray for me, I need it just to stay positive about the whole situation ❤️🙏🏽",31,167,https://twitter.com/__TYANCO/status/1247188555509702658
smell
2020-04-01 00:33:35,me not being able to smell or taste not it,0,0,https://twitter.com/__TYANCO/status/1245147263384649730
2020-03-31 21:42:48,man I real life can’t smell or taste.. wtf!,0,0,https://twitter.com/__TYANCO/status/1245104282615132165
taste
2020-04-01 00:33:35,me not being able to smell or taste not it,0,0,https://twitter.com/__TYANCO/status/1245147263384649730
2020-03-26 11:02:43,boy taste in music trash https://t.co/uLdrlUvgdC,0,0,https://twitter.com/__TYANCO/status/1243131261427879938
medicine
2020-03-17 13:40:13,man my medicine had me knocked out quick 😂,0,0,https://twitter.com/__TYANCO/status/1239909406604746755
cold
2020-03-14 22:57:38,Only for cold seafood tho https://t.co/Ls94xCUkuJ,0,0,https://twitter.com/__TYANCO/status/1238962520825778177
tired
2020-02-14 12:02:00,Man I always get tired asf around 6,0,0,https://twitter.com/__TYANCO/status/1228288277490343936
2020-01-02 20:39:19,man I’m tired asf,1,0,https://twitter.com/__TYANCO/status/1212835788033003520
chill
2020-01-03 06:44:24,Son no way 😂 chill fool 😂😂😂 https://t.co/PrSzfp02BY,1,0,https://twitter.com/__TYANCO/status/1212988061375750144
2020-01-03 06:24:43,@La_shanee Chill 😂😂😂,0,0,https://twitter.com/__TYANCO/status/1212983105516167170
2020-01-03 05:59:35,Son chill 😂😂😂😂 https://t.co/WDwBljipCq,0,0,https://twitter.com/__TYANCO/status/1212976783131324418
2020-01-03 05:36:19,No chill whatsoever 😂😂😂 https://t.co/pmcCm3wAXE,0,0,https://twitter.com/__TYANCO/status/1212970925878120448
