twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
22771961,Acosta,Wed Mar 04 13:48:04 +0000 2009,True,"Washington, DC",1618245,4337,11911,34607
 
created_at,full_text,retweet_count,favorite_count,twitter_url
diabetes
2020-05-26 20:35:04,"Trump at diabetes event at WH: ""I don't use insulin. Should I be?""",7716,44716,https://twitter.com/Acosta/status/1265380958993297409
covid-19
2020-05-22 13:46:17,Large study finds hydroxychloroquine Covid-19 treatments linked to greater risk of death and heart arrhythmia https://t.co/juH7p3i85q,7066,25792,https://twitter.com/Acosta/status/1263828531181740032
2020-05-15 22:14:05,"CDC expecting US to reach a total of 100,000 deaths from COVID-19 by June 1. https://t.co/LZTxUNxa7A",1196,2062,https://twitter.com/Acosta/status/1261419606993825793
2020-05-08 20:22:27,Just got tested again. WH providing COVID-19 tests to members of press after Pence press sec tested positive.,3678,28077,https://twitter.com/Acosta/status/1258854799497465859
2020-04-27 23:44:28,"Many states are far short of Covid-19 testing levels needed for safe reopening, new analysis shows https://t.co/I5ojep4dKo",788,2143,https://twitter.com/Acosta/status/1254919372210085891
2020-04-24 14:31:17,FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems https://t.co/ScY9GogdIg,535,1544,https://twitter.com/Acosta/status/1253692996681371656
2020-04-22 15:03:08,Source close to coronavirus task force said others on panel share concerns of CDC Dir Redfield that “second wave” of COVID-19 could be more devastating as it may combine with flu outbreak: “Influenza and COVID simultaneously could completely overwhelm the health care system.”,6317,18947,https://twitter.com/Acosta/status/1252976236399378432
2020-04-09 18:46:44,"WH: The White House Medical Unit is going to conduct a COVID-19 test on all members of the press who plan to participate in today’s task force briefing, including correspondents, photographers, and technicians.",4012,17643,https://twitter.com/Acosta/status/1248321462714368002
2020-03-28 02:17:45,It’s dangerous for public officials to cry ‘fake news’ during the COVID-19 pandemic https://t.co/9MVssM9evy,1643,7442,https://twitter.com/Acosta/status/1243723923499384832
Hydroxychloroquine
2020-05-22 13:46:17,Large study finds hydroxychloroquine Covid-19 treatments linked to greater risk of death and heart arrhythmia https://t.co/juH7p3i85q,7066,25792,https://twitter.com/Acosta/status/1263828531181740032
2020-05-16 15:03:00,Hydroxychloroquine drug promoted by Trump as coronavirus ‘game changer’ increasingly linked to deaths - The Washington Post https://t.co/OOQqws7mwa,8292,19411,https://twitter.com/Acosta/status/1261673513255161858
2020-04-24 14:31:17,FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems https://t.co/ScY9GogdIg,535,1544,https://twitter.com/Acosta/status/1253692996681371656
2020-04-23 22:28:43,Trump asked why he’s stopped promoting Hydroxychloroquine says: “I haven’t at all.” (It seems he has),1544,10367,https://twitter.com/Acosta/status/1253450756906156033
drug
2020-05-16 15:03:00,Hydroxychloroquine drug promoted by Trump as coronavirus ‘game changer’ increasingly linked to deaths - The Washington Post https://t.co/OOQqws7mwa,8292,19411,https://twitter.com/Acosta/status/1261673513255161858
2020-04-21 22:23:37,"Trump not sounding as certain as he once was about hydroxychloroquine, responding that he will look at new VA study showing the drug is not effective against coronavirus: “always willing to take a look.”",698,4205,https://twitter.com/Acosta/status/1252724700486283264
2020-02-19 16:28:01,"Trump last week: “States with a very powerful death penalty on drug dealers don’t have a drug problem."" https://t.co/UarnvI61C5",555,1653,https://twitter.com/Acosta/status/1230167161857101824
tested positive
2020-05-08 20:22:27,Just got tested again. WH providing COVID-19 tests to members of press after Pence press sec tested positive.,3678,28077,https://twitter.com/Acosta/status/1258854799497465859
2020-05-08 18:28:31,"Trump just said ""Katie"" tested positive for coronavirus.",2271,15183,https://twitter.com/Acosta/status/1258826128346755072
2020-03-21 17:23:43,"Pence says he and Mrs. Pence will be tested for Coronavirus this afternoon, after a staffer in VP office tested positive.",587,3445,https://twitter.com/Acosta/status/1241415202446413826
2020-03-13 18:11:30,"CNN: Brazil’s President Jair Bolsonaro has tested negative for the novel coronavirus according to his Facebook page. The test comes after Bolsonaro’s press secretary, Fabio Wajngarten tested positive for the virus on Thursday.",182,715,https://twitter.com/Acosta/status/1238528123756580864
2020-03-12 19:57:23,"NEW: Source close to president said Trump is telling people close to him that he is indeed concerned about coming into contact with people who have contracted Coronavirus, including Brazilian official who tested positive after coming face to face with Trump at Mar-a-Lago.",4293,18828,https://twitter.com/Acosta/status/1238192382287503362
2020-03-12 17:48:51,"WH statement on Trump interaction with Brazilian official testing positive for Coronavirus: ""Both the President and Vice President had almost no interactions with the individual who tested positive and do not require being tested at this time.""",914,3348,https://twitter.com/Acosta/status/1238160037060714498
fever
2020-04-25 21:22:52,"This is from the WH transcript:  

THE PRESIDENT:  Deborah, have you ever heard of that?  The heat and the light, relative to certain viruses, yes, but relative to this virus?
 
DR. BIRX:  That is *Not as a treatment.  I mean, certainly fever --
 
THE PRESIDENT:  Yeah. https://t.co/TQ8TdwtJA4",9664,30812,https://twitter.com/Acosta/status/1254158962649452551
Chloroquine
2020-04-24 14:31:17,FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems https://t.co/ScY9GogdIg,535,1544,https://twitter.com/Acosta/status/1253692996681371656
Itching
2020-03-23 14:37:22,"Trump itching to scale back social distancing after 15 day-period, aides say https://t.co/NTUnqZVVi9",1183,2848,https://twitter.com/Acosta/status/1242098117073346561
shake
2020-03-13 19:53:35,Trump offered to shake hands with one participant at news conference but that man opted for the elbow bump. https://t.co/KqRnJ2n0b2,1623,8594,https://twitter.com/Acosta/status/1238553816318033922
shaking
2020-03-10 21:13:35,NEW: Source close to Coronavirus task force said Trump’s continued hand shaking has worried some federal health officials who wish he would stop until medical experts have more confidence he won’t contract virus. (He just shook Gen Jack Keene’s hand at Medal of Freedom event) https://t.co/SRuYFVfxuX,780,2497,https://twitter.com/Acosta/status/1237486783480430593
cold
2020-01-31 02:04:01,"Previewing his 2020 message, Trump returning to ugly anti-immigrant rhetoric at rally in Iowa, heaping contempt on migrants heading for the border: “Some of those people are stone cold killers.”",897,2002,https://twitter.com/Acosta/status/1223064357921329155
Touch
2020-01-06 01:00:05,Trump threatens Iran again on AF1: “They’re allowed to kill our people. They’re allowed to torture and maim our people. They’re allowed to use roadside bombs and blow up our people. And we’re not allowed to touch their cultural site?  It doesn’t work that way.” (per pool),3204,9230,https://twitter.com/Acosta/status/1213988573466238981
