twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
938742338536591360,alexhamilton74,Thu Dec 07 12:09:49 +0000 2017,False,"Washington, DC",5953,5603,12469,34035
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 16:59:15,"Don’t forget to wear your mask!

They prevent you from spreading COVID-19 at Target AND prevent police from identifying you if you decide to steal TV’s and burn it down!

Bonus!!

#covid19 #BlackLivesMatter #coronavirus #riots https://t.co/LKfqjpQGJJ",0,1,https://twitter.com/alexhamilton74/status/1266051420442300417
2020-05-27 15:06:25,"@pewresearch Democrats represent 41 of the 44 districts with the highest COVID-19 death tolls. 

Seems relevant https://t.co/fEV7tiKePt",0,0,https://twitter.com/alexhamilton74/status/1265660636534640640
2020-05-27 05:59:07,"COVID-19 is less deadly than the flu. 

Continuing the Lockdown is insane and ridiculous.

Stop.",1,6,https://twitter.com/alexhamilton74/status/1265522906383233026
2020-05-26 23:51:29,"When you’re wearing your Mask Muzzle at the beach make sure you don’t constantly touch it when your face gets sweaty because you will get COVID-19.

Me? I will enjoy the sun maskless, not touch my face, and not get COVID-19 because it doesn’t spread on a windy beach in the sun",3,8,https://twitter.com/alexhamilton74/status/1265430386286485504
2020-05-26 16:56:10,"If COVID-19 comes back next year:

@JoeBiden will keep you locked inside while you and all your friends and family lose your jobs

@realDonaldTrump will let you go outside to work and have fun and keep your job

Biden is #TeamLockdown

Trump is #TeamOpenAmerica

Vote accordingly",3,4,https://twitter.com/alexhamilton74/status/1265325871310700544
2020-05-26 16:05:00,"The ONLY way to prevent a second wave of COVID-19 is to reach herd immunity. 

The Lockdown makes herd immunity take longer and increases the risk that more people will die in the fall, on top of the economic devastation it will cause.

Which is exactly why Democrats support it.",5,7,https://twitter.com/alexhamilton74/status/1265312994088673280
2020-05-26 15:54:37,"@NYGovCuomo @YossiGestetner Also don’t send elderly people with COVID-19 back into nursing homes causing mass death. 

By the way how’d those temporary hospitals work out? Anybody ever even use those or nah?",2,2,https://twitter.com/alexhamilton74/status/1265310379749621761
2020-04-22 11:42:55,"Adam Schiff &amp; Democrats spent 3 years lying about Russian Collusion, which culminated in a sham impeachment vote on the same day COVID-19 hit America.

Dems failed to protect you because they hate Trump so much that attacking him was all they cared about.",3,4,https://twitter.com/alexhamilton74/status/1252925849185202176
2020-04-22 11:24:20,"If it turns out that COVID-19 is less deadly than the flu, then we were tricked into economic suicide by inaccurate computer models.

Antibody tests should tell us pretty soon. 

It appears way more people have it than predicted, meaning the death rate is much lower.",0,6,https://twitter.com/alexhamilton74/status/1252921171412221952
2020-04-16 11:41:14,"Isn’t it weird that COVID-19 doesn’t affect the young and healthy and kills the sick and elderly?

It’s like it was designed to cull the weak from society.

Kinda like someone created it in a lab.

It was China. China created it.",0,6,https://twitter.com/alexhamilton74/status/1250751097620303873
2020-04-16 00:00:15,"Um hey @jack and @twitter, ya’ll gonna reinstate all the accounts you suspended for saying China created COVID-19 in a lab? 

https://t.co/mOqTLXCwkm",0,1,https://twitter.com/alexhamilton74/status/1250574690697072648
2020-04-12 23:12:30,"The COVID-19 shutdown response based on exaggerated computer models is a short-term/emergency version of Climate Change Alarmism.

Give government control over your life and lose your savings because maybe, possibly, not really sure, but this computer model might be right",0,3,https://twitter.com/alexhamilton74/status/1249475509593034768
2020-04-10 12:49:34,"@mahyuta @Barnes_Law Oh by the way I had COVID-19 and now I basically walk around touching railings and doorknobs in public buildings and touching my face and nothing happens. 

Thought you might like to know since half your page is shouting that you can catch it twice.

Keep those alarm bells going",0,0,https://twitter.com/alexhamilton74/status/1248593970332151808
2020-04-10 12:36:39,"Look, we didn’t know COVID-19 would affect the young and old so differently. I get it.

But in hindsight, we clearly should have quarantined the elderly and let everyone else continue working.

Millions less jobs lost, Trillions less debt.

Let’s shift strategies",2,4,https://twitter.com/alexhamilton74/status/1248590719075471361
