twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
17919393,W7VOA,Sat Dec 06 08:56:45 +0000 2008,True,"Washington, DC ",101153,1990,7443,127149
 
created_at,full_text,retweet_count,favorite_count,twitter_url
Hydroxychloroquine
2020-05-26 19:15:54,"Earlier, @WHO announced it had suspended testing hydroxychloroquine in #COVID19 patients due to safety concerns.",10,8,https://twitter.com/W7VOA/status/1265361036087119874
2020-05-26 18:49:21,"""While hydroxychloroquine is currently the subject of many clinical trials, including one in which Cleveland Clinic is participating, results are inconclusive so far. But despite the president’s comments, Cleveland Clinic experts recommend against using it."" #CoronavirusUSA https://t.co/BTUQF824tj",18,20,https://twitter.com/W7VOA/status/1265354352157437952
2020-05-22 12:37:46,"Study of 96,000 hospitalized #coronavirus patients on six continents found those who received hydroxychloroquine had a significantly higher risk of death as compared with those who did not.   https://t.co/J6GwZAZGUy",18,23,https://twitter.com/W7VOA/status/1263811289811423232
2020-05-19 20:13:27,"""That was not a VA study,"" says @SecWilkie ""Researchers took VA numbers"" and it wasn't peer reviewed, says of the hydroxychloroquine study that @POTUS has twice bashed today.",10,11,https://twitter.com/W7VOA/status/1262838802739081216
2020-05-19 18:39:44,"Also @VP added that early in this process, @FDA approved off-label use where physicians could prescribe hydroxychloroquine in terms they deemed appropriate.",6,6,https://twitter.com/W7VOA/status/1262815218129870851
2020-05-19 18:06:20,"""It was a Trump enemy statement"" that hydroxychloroquine harmed #COVID19 patients, says @POTUS. ""I think it gives you an additional level of safety.""",10,14,https://twitter.com/W7VOA/status/1262806814191767554
2020-05-19 01:43:10,"One reason @realDonaldTrump shouldn't take hydroxychloroquine is because he's ""morbidly obese,"" @SpeakerPelosi says on @CNN. https://t.co/jdDFV7Bb5l",6,12,https://twitter.com/W7VOA/status/1262559389552181253
2020-05-19 01:30:08,Here's our updated @VOANews report on @POTUS saying he's taking hydroxychloroquine daily to ward off the #coronavirus. https://t.co/BFD3bLlX3g #COVID19,10,11,https://twitter.com/W7VOA/status/1262556109312864261
2020-05-19 00:07:32,"The potential benefits of using hydroxychloroquine outweigh the risks, says statement from @WhiteHouse physician. https://t.co/OTYQF71Kq5",105,136,https://twitter.com/W7VOA/status/1262535324581998593
2020-05-18 20:33:19,"Dr. Rich Bright was against hydroxychloroquine and is a ""fake whistleblower,"" says @POTUS.",27,50,https://twitter.com/W7VOA/status/1262481412072116224
2020-05-18 20:29:11,"A doctor in Westchester County, New York, told him he's treated hundreds of patients with hydroxychloroquine and no one has died, according to @POTUS.",16,22,https://twitter.com/W7VOA/status/1262480372547321857
2020-05-18 20:26:29,"""I happen to be taking it,"" says @POTUS of hydroxychloroquine . ""I'm not going to get hurt by it.""",38,51,https://twitter.com/W7VOA/status/1262479694081011713
2020-05-14 16:29:08,"Dr. Bright says he became ""increasingly alarmed"" about supplies of hydroxychloroquine coming into the US from #India and #Pakistan.",14,21,https://twitter.com/W7VOA/status/1260970411057168387
2020-04-24 14:33:17,"A warning just issued by @US_FDA not to use hydroxychloroquine or chloroquine for #COVID19 outside of hospitals or clinical trials ""due to risk of heart rhythm problems."" https://t.co/0dD0ekKQ3j",28,23,https://twitter.com/W7VOA/status/1253693498022379524
2020-04-21 20:41:06,"Panel of experts convened by the National Institute of Allergy and Infectious Diseases recommends against using a combination of hydroxychloroquine and azithromycin for the treatment of #COVID19 patients because of potential toxicities, reports @NPR. https://t.co/KTDSF2djSk",84,90,https://twitter.com/W7VOA/status/1252698900529635333
cold
2020-05-21 16:13:22,"""It would also represent another unfortunate chink in the armor of arms control agreements that have kept America and its allies safer since the Cold War,"" adds @GregDelawie.",7,8,https://twitter.com/W7VOA/status/1263503159378546688
2020-04-15 22:42:53,"""Is anybody freezing? It's very cold out here. We can leave early,"" says @POTUS in the Rose Garden.",6,12,https://twitter.com/W7VOA/status/1250555221119549443
zinc
2020-05-18 20:28:12,"""A lot of front-line workers"" are also taking hydroxychloroquine. ""I'm taking the two -- zinc and hydroxy.""",27,34,https://twitter.com/W7VOA/status/1262480126106796032
drug
2020-05-15 03:15:10,"A new @UNODC report warns that the synthetic drug market in East and Southeast Asia continues to expand and diversify, and the price of methamphetamine has dropped to the lowest level in a decade as the supply has surged.",10,9,https://twitter.com/W7VOA/status/1261132989477642240
2020-05-01 19:50:14,"#Remdesivir maker @GileadSciences has received emergency authorization from the @FDA for the drug to be used to treat #COVID19 patients, announces @POTUS. 
.",24,19,https://twitter.com/W7VOA/status/1256309979818201090
2020-04-29 19:41:33,"#Remdesivir ""has a clear-cut significant positive effect in diminishing the time to recover,” Dr. Anthony Fauci told reporters today in the @WhiteHouse Oval Office. “A drug can block this virus.”https://t.co/jUAih3UJnf  @VOANews",39,36,https://twitter.com/W7VOA/status/1255583016996478977
2020-04-28 18:58:25,"Three or four #COVID19 drug therapies “showing great cause for optimism,” says Dr. Andrew Badley, an infectious diseases specialist here at @MayoClinic. 
Approval for such therapeutics could come in leas than 10 months, he says after @VP notes a vaccine is still a year away. https://t.co/eQQGmQc09r",7,6,https://twitter.com/W7VOA/status/1255209775664676865
2020-04-23 16:54:09,"Antiviral drug #remdesivir, being studied for fighting #COVID19, reportedly flops in first trial.  https://t.co/5mpMLqEQBc via @financialtimes",83,95,https://twitter.com/W7VOA/status/1253366560246333440
2020-04-16 22:14:15,"Sharp rise in drug and alcohol abuse, suicides and heart disease if economic shutdown is prolonged, says @POTUS. ""Our country has suffered. Our world has suffered.""",9,8,https://twitter.com/W7VOA/status/1250910402696921089
covid-19
2020-05-15 03:15:09,"“While the world has shifted its attention to the COVID-19 pandemic, all indications are that production and trafficking of synthetic drugs and chemicals continue at record levels"" in SE Asia, says @jdouglasSEA of @UNODC.",12,14,https://twitter.com/W7VOA/status/1261132988521361409
2020-05-11 20:13:22,"Today @POTUS “will deliver remarks on the Trump Administration’s COVID-19 testing accomplishments,” according to the @WhiteHouse, as we await his arrival here in the Rose Garden. https://t.co/9v4vatCL35",5,11,https://twitter.com/W7VOA/status/1259939677076951040
2020-05-11 04:44:59,"Based on the most up-to-date data, “the US could have 137,184 cumulative COVID-19 deaths (estimate range of 102,783 to 223,489) by August.” #CoronavirusUSA https://t.co/5m2UTGnzIL",15,19,https://twitter.com/W7VOA/status/1259706044403646470
2020-05-07 14:29:07,"Chapter 11 bankruptcy filing by @neimanmarcus  to support ""continued operations during the COVID-19 pandemic and
beyond.""  https://t.co/x2FkPPpmyt https://t.co/x7iBxeOsuk",5,5,https://twitter.com/W7VOA/status/1258403492923944964
2020-05-02 19:36:38,"“Congress is grateful for the Administration’s generous offer to deploy rapid COVID-19 testing capabilities to Capitol Hill, but we respectfully decline the offer at this time,” says joint statement from ⁦@SpeakerPelosi⁩ and ⁦@senatemajldr⁩.  https://t.co/lfcUpyRy4T",28,34,https://twitter.com/W7VOA/status/1256668943122673666
2020-04-30 17:47:14,"""The Intelligence Community also concurs with the wide scientific consensus that the COVID-19 virus was not manmade or genetically modified,” says @ODNIgov. https://t.co/Gl6aEgQjH2",49,74,https://twitter.com/W7VOA/status/1255916636999168000
2020-04-30 13:36:36,@mrobin032009 No. Temperature checks for journalists prior to briefings. COVID-19 tests for those who travel on AF2 (and soon AF1).,0,1,https://twitter.com/W7VOA/status/1255853563559006211
2020-04-23 18:34:17,"""President Trump expressed his strong support for the people of Kenya and offered additional assistance for the nation’s response to the COVID-19 pandemic,"" according to the @WhiteHouse readout of the call.",8,4,https://twitter.com/W7VOA/status/1253391761134714880
2020-04-22 15:40:45,"Today @POTUS spoke with @ImranKhanPTI about “developments in the global fight against the COVID-19 pandemic and agreed to continue working together on a coordinated response to defeat the virus and minimize its economic impact,” says @JuddPDeere45.",5,4,https://twitter.com/W7VOA/status/1252985700871520256
2020-04-18 15:48:54,Total of 540 fatalities in the state of #NewYork for Friday is the lowest daily COVID-19 death toll since Apr. 1st.,23,32,https://twitter.com/W7VOA/status/1251538200495095808
