twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
111579971,AyodejiOsowobi,Fri Feb 05 12:30:55 +0000 2010,False,"Lagos, Nigeria",25266,316,1002,40759
 
created_at,full_text,retweet_count,favorite_count,twitter_url
Touch
2020-05-25 09:32:19,"@krista_Asoluka @StandtoEndRape Hello, good morning. Apologies about this, it’s a holiday so our responses may be delayed. If you’d like to report a case or speak to a counsellor, please fill this form — https://t.co/k3Y3G8TJS3 — and an officer will be in touch with you. Thank you!",0,1,https://twitter.com/AyodejiOsowobi/status/1264851783253405698
2020-04-25 20:38:03,"@RitaOnwurah @reminola @StandtoEndRape @YarKafanchan Thanks for tagging me Rita. I was quickly making arrangements with Ndi, but since @reminola is already in touch with her, that’s awesome. I’ll step back &amp; support on the sideline.",0,1,https://twitter.com/AyodejiOsowobi/status/1254147682630864896
2020-03-18 16:50:42,"-Wash your hands often w/ soap &amp; water for at least 20 seconds. Use alcohol-based sanitisers.
-Cough/sneeze into a tissue or the back of your arm, not your hand.
-Dispose tissues properly, wash hands afterwards.
-Don’t touch your eyes, nose or mouth w/ dirty hands.

Love &amp; Light! https://t.co/HF3rVYkuA5",12,21,https://twitter.com/AyodejiOsowobi/status/1240319732240302085
sweat
2020-05-23 18:26:28,"Man yi farabale kowoje! The sweat of (underprivileged) people who cannot access good healthcare etc. This makes me question the usefulness of BVN. How were the accounts opened &amp; linked to one BVN? Shouldn’t the name on the BVN be thesame with the account?

This fraud is much!😭🙆🏽‍♀️ https://t.co/ReWC74qwjt",8,20,https://twitter.com/AyodejiOsowobi/status/1264261429957402629
painful
2020-05-14 18:07:42,"Losing someone to #COVID19 is one of the most painful things to experience right now. One cannot even throw a loved one or friend a befitting burial. The last time you saw them is goodbye. So so tough!

My love to anyone who has lost someone at this time. You are in my prayers.💜",13,44,https://twitter.com/AyodejiOsowobi/status/1260995217978785794
2020-01-04 08:41:09,"Sending love and strength to my Ugandan warriors and sisters who are calling out rapists and shattering the culture of silence. We see you seeking justice and we stand with you as lead the #MeTooUG movement to success!

(Photo not related to Uganda but depicts a painful reality). https://t.co/HcdkBkfFjV",82,121,https://twitter.com/AyodejiOsowobi/status/1213379829174808576
recovered
2020-05-13 22:34:38,1070 people have recovered from #COVID19 in Nigeria. Love to see it! 💪🏽,31,96,https://twitter.com/AyodejiOsowobi/status/1260700002906669056
pain
2020-05-11 08:03:51,"It’s funny how you’d try to forget but a building, smell, type of voice, type of car will remind you of an incident &amp; trigger your emotions + memory on similar experiences. Abusers get lucky!

If I see those boys today, I can’t identify them but I hope they feel the pain I feel.",11,48,https://twitter.com/AyodejiOsowobi/status/1259756089182126082
shake
2020-05-11 08:03:51,"Since then, going to that Church was haunting. I couldn’t shake off the feeling. What could the boys wanr or be thinking? Why were they lurking in the dark? What if they caught up with me? I really don’t know.

I suppressed the experience and forgot it completely as I grew older.",2,13,https://twitter.com/AyodejiOsowobi/status/1259756087458357248
2020-03-15 12:41:33,Obafemi Awolowo University is really embarrassing!!! Why withhold someone’s certificate because she made a sexual harassment report and followed through to get justice! Did she shake the CABAL? Is this action a punitive measure &amp; scare tactic for students intending to speak up?,609,616,https://twitter.com/AyodejiOsowobi/status/1239169864964673537
covid-19
2020-05-07 14:54:46,I will be on @Homewith_Isha with @IshaSesay to discuss the COVID-19 pandemic at 7pm GMT. Join in. 😊 https://t.co/LSGZ3bWGT6,9,23,https://twitter.com/AyodejiOsowobi/status/1258409950436626438
2020-04-28 14:28:55,"In the midst of the panic, I would like to remind you that COVID-19 isn’t a death sentence.

Testing negative is not a licence to discriminate against those who test positive for coronavirus or recover from it.

Your love and support helps with the recovery. #TakeResponsibility https://t.co/M1lXGzZE4f",17,39,https://twitter.com/AyodejiOsowobi/status/1255141954125352963
2020-03-30 13:19:57,"Today, I am PROUD to inform you that I MURDERED COVID-19 &amp; have tested NEGATIVE TWICE! I HAVE BEEN DISCHARGED!🤸🏾‍♂️

I bless God for His mercies.🙏🏽

The nurses at IDH Yaba were fab. They deserve accolades for their hardwork.

Thank you Governor @jidesanwoolu for coming to see me.🙏🏽",2716,7832,https://twitter.com/AyodejiOsowobi/status/1244615349183676418
2020-03-19 08:29:17,"If you recently returned from a high risk country (UK, US...), please responsibly self-isolate.

If you are showing any of the COVID-19 symptoms or suspect any COVID-19 case around, please call @NCDCgov via 080097000010.

We need each other to beat this. 💜💜💜

Please retweet.",49,47,https://twitter.com/AyodejiOsowobi/status/1240555934923075584
test positive
2020-04-29 08:16:16,"Are you in Lagos and exhibiting any of the #COVID19 symptoms?
Here is a list of testing centres across Lagos for your use.
Don’t be afraid to get tested.
It‘s better to know your situation so it’s quickly managed, should you test positive.

cc: @followlasg @ProfAkinAbayomi @LSMOH https://t.co/A6OufK0xmD",36,22,https://twitter.com/AyodejiOsowobi/status/1255410560507809793
2020-04-28 14:28:55,"In the midst of the panic, I would like to remind you that COVID-19 isn’t a death sentence.

Testing negative is not a licence to discriminate against those who test positive for coronavirus or recover from it.

Your love and support helps with the recovery. #TakeResponsibility https://t.co/M1lXGzZE4f",17,39,https://twitter.com/AyodejiOsowobi/status/1255141954125352963
2020-04-27 11:28:09,Please #StayatHome and also stop the discrimination of those who test positive for #COVID19. 🙌🏽 https://t.co/qzDFcsdmSX,5,13,https://twitter.com/AyodejiOsowobi/status/1254734074188570625
2020-04-23 10:57:00,"I joined @NCDCgov, @UNDPNigeria, @Fmohnigeria &amp; the @NigeriaGov in raising awareness on the need to stop the discrimination of those who test positive for or recover from #COVID19.

Coronavirus is NOT a death sentience. We need to be #StrongerTogether to beat this. #SurvivAyo https://t.co/F4LpoKC9QO",73,157,https://twitter.com/AyodejiOsowobi/status/1253276682410242051
recover
2020-04-28 14:28:55,"In the midst of the panic, I would like to remind you that COVID-19 isn’t a death sentence.

Testing negative is not a licence to discriminate against those who test positive for coronavirus or recover from it.

Your love and support helps with the recovery. #TakeResponsibility https://t.co/M1lXGzZE4f",17,39,https://twitter.com/AyodejiOsowobi/status/1255141954125352963
