twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
44627978,NickFlaks,Thu Jun 04 14:31:48 +0000 2009,False,"Brighton, England",5140,2600,2578,1459
 
created_at,full_text,retweet_count,favorite_count,twitter_url
vomiting
2020-05-25 16:25:05,"‘I was so concerned about my son, I locked him in a car for 6 hours with a vomiting Covid patient’ #DominicCummngs",666,3821,https://twitter.com/NickFlaks/status/1264955658253762561
tired
2020-05-07 10:00:56,"Tired of accruing wealth and power, boomers now seek to hoard emotions... https://t.co/fo4pa4xC9c",3,12,https://twitter.com/NickFlaks/status/1258336003896590336
drug
2020-04-23 08:56:03,"@MrSutil1 British children have fewer material goods (such as games and books), their parents are more likely to be unemployed, our children have lower educational scores, greater rates of alcohol and drug abuse and higher rates of injury and death.",0,1,https://twitter.com/NickFlaks/status/1253246242282450944
mild symptoms
2020-04-06 08:52:09,"@willpaddyg His symptoms were continuously described as mild (high temperature and a cough). 

If his symptoms are severe or he has deteriorated, I hope he gets well soon. But this isn’t what’s being reported. 

Begs the question, should those with persistent mild symptoms visit hospital",0,0,https://twitter.com/NickFlaks/status/1247084668912009217
2020-04-06 08:38:09,"Either Boris Johnson has severe symptoms, or treatment is being rationed...

We’re not being told to visit hospital after 10 days of ‘mild symptoms’.",7,38,https://twitter.com/NickFlaks/status/1247081145700888577
2020-04-06 08:34:00,"Plebs:

If mild symptoms persist, please stay at home. 

Etonians:

If mild symptoms persist, please visit hospital.",13,33,https://twitter.com/NickFlaks/status/1247080101512187905
2020-04-06 08:20:20,"So should people whose ‘mild symptoms’ persist after 10 days be treated in hospital (like Boris Johnson), or stay at home like we’ve been told?",5,21,https://twitter.com/NickFlaks/status/1247076660408651776
cancer
2020-04-01 11:07:35,@allisonpearson Deaths from cancer aren’t doubling every 2 days you absolute muppet.,4,37,https://twitter.com/NickFlaks/status/1245306813056200704
tested positive
2020-03-30 16:42:36,"Our ‘designated survivor’ (Dominic Raab) just licked his fingers whilst giving a speech from Boris Johnson’s podium (who himself tested positive 3 days ago)... 

Lord help us. #AvoidFaceTouching https://t.co/1yxDmW0kYq",23,58,https://twitter.com/NickFlaks/status/1244666347944120322
2020-03-27 14:22:10,"Boris Johnson (7 days ago):

I believe we can turn the tide on this within 12 weeks. 

Boris Johnson (this morning):

Today, I tested positive for coronavirus. 

Matt Hancock (this afternoon):

I have also tested positive for covid-19.

Dominic Cummings:
https://t.co/6sHg9kl0j5",123,294,https://twitter.com/NickFlaks/status/1243543840117719041
positive for Covid
2020-03-27 14:22:10,"Boris Johnson (7 days ago):

I believe we can turn the tide on this within 12 weeks. 

Boris Johnson (this morning):

Today, I tested positive for coronavirus. 

Matt Hancock (this afternoon):

I have also tested positive for covid-19.

Dominic Cummings:
https://t.co/6sHg9kl0j5",123,294,https://twitter.com/NickFlaks/status/1243543840117719041
covid-19
2020-03-25 12:53:39,"Given that Kirstie Allsopp just admitted to ignoring the Government advice, and relocated her Covid-19 infected family to Devon - maybe she’s not the best person to be hosting a ‘lockdown club’ 🤷‍♂️ https://t.co/bvzzSVWvHP",6,11,https://twitter.com/NickFlaks/status/1242796788899340290
2020-03-14 12:36:18,"Regardless of whether the rationale and modelling for #Herd_Immunity is sound, the long term effects of Covid-19 are unknown. 

It’s too early to know, if reports of infertility and irreversible organ damage are true. 

Huge gamble to willingly infect 40m Brits 🤧

#coronaUK",8,25,https://twitter.com/NickFlaks/status/1238806157222916096
2020-03-12 14:50:03,"++UPDATE++

CHINA:

Quarantines 58 million people. 

USA:

Bans flights from affected countries. 

ITALY:

Passes law to prevent public gatherings.

UK:

Encourages public to contract Covid-19 and develop ‘herd immunity’ 😳

#CobraMeeting 
#CoronavirusPandemic https://t.co/AQRzT2naaK",6,18,https://twitter.com/NickFlaks/status/1238115041066528769
taste
2020-03-18 16:08:26,"Can’t taste any worse than your beers, I guess... https://t.co/NriPP9fuNc",0,3,https://twitter.com/NickFlaks/status/1240309094474539008
shake
2020-03-03 11:40:05,"“I’ve been shaking hands with everybody including Coronavirus patients...

...I think the scientific advice is to shake hands”

Lord help us. #covid19UK https://t.co/DHd1xxIWmG",278,697,https://twitter.com/NickFlaks/status/1234805741644632064
shaking
2020-03-03 11:40:05,"“I’ve been shaking hands with everybody including Coronavirus patients...

...I think the scientific advice is to shake hands”

Lord help us. #covid19UK https://t.co/DHd1xxIWmG",278,697,https://twitter.com/NickFlaks/status/1234805741644632064
pain
2020-01-31 18:15:00,"It’s clear the smallest amount of friction, disruption or economic pain will soon discredit the entire project. #BrexitReality https://t.co/aDQ5RuS3zA",0,0,https://twitter.com/NickFlaks/status/1223308716411432965
2020-01-31 12:11:59,"The English nationalists who spent the last 4 years waving around a flag, must now take full responsibility of every drop of economic pain and additional inconvenience caused by Brexit.

I’ve always believed #BrexitReality will undo the far-right in the UK. 

Happy #BrexitDay.",1,14,https://twitter.com/NickFlaks/status/1223217360477347840
