twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1205170874032279553,Bestyb11,Thu Dec 12 17:01:55 +0000 2019,False,,880,1245,32,8440
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recover
2020-05-28 21:52:04,@Nhla447 @thabani_mvubu @doublegizzy @SizweDhlomo @ when ever you can put facts you result to insult 😂 I just played you a video of our president pledging for vaccines yet it’s fake news 😝 why do we need deadly vaccines for a flu that have 99% recovery rate? 11000 recover how did they recover 👇 https://t.co/J5xJgmVkSZ,0,1,https://twitter.com/Bestyb11/status/1266125111565987840
2020-05-27 15:54:37,@News24 @Channel24 We don’t believe you anyway but so what? He will just drink lemon/ginger and recover no big deal,0,3,https://twitter.com/Bestyb11/status/1265672768852541440
2020-05-27 08:16:29,@Neo_lithia @sthembete @ N of course it is . How do 11000 recover from a deadly virus without medication? Those who have died did they die of covid or from covid ? Do you know that distinction ?,0,1,https://twitter.com/Bestyb11/status/1265557475761238018
2020-05-27 07:43:19,@ntwanie @G_XCON @ nt you said they recovered due to treatment right? What is the treatment that they received for 11000 people to recover as recorded ????,0,0,https://twitter.com/Bestyb11/status/1265549127657627649
2020-05-27 07:24:58,"@TeeGee_Mo2 @tumisole @Jul_Nzu @ Tee the globalist agenda is real. Do we have a strain of the corona yes, is it as deadly of course not. How can you kill a deadly virus with sanitizer ? How can you recover from a deadly virus without a cure? Why are people not dropping dead like flies 🤔",0,2,https://twitter.com/Bestyb11/status/1265544511054323712
2020-05-27 06:47:13,"@MotseiNgao @SizweDhlomo @ Mot what do you base that on? You ever been to the townships? There is no lockdown there, are they dropping dead in numbers? 11000 recover with no cure ? Why do you have to test positive first before you die ? Are people dying from covid or of it ? 👇 https://t.co/MBc89cqEEB",0,1,https://twitter.com/Bestyb11/status/1265535010142117889
2020-05-27 06:44:31,@G_XCON @ Gayton those white friends are very right. Black people are the ones that are gonna surfer the most and yet shouting lockdown the most over a flu. The fear/panic/media hype has paralyzed reasoning. 11000 recover without cure is that a deadly virus 👇 https://t.co/BJUvfhK7C5,0,2,https://twitter.com/Bestyb11/status/1265534329150746630
2020-05-27 06:14:18,@ThulaniSibeko8 @austin_lakush @SizweDhlomo @ thu Spanish flu was real corona is a PLANDEMIC in other words it’s not as deadly as the globalist want you to believe. Stop the panic and think. How can you kill a deadly virus with sanitizer ? How do you recover without any medication?,0,2,https://twitter.com/Bestyb11/status/1265526725427027969
2020-05-26 22:29:09,@Nhla447 @Nalelihle @SizweDhlomo @ which young people has it killed ??? None whatsoever. The fear/panic/media Hype has paralyzed all thinking. Which deadly virus can you kill with sanitizer ? Which deadly virus do you recover from without medication?,0,0,https://twitter.com/Bestyb11/status/1265409668568043520
2020-05-26 20:37:06,"@FloydShivambu @ThatNigga_Bongz 99% recovery rate with 1% fatality with co morbidities ? Township have never been on lockdown why are they not dropping dead like flies ? 11,000 recover without medication 😝 do you know anyone with corona personally not media 😂",1,2,https://twitter.com/Bestyb11/status/1265381470643924993
2020-05-26 20:33:51,"@tumisole @Jul_Nzu 99% recovery rate with 1% fatality with co morbidities ? Township have never been on lockdown why are they not dropping dead like flies ? 11,000 recover without medication 😝 do you know anyone with corona personally not media 😂",0,12,https://twitter.com/Bestyb11/status/1265380650288402433
2020-05-26 19:20:27,@Nalelihle @SizweDhlomo @ Nal precisely there is no cure but people get well akin to a flu. Ginger/lemon few days you well. A deadly virus will kill you but here you can recover without medication! The ones that passed away they surely had serious co morbidities no doubt,0,0,https://twitter.com/Bestyb11/status/1265362179336867840
