twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1285550538,Georgia_Hart_xx,Thu Mar 21 09:46:54 +0000 2013,False,"Dublin, Ireland",1158,335,22925,2796
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-16 11:09:50,Is it just me or did strawberries taste better when you were younger??? https://t.co/QB1mT24zUH,0,4,https://twitter.com/Georgia_Hart_xx/status/1261614834715688960
shivers
2020-04-04 21:07:36,@ainekinsella2 Stop do you ever be in public and hear it go off on someones phone I get shivers,0,0,https://twitter.com/Georgia_Hart_xx/status/1246544974302175232
fever
2020-03-28 15:37:04,"@pamela_cafc Fever shortness of breathe and cough are not the only symptoms, sneezing, runny nose, cough headache and sore throat are also symptoms, although they’re not really being advertised as symptoms they definitely are",0,2,https://twitter.com/Georgia_Hart_xx/status/1243925079018409984
2020-03-28 15:14:24,@jfordyy @georgina_kate91 I just wanna say that I did the online questionnaire and it said I was fine too because the only thing they’re really looking out for is fever shortness of breathe and cough and they aren’t the only symptoms I had none of those!,0,0,https://twitter.com/Georgia_Hart_xx/status/1243919376505622528
2020-03-27 22:18:20,@jfordyy Aw seriously girl :( I hope you’re okay! It’s important to remember that cough and fever aren’t the only symptoms!! If you feel like you may have it contact your GP and they’ll refer you for a test if they think you need one x,1,1,https://twitter.com/Georgia_Hart_xx/status/1243663672813260803
2020-03-27 22:09:22,@jfordyy No fever atall,0,1,https://twitter.com/Georgia_Hart_xx/status/1243661417456308227
runny nose
2020-03-28 15:37:04,"@pamela_cafc Fever shortness of breathe and cough are not the only symptoms, sneezing, runny nose, cough headache and sore throat are also symptoms, although they’re not really being advertised as symptoms they definitely are",0,2,https://twitter.com/Georgia_Hart_xx/status/1243925079018409984
2020-03-27 14:48:33,"20 years old and have just been told that I’ve tested positive for COVID - 19, please don’t think that because you’re young you can’t catch it! I had a headache a runny nose and a sore throat, I didn’t develop a cough for 5 days. Please stay home!",841,8878,https://twitter.com/Georgia_Hart_xx/status/1243550481508638720
cough
2020-03-28 15:37:04,"@pamela_cafc Fever shortness of breathe and cough are not the only symptoms, sneezing, runny nose, cough headache and sore throat are also symptoms, although they’re not really being advertised as symptoms they definitely are",0,2,https://twitter.com/Georgia_Hart_xx/status/1243925079018409984
2020-03-28 15:14:24,@jfordyy @georgina_kate91 I just wanna say that I did the online questionnaire and it said I was fine too because the only thing they’re really looking out for is fever shortness of breathe and cough and they aren’t the only symptoms I had none of those!,0,0,https://twitter.com/Georgia_Hart_xx/status/1243919376505622528
2020-03-27 22:18:20,@jfordyy Aw seriously girl :( I hope you’re okay! It’s important to remember that cough and fever aren’t the only symptoms!! If you feel like you may have it contact your GP and they’ll refer you for a test if they think you need one x,1,1,https://twitter.com/Georgia_Hart_xx/status/1243663672813260803
2020-03-27 14:55:11,"@yellowbunkoo No medication as I’m not too bad, just have to self isolate, your brother needs to stop going to work if he has a dry cough and is feeling unwell he needs to get tested, I started out with a dry tickly cough too, I hope he’s okay!",0,4,https://twitter.com/Georgia_Hart_xx/status/1243552151894462466
2020-03-27 14:48:33,"20 years old and have just been told that I’ve tested positive for COVID - 19, please don’t think that because you’re young you can’t catch it! I had a headache a runny nose and a sore throat, I didn’t develop a cough for 5 days. Please stay home!",841,8878,https://twitter.com/Georgia_Hart_xx/status/1243550481508638720
Shortness of breath
