twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1029463658450100224,bygezimcamaj,Tue Aug 14 20:23:57 +0000 2018,False,"Bronx, NY",490,442,10533,8141
 
created_at,full_text,retweet_count,favorite_count,twitter_url
cold
2020-05-22 20:30:48,"remember Kenneth Walker? the man who watched his girlfriend Breonna Taylor get murdered in cold blood in her bed while she slept? all the charges were dropped for Kenneth, which is great. now, the FBI is launching a full investigation into the Louisville police.",0,0,https://twitter.com/bygezimcamaj/status/1263930334112088068
tired
2020-05-22 18:29:06,@Zeeee_V sis im tired,0,0,https://twitter.com/bygezimcamaj/status/1263899705303597056
2020-05-22 18:23:16,im tired of people. i really am.,1,1,https://twitter.com/bygezimcamaj/status/1263898236131123200
2020-05-21 04:37:57,@Sechwrld thats actually factual. tired of being used for everything but mi hart.,0,1,https://twitter.com/bygezimcamaj/status/1263328150232145920
2020-05-17 20:57:25,ill admit i was like a dictator with this quarantine and i think the fact that i was sick had something to do with it... but i too have grown tired of all this.,0,2,https://twitter.com/bygezimcamaj/status/1262125092936523776
2020-05-14 01:55:51,tired tunafish https://t.co/TBoCHczTv1,0,0,https://twitter.com/bygezimcamaj/status/1260750642567688198
2020-04-21 18:07:15,tired of yall saying anything for retweets,6,11,https://twitter.com/bygezimcamaj/status/1252660180795432964
smell
2020-05-22 17:59:11,"im actually happy we gotta wear masks, alot of yall breath smell like dick and ass. fucking cock suckin ass kissing losers. if u think this is about u, it is.",3,8,https://twitter.com/bygezimcamaj/status/1263892175709974530
2020-05-11 15:30:32,"“if you smell smoke, its because there’s a fire.”",0,0,https://twitter.com/bygezimcamaj/status/1259868498840477701
2020-05-10 20:28:10,smell her pussy when she gets home https://t.co/8Muk5EvvnD,10,5,https://twitter.com/bygezimcamaj/status/1259581015103877120
2020-05-06 19:40:33,you can smell the racism on them cuzzzzzzz https://t.co/3QEOt8g9Zq,0,6,https://twitter.com/bygezimcamaj/status/1258119482075230215
2020-04-22 20:50:57,"On a dark desert highway
Cool wind in my hair
Warm smell of colitas
Rising up through the air",0,0,https://twitter.com/bygezimcamaj/status/1253063766209638407
breath
2020-05-22 17:59:11,"im actually happy we gotta wear masks, alot of yall breath smell like dick and ass. fucking cock suckin ass kissing losers. if u think this is about u, it is.",3,8,https://twitter.com/bygezimcamaj/status/1263892175709974530
2020-04-17 22:26:02,@OfficiallyIce zelda breath of the wild,0,0,https://twitter.com/bygezimcamaj/status/1251275757797728262
Sneeze
2020-05-20 18:54:30,"@BanySela 😭 if i sneeze once, my pants comin off",0,0,https://twitter.com/bygezimcamaj/status/1263181322291421184
2020-04-15 10:26:54,@BIANCASHEKO bless you! that was a helluva sneeze b,0,1,https://twitter.com/bygezimcamaj/status/1250370006036156417
drug
2020-05-20 18:47:15,drug ballad - eminem https://t.co/BiMwjOfE9I,0,1,https://twitter.com/bygezimcamaj/status/1263179497685364737
covid19
2020-05-18 20:38:57,"i gained all the weight i lost during covid19 back, plus a few. lmao",0,2,https://twitter.com/bygezimcamaj/status/1262482831491698688
2020-05-17 20:57:26,"covid19 is real... but no one on earth can convince me that it’s not being politicized by BOTH parties, and the mad scientists lol",1,3,https://twitter.com/bygezimcamaj/status/1262125094576558081
2020-05-10 16:19:53,@annaapess covid19 na ka ckatrua jeten,0,1,https://twitter.com/bygezimcamaj/status/1259518532771024898
2020-05-09 21:06:54,what the hospital can do is submit the records of all the patients she assisted that were covid19 positive to show she was around covid19 positive patients https://t.co/wK5XaeTo3n,0,1,https://twitter.com/bygezimcamaj/status/1259228374658101249
2020-05-08 05:09:21,@eenxxh ima block u and ur covid19 tastebuds bro mint ice cream is divine,0,2,https://twitter.com/bygezimcamaj/status/1258625012828905477
2020-04-23 01:43:23,tested positive for having covid19 antibodies 🧿🥰,0,14,https://twitter.com/bygezimcamaj/status/1253137358838513666
2020-04-20 00:11:16,oh snap tomorrow i donate my blood for that covid19 study,0,9,https://twitter.com/bygezimcamaj/status/1252027016657997825
2020-04-17 13:39:47,"once the world is fully healed from covid19 we are going to need someone to put together a major concert im talking about woodstock 1969 level shit... all the dope artists out right now, major and independent.",0,1,https://twitter.com/bygezimcamaj/status/1251143320807432199
Touch
