twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
17134268,CBSThisMorning,Mon Nov 03 17:05:29 +0000 2008,True,United States,406787,2937,10786,142338
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 14:59:49,American Airlines will eliminate 30% of management and administrative jobs at the carrier as it moves to slash costs amid the impact of COVID-19 on the travel industry. https://t.co/RsAvG44mnE,6,13,https://twitter.com/CBSThisMorning/status/1266021364835778562
2020-05-28 13:21:16,"Survivors Saving Others: A promising therapy being tested to treat COVID-19 relies on plasma donations. Orthodox &amp; Hasidic Jewish communities account for half of all plasma donations in the U.S. to fight COVID-19.

@DrTaraNarula explains. https://t.co/1hQViEi21c",20,43,https://twitter.com/CBSThisMorning/status/1265996562683093001
2020-05-27 18:29:58,"For the fifth consecutive day, there are no new cases of COVID-19 cases in New Zealand. The country has also discharged its last coronavirus patient from the hospital. https://t.co/hDZShzpysT",11,64,https://twitter.com/CBSThisMorning/status/1265711863184138240
2020-05-27 10:21:30,Only about half of Americans say they would get a COVID-19 vaccine if the scientists working furiously to create one succeed. https://t.co/85RQ7LkfLM,13,18,https://twitter.com/CBSThisMorning/status/1265588937822736384
2020-05-23 11:11:27,"Memorial Day weekend marks the unofficial start of summer but with the U.S. death toll from COVID-19 topping 96,000, air travel is down 88% this weekend compared with last year. This, as restrictions are loosened in all 50 states. @MikeGeorgeCBS has the latest: https://t.co/qoODuZTcHZ",9,14,https://twitter.com/CBSThisMorning/status/1264151954755850240
2020-05-22 15:00:02,"There's a hidden risk with keeping hand sanitizer in your car to help protect against COVID-19 and other illnesses, especially during the hot summer months. https://t.co/VcjZJQz5If",8,19,https://twitter.com/CBSThisMorning/status/1263847090058399744
2020-05-22 02:59:53,New York Governor Andrew Cuomo said Thursday that the number of countries reporting a mysterious illness in children believed to be connected to COVID-19 has nearly doubled in just one week.  https://t.co/LBgGX5wwpZ,14,20,https://twitter.com/CBSThisMorning/status/1263665860109127680
2020-05-21 21:29:49,"About half of the Twitter accounts pushing misinformation about COVID-19 and calling for ""reopening America"" may be bots. https://t.co/x6aeH7BSq7",10,13,https://twitter.com/CBSThisMorning/status/1263582795269435393
2020-05-21 10:30:34,The number of COVID-19 cases confirmed worldwide have broken through the five million mark. https://t.co/8NcM2t7iF5,14,6,https://twitter.com/CBSThisMorning/status/1263416889868464128
2020-05-20 10:17:10,"Doctors and scientists in the U.S. and Europe have called a mysterious new pediatric illness that appears linked to COVID-19 ""deeply concerning."" https://t.co/YZ6o7tjXar",5,10,https://twitter.com/CBSThisMorning/status/1263051129102966784
2020-05-20 04:59:48,Kroger retracts demand that workers return extra COVID-19 pay https://t.co/Eu5JJ2JkoK,12,33,https://twitter.com/CBSThisMorning/status/1262971264454574081
