twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
885314810434473985,URIESBLUNT,Thu Jul 13 01:47:54 +0000 2017,False,"Chicago, IL",2691,563,13285,20675
 
created_at,full_text,retweet_count,favorite_count,twitter_url
medicine
2020-04-26 19:22:40,i made it through work without my anxiety medicine today and I’m so fucking proud of myself.,0,7,https://twitter.com/URIESBLUNT/status/1254491102419222531
2020-04-11 03:51:51,this medicine is gonna knock me out goodnight,0,2,https://twitter.com/URIESBLUNT/status/1248821033529937922
2020-04-03 17:17:32,today I was rushed o the doctor for stomach pain and bleeding in my urine and the medicine was almost $100 NOT including the cost of the visit. i won’t have to suffer anymore. im so emotional. https://t.co/9XmhVdB915,0,3,https://twitter.com/URIESBLUNT/status/1246124689833025536
2020-03-20 01:11:57,my doctor prescribed me medicine for my rash that used to be my old anxiety meds that my psychiatrist deadass gave me until I fell asleep. MEMORIES.,0,0,https://twitter.com/URIESBLUNT/status/1240808263786074114
asthma
2020-04-14 02:08:11,I JUST HAD AN ASTHMA ATTACK I REALLY AM ALLERGIC TO THIS MF HOMEWORK,0,1,https://twitter.com/URIESBLUNT/status/1249882110120333313
2020-04-05 05:38:47,i just had an asthma attack for the first time and that was the scariest shit of my life,0,0,https://twitter.com/URIESBLUNT/status/1246673617531912192
cold
2020-04-13 03:31:08,my bath is so COLD,0,0,https://twitter.com/URIESBLUNT/status/1249540595716173824
2020-03-29 01:50:21,"I’m 19 and tested positive for COVID-19. It started off as a common cold feeling and worsened. I have been drenched in sweat from a fever, coughing, could barely walk from lightheadedness. I thought I was in invincible towards this virus. Stay healthy. Please.",30,401,https://twitter.com/URIESBLUNT/status/1244079417518931971
no appetite
2020-04-12 04:40:35,we love how I have no appetite anymore,0,0,https://twitter.com/URIESBLUNT/status/1249195687629201413
tired
2020-04-08 19:43:42,that nine hour shift killed me I’m so mf tired https://t.co/84YSxwNx00,0,0,https://twitter.com/URIESBLUNT/status/1247973412066164736
2020-03-24 23:36:28,@RickyPDillon what exercises have you been doing a lot at home? i wanna get some inspiration. im tired of feeling so tired and want to incorporate that into my day.,0,7,https://twitter.com/URIESBLUNT/status/1242596171354443784
2020-03-13 04:08:32,moving houses fucking sucks I’m so tired,0,1,https://twitter.com/URIESBLUNT/status/1238315986345918464
2020-03-07 18:43:27,my dad is so hateful towards my boyfriend and I and I’m sick and tired of it,0,0,https://twitter.com/URIESBLUNT/status/1236361839602253824
