twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
154935220,chloeuwu,Sat Jun 12 16:44:40 +0000 2010,False,,581,170,25531,13995
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tested positive
2020-05-11 22:30:29,tested positive for makin yo bitch laugh now she mine,1,15,https://twitter.com/chloeuwu/status/1259974184450625547
2020-04-24 10:24:12,friend I’ve been hanging out with tested positive for covid. GG. https://t.co/rcjJvkJO6e,0,6,https://twitter.com/chloeuwu/status/1253630816086876160
2020-04-17 21:15:50,tested positive for missing my homies,1,5,https://twitter.com/chloeuwu/status/1251258087945707520
2020-03-29 13:53:06,Tested positive for no hoes,3,12,https://twitter.com/chloeuwu/status/1244261303809650689
chill
2020-04-27 13:39:58,"if he look like a opp, chill with a opp, hang with a opp then he must be a opp",0,2,https://twitter.com/chloeuwu/status/1254767247761047552
positive for Covid
2020-04-24 10:24:12,friend I’ve been hanging out with tested positive for covid. GG. https://t.co/rcjJvkJO6e,0,6,https://twitter.com/chloeuwu/status/1253630816086876160
tired
2020-04-12 03:11:01,"gonna be realk with u

i am tired of playing grandmaster+ players in this smurf queue",0,2,https://twitter.com/chloeuwu/status/1249173146688684032
2020-03-01 02:57:16,"can you bitches please delete all your memes/gifs, tired of scrolling through 100 of them just to find out you look like Gucci Mane in 2006 😭💀",0,7,https://twitter.com/chloeuwu/status/1233949395814699008
taste
2020-04-10 13:03:40,McDonald’s sprite taste like when your foot falls asleep,0,3,https://twitter.com/chloeuwu/status/1248597518449029120
pain
2020-03-11 22:33:43,Niggas in a twin sized bed talking about the pain of sleeping alone as if they had another option,1,6,https://twitter.com/chloeuwu/status/1237869338557739008
2020-02-20 02:49:18,"being in love 

- boring
- could get ur heart broken
- they could wake up and leave you

being in pain 

- something different happens
   everyday 
- ur already broken 
- pain will always be there",15,73,https://twitter.com/chloeuwu/status/1230323511622799360
cold
2020-02-27 11:46:08,it’s way too cold,0,2,https://twitter.com/chloeuwu/status/1232995328556773376
