twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1182061548950437888,DarihanaNova,Wed Oct 09 22:33:37 +0000 2019,False,Miami ,83163,680,26566,8952
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-27 22:48:48,"I’m tired of tweeting about police brutality, about the corruption about how WE THE PEOPLE get fucked over by this gvt. Tweeting isn’t going to do anything, I’m taking my ass to the POLLS. I’m dragging my family to them. We need to vote these bitches out NOW local and non local!",54,211,https://twitter.com/DarihanaNova/status/1265776999592792075
2020-05-02 04:26:25,"My baby woke up at 10 AM, it’s 12:34 PM. No naps no sign of sleep and I am tired 😭😭😭😭😤😤😤😤😤",2,160,https://twitter.com/DarihanaNova/status/1256439881582219264
2020-04-29 06:25:22,the “i” in my name stands for i am tired of this bitch Corona,320,776,https://twitter.com/DarihanaNova/status/1255382652011663361
aches
2020-05-27 18:57:22,"My heart aches from watching all of the violence this country and its organizations inflict upon Black Americans; I won’t ever be able to say I know exactly what you got thru, but I can understand the hurt and frustration. I hope we can make this a better place someday",93,322,https://twitter.com/DarihanaNova/status/1265718758410080259
covid-19
2020-05-20 21:43:42,Who decided COVID-19 was over? There’s too many of y’all outside https://t.co/hIBtAOzSzI,107,370,https://twitter.com/DarihanaNova/status/1263223903318446080
2020-05-06 01:04:43,"@damnchristinaaa @richbitchashz @alessandraaxo Hi! We are working on responding to emails, one of my employees has COVID-19 so we are short on staff, I just don’t feel the need to announce they have it as it is not my place to do so!",0,1,https://twitter.com/DarihanaNova/status/1257838671035871235
2020-05-04 04:15:56,As soon as this COVID-19 is over I swear I’m picking out models out of you guys and shooting you all for @IlusLabel I hate how everyone looks the same on these clothing websites there is 0 diversity,37,919,https://twitter.com/DarihanaNova/status/1257162018269822976
2020-05-01 21:26:26,"@richbitchashz Hi! We will respond to you as soon as possible, however we answer emails in the order received and there are delays due to COVID-19 🙏🏼💖",0,1,https://twitter.com/DarihanaNova/status/1256334185804861440
2020-04-25 00:53:01,Like why lmao don’t curse me out guys COVID-19 got the post office on slow mo. We are trying our best 😢😭,2,35,https://twitter.com/DarihanaNova/status/1253849458967818242
2020-04-24 21:46:01,"I know due to COVID-19 many of you have been struggling financially or just lost all gym access. Here’s a free at home workout program you can do for up to 4 weeks. Love you guys (PS RT so someone else can enjoy it too!)
https://t.co/lA7vYGC0UE https://t.co/bbditoAnSB",799,1338,https://twitter.com/DarihanaNova/status/1253802401049477124
2020-04-22 22:47:16,Thank you all for being kind and supporting my small business ❤️ I hope I can help one of you with any bills you may have due to COVID-19 💞,34,398,https://twitter.com/DarihanaNova/status/1253093039356235779
2020-04-18 22:20:57,If COVID-19 has taught me anything it’s about who really cares about people around them and who doesn’t,132,415,https://twitter.com/DarihanaNova/status/1251636863762337793
2020-04-14 18:04:13,"It’s crazy how right now no matter your age, sex, economic status, or race, we all have had our plans cancelled so abruptly by COVID-19",41,273,https://twitter.com/DarihanaNova/status/1250122704121987072
2020-04-13 21:29:09,@JShekayla Info@darihananova.com please allow some time since COVID-19 has led to delays 😭💞,0,5,https://twitter.com/DarihanaNova/status/1249811891591020545
2020-04-09 02:15:16,"If there’s one thing we can take from COVID-19 is that men are ugly without haircuts. Y’all talk about makeup but childddddddd, y’all are looking ugly out here.",151,479,https://twitter.com/DarihanaNova/status/1248071954688548864
2020-04-04 19:31:12,@dayanaros_ Hi! There are delays due to COVID-19 we are working on emails currently please make sure you’re emailing Info@darihananova.com,0,3,https://twitter.com/DarihanaNova/status/1246520713948860423
fatigue
2020-04-30 19:50:15,"I used to experience such bad muscle fatigue soreness when I began my fitness journey, it’ll usually make me have to take 4+ rest days just to recover, had this happened to you?",2,16,https://twitter.com/DarihanaNova/status/1255947594402070529
shake
2020-04-30 04:31:30,@Delphysantos05 Protein shake 👀 show me a picture of it,0,0,https://twitter.com/DarihanaNova/status/1255716383633088524
2020-04-16 07:51:16,"Since the TL is sleep, Herbalife is trash and you’re just paying for extra for a cheap protein shake when a calorie deficit is free 🥴",86,620,https://twitter.com/DarihanaNova/status/1250693225784004609
sweat
2020-04-16 16:46:20,@_MexicanBarbie @AtSummer_ Doesn’t do anything but make you sweat; sweat doesn’t meant fat loss. Whatever extra water you sweat out you’ll regain once you drink water 🙂,0,9,https://twitter.com/DarihanaNova/status/1250827878675218432
