twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
610320045,DavidFBowen,Sat Jun 16 20:00:58 +0000 2012,True,"Milwaukee, WI",5951,2699,7931,7186
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-14 20:21:06,"Check out our FB LIVE with @WEDCNews CEO Missy Hughes &amp; @aaccwi CEO Ossie Kendrix to discuss the new Minority Business Emergency Grant program and how minority businesses are surviving the COVID-19 Pandemic! 
https://t.co/gkij3VvyJT",0,0,https://twitter.com/DavidFBowen/status/1261028788516859914
2020-04-27 21:17:51,"Hey Friends, I was a guest on the global podcast ""Black Like Me"" with Dr. @alexgeejr! We talk about COVID-19 impact on Black &amp; low income communities! Check it out! 💪🏿
https://t.co/tyrLEoqC95",0,2,https://twitter.com/DavidFBowen/status/1254882476100661253
2020-04-21 22:14:23,Thankful for our story in Milwaukee continues getting out there by good storytellers! @LiveFromKenya breaks down why COVID-19 is exploiting generational disparities in healthcare. https://t.co/RhkwnaVKfI,1,3,https://twitter.com/DavidFBowen/status/1252722375810039808
2020-04-15 22:03:18,"If you are wondering what is in the COVID-19 response bill that was just signed into law by @GovEvers, check out this great video by my colleague @RepGoyke! https://t.co/M4ZzCgIoqA",1,3,https://twitter.com/DavidFBowen/status/1250545260985331712
2020-03-24 20:01:18,"The Ethnic &amp; Diverse Business Coalition (EDBC) has started a new grant program to help small businesses adversely affected by the COVID-19 pandemic - check it out below! 🙌🏿
https://t.co/le3cBMxw7H",3,3,https://twitter.com/DavidFBowen/status/1242542023078535173
recovered
2020-04-06 21:24:09,"As someone who contracted and thanks to God has recovered from #COVID19, I can personally say that @GovEvers made the right move for the health of our citizens and our democracy today by postponing this election! https://t.co/uJYF4OVYER",5,17,https://twitter.com/DavidFBowen/status/1247273916403453953
tested positive
2020-03-23 19:44:33,"This weekend, after having previously been exposed to someone with #COVID19 and then developing symptoms myself, I found out that I tested positive for the virus. This was not news I hoped to receive, but I am quarantined, in good spirits, and recovering at home. Statement below: https://t.co/7UNUcaPEWs",13,49,https://twitter.com/DavidFBowen/status/1242175422286180359
Touch
2020-01-27 00:55:59,Praying God touch the hearts of all family &amp; loved ones of one of the greatest to play Basketball! Rest in Peace &amp; Power Kobe Bryant and this 13 Daughter Gianna who played as well! https://t.co/f7WzZe1HkF,0,5,https://twitter.com/DavidFBowen/status/1221597688736747523
