twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
499301763,DebKilroy,Wed Feb 22 00:14:48 +0000 2012,False,Meanjin,16706,2367,49118,40143
 
created_at,full_text,retweet_count,favorite_count,twitter_url
asthma
2020-05-28 01:18:04,@nowsgood320 @ShayneDimmer @CliveFPalmer @MarkMcGowanMP I don’t have severe asthma and my chest &amp; lungs have not been effected by the virus FACT,1,2,https://twitter.com/DebKilroy/status/1265814563527593984
covid19
2020-05-25 04:16:45,@Miss_Tallula Hi I’ve just seen your tweet. I have been sick with COVID19 and I am quite unwell. Sorry I haven’t been well enough to reply and then you’re thinking that because I didn’t reply I don’t support you Hope you’re staying safe Take care,0,1,https://twitter.com/DebKilroy/status/1264772366560681984
2020-05-20 03:37:51,@LVikkiml I think it’s post covid19 symptoms that people are only identifying now,3,12,https://twitter.com/DebKilroy/status/1262950641040855046
2020-05-11 07:39:40,@amandajaporter @AJ_Whittaker @latoya_aroha I would suggest sending to the Minister of Prisons in your State. Let the media know that they won’t accept soap as a public health precaution to COVID19,0,6,https://twitter.com/DebKilroy/status/1259750003012104199
2020-05-07 21:55:38,COVID19 is a death sentence for people in prison #freethemall #Covid_19 RIP Mr. Smalls 💔 https://t.co/cVaUQxw0iU,2,11,https://twitter.com/DebKilroy/status/1258515862283186179
2020-05-02 01:14:21,The reason no one in prison hasn’t tested positive to #COVID__19 is because they’re not testing everyone. Sisters Inside calls on every jurisdiction to test every person in prison for COVID19 #cleanoutprisons https://t.co/EA0xnQkpQP,35,71,https://twitter.com/DebKilroy/status/1256391546426912768
2020-04-25 23:12:09,Covid19 👇🏾👇🏾👇🏾 #covid19behindbars https://t.co/ofJHHydk8b,1,4,https://twitter.com/DebKilroy/status/1254186465967259648
2020-04-08 12:33:49,@clarevward @MeganMinelli @latoya_aroha @AJ_Whittaker @MadelineHayman @Roxy_Moore_ @lidia__thorpe We are donating soap to stop the virus spreading once it hits prison We are also advocating to #cleanoutprisons to have people released so they don’t die from covid19,1,5,https://twitter.com/DebKilroy/status/1247865230551465986
2020-04-06 03:52:51,@AlexSilverLV With all due respect I’m presently in quarantine with COVID19 and as I said there’s great readings available Here’s a great book to start with Are Prisons Obsolete by #AngelaDavis https://t.co/pQhheBhV0Y,0,7,https://twitter.com/DebKilroy/status/1247009348171096064
2020-03-23 00:54:52,Day 10 Starting to feel a bit better. COVID19 is no joke. It knocked us down and we are on our way back up. #physicaldistancing is a must to stop the spread of #covid_19 Take care of yourself and plz think of others. This virus kills @BonetaMarieMabo #hospitallife #auspol https://t.co/MYWeWr0qyr,211,2406,https://twitter.com/DebKilroy/status/1241891127575232513
smell
2020-05-21 04:22:29,"Day 72 Still waiting on results of my #COVID19 tests. Feeling lethargic, tight chest, difficulty breathing, foggy brain, no taste or smell aaarrrggghhhhh Thx to my supportive husband taking photos of me resting 😂😂 Stay safe everyone This virus is serious It’s not muckin around https://t.co/zveGe33tBR",140,753,https://twitter.com/DebKilroy/status/1263324257532014592
2020-05-16 04:02:39,@JeremiahBourge6 Yessss I remember the smell of the ocean and how it bought tears to my eyes Take care,1,7,https://twitter.com/DebKilroy/status/1261507327070359552
2020-03-26 21:27:04,@bezmay @jrojourno @hornseyj @Anna_Hartley1 @normanswan Yes both myself and Neta lost our sense of taste and smell early in and I still don’t have it back fully,1,2,https://twitter.com/DebKilroy/status/1243288384836997120
taste
2020-05-21 04:22:29,"Day 72 Still waiting on results of my #COVID19 tests. Feeling lethargic, tight chest, difficulty breathing, foggy brain, no taste or smell aaarrrggghhhhh Thx to my supportive husband taking photos of me resting 😂😂 Stay safe everyone This virus is serious It’s not muckin around https://t.co/zveGe33tBR",140,753,https://twitter.com/DebKilroy/status/1263324257532014592
2020-03-26 21:27:04,@bezmay @jrojourno @hornseyj @Anna_Hartley1 @normanswan Yes both myself and Neta lost our sense of taste and smell early in and I still don’t have it back fully,1,2,https://twitter.com/DebKilroy/status/1243288384836997120
2020-03-18 00:23:23,Day 5 &amp; I am feeling a bit better Filling up with nutritious homemade soups Body aches lessening Still can’t taste anything but the look of this soup is amazing. Slightly sore throat. #Covid_19 #coronavirus Self isolate &amp; care for yourself 😍 https://t.co/0bJNqtfJKf,33,429,https://twitter.com/DebKilroy/status/1240071264963678208
2020-03-17 15:29:47,Day 4 in isolation has been really hard I’m getting sicker Medical staff came home to check on us &amp; they’re great Feeling really nauseous &amp; I’ve developed a chest infection. My daughter organised chicken soup &amp; fresh juices but can’t taste anything. #COVIDー19 Take care of you ♥️,146,1260,https://twitter.com/DebKilroy/status/1239936980424654848
Difficulty breathing
