twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
23922362,Diabetescouk,Thu Mar 12 08:44:48 +0000 2009,True,"England, UK",61257,3786,17710,32316
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recovered
2020-05-28 14:33:07,"I had my second baby nearly 7 weeks ago with a requested c-section which I recovered from with no complications at all. I had very good control before and during this pregnancy. She weighed 9lbs! This is them together last week x

📷 Phillippa

(2/2)",0,6,https://twitter.com/Diabetescouk/status/1266014645426556930
2020-03-31 12:26:21,"A 26-year old woman with #type1diabetes who has recovered from #COVID19 has shared her experience 🦠⬇️ #coronavirus #GBDoc

https://t.co/x6MzQE781G",13,34,https://twitter.com/Diabetescouk/status/1244964246565400576
antibiotics
2020-05-28 10:50:01,"We had to stay in hospital for 8 days, he had iv antibiotics and so did I. I had tight control throughout, it was hard work but so so worth it 🥰 We are at home now and he is 11 days old 🙂

📷 Jessica

(2/2)",0,5,https://twitter.com/Diabetescouk/status/1265958498862608384
2020-04-01 13:28:31,"When Sally was in hospital she had her bloods taken which showed she had an infection. The doctors did some X-rays and confirmed she had pneumonia so she originally was put on antibiotics to help treat this.

You can read Sally's full story here ➡️ https://t.co/HBwgk66u6P 😊",2,17,https://twitter.com/Diabetescouk/status/1245342281516945409
2020-04-01 13:23:23,"@T1D_AWARENESS Hi, when Sally was in hospital she had her bloods taken which showed she had an infection. The doctors did some X-rays and confirmed she had pneumonia so she originally was put on antibiotics to help treat this.

You can ready Sally's full story here ➡️ https://t.co/HBwgk66u6P 😊",0,1,https://twitter.com/Diabetescouk/status/1245340988513619974
2020-04-01 12:27:21,"@djlexius1986 Hi, when Sally was in hospital she had her bloods taken which showed she had an infection. The doctors did some X-rays and confirmed she had pneumonia so she originally was put on antibiotics to help treat this.",0,1,https://twitter.com/Diabetescouk/status/1245326886881894400
diabetes
2020-05-25 12:01:10,"Choose from 6 designs ➡️https://t.co/UHglOSoVDW

▪️ Slow Down Sugar Lips, I'm Diabetic
▪️ Jelly Babies Save Lives
▪️ Pass Me The Bacon, I Low Carb
▪️ Fingertips of Steel
▪️ Diabetes Awareness
▪️ Naturally Sweet https://t.co/RG8i8qY1gj",0,5,https://twitter.com/Diabetescouk/status/1264889241202556928
2020-05-25 09:30:13,"If you have been newly diagnosed with diabetes, you may find themselves in a state of shock. However, being diagnosed with diabetes doesn’t prevent you from leading a ‘normal’ life.

https://t.co/GVDOKjVLzt",0,7,https://twitter.com/Diabetescouk/status/1264851252812357632
2020-05-23 19:15:02,"You can find support, ask questions and share your experiences with 319,863 forum members 💻

Having support from others who know what it’s like to have diabetes can be very reassuring 💙

Join here ➡️https://t.co/zlLzD6laGI https://t.co/blRssaKb1d",1,5,https://twitter.com/Diabetescouk/status/1264273652582883330
2020-05-23 10:30:00,"It can be easy to forget that diabetes isn’t just about eating the right things &amp; managing #bloodsugars, it can also take an emotional toll &amp; impact on our #mentalhealth &amp; #wellbeing.

#MentalHealthAwarenessWeek 

https://t.co/qWoybPgH4d",2,12,https://twitter.com/Diabetescouk/status/1264141523412758531
2020-05-19 19:00:25,"""Whether #T1D or #T2D this app is invaluable. The education you get from the various forums is insightful and the support from everyone is amazing...I wouldn’t be without it!"" 💬 Katie

Join the diabetes family here ➡️https://t.co/UUcsyKOh4E https://t.co/IgtNjYN5j7",1,3,https://twitter.com/Diabetescouk/status/1262820422028013571
