twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1014112499472457729,Fatuse1,Tue Jul 03 11:43:55 +0000 2018,False,,1362,819,24551,14340
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-10 18:26:08,"@omawunmi__ Do tell me, does the processed powder formula taste as good as actually pounding? I supposedly wouldn't know since I don't take swallow.",0,1,https://twitter.com/Fatuse1/status/1259550305366282246
2020-04-21 17:40:11,@DimoXyz @Essien_Sam It says old enough to discern good music taste,0,0,https://twitter.com/Fatuse1/status/1252653369971392514
2020-03-24 20:58:17,"@nifemibam Which do you think has more impact on overall taste of food, the garnish or seasoning?",0,0,https://twitter.com/Fatuse1/status/1242556362263007232
2020-03-14 21:27:00,Strawberry flavored desserts taste better than the strawberry fruit,1,1,https://twitter.com/Fatuse1/status/1238939711537909760
recovered
2020-04-29 12:07:03,"While I would recommend Nigeria starting antibodies testing with blood tests from recovered patients, I have doubts on capabilities.",0,1,https://twitter.com/Fatuse1/status/1255468638712315905
pain
2020-04-22 19:47:16,"@nifemibam @Negumbo3 I've often argued on the Stigma of African parenting. Hitting a child is the least effective correction method, not to talk of motivation. The deterrence is short lived and physical pain can be accustomed to.",0,8,https://twitter.com/Fatuse1/status/1253047742349393932
2020-03-10 20:18:33,"Man utd for life, Tottenham has brought me nothing but pain and shame.",0,0,https://twitter.com/Fatuse1/status/1237472934962384897
tested positive
2020-03-18 08:15:46,"Damn, I'm in quarantine jus thinking about you, guess I not only tested positive for the virus but for also still having feelings for you. Can i see you one more time before the world ends? https://t.co/rCZdP5ET7n",25,91,https://twitter.com/Fatuse1/status/1240190143505608704
