twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
617602505,FrancisSuarez,Mon Jun 25 00:19:02 +0000 2012,True,"Miami, FL",27320,969,15510,9717
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-21 19:37:13,"Join me live with @KBMcLeodFLA, @DrAriBernstein, and @Justin_Vogt for a great discussion on the intersectionality of Covid-19 and climate change https://t.co/nN1NSkzGSy",0,5,https://twitter.com/FrancisSuarez/status/1263554459793346561
2020-05-03 19:51:58,"🚨Important COVID-19 Relief Info🚨 

Tomorrow at NOON the applications for our #STANDUPMIAMI relief programs will go live. Look out for my posts for my posts for the latest updates or visit our website at the link below ⬇️ 

https://t.co/qzPu1oKFQl",17,36,https://twitter.com/FrancisSuarez/status/1257035187935993869
2020-04-28 16:01:54,LIVE–National COVID-19 testing action plan: Rapid scaling will drive resilience #DataSavesLives https://t.co/Gtwsszpr7Y,9,32,https://twitter.com/FrancisSuarez/status/1255165352767451136
2020-04-03 00:26:50,Today I asked President Trump @realdonaldtrump to immediately suspend flights from international and domestic COVID-19 hotspots to Miami International Airport. We need to stop the spread of the virus to keep Miami residents safe. https://t.co/XdNoHqfrSt,133,533,https://twitter.com/FrancisSuarez/status/1245870336538628096
2020-03-30 22:02:47,"Mi prueba ha dado negativo! Por segunda vez, como lo indica el CDC, recibí el resultado negativo y pude poner fin a la cuarentena! Gracias a todos los que me han ayudado. Ganamos una pequeña batalla, pero tenemos que seguir luchando juntos contra el COVID-19 #juntosenesto https://t.co/wvtIUCywan",36,264,https://twitter.com/FrancisSuarez/status/1244746922386165770
2020-03-20 21:20:16,"COVID-19 is creating great economic hardship for residents and others. Due to these unforeseen circumstances, I joined other Florida mayors in asking @GovRonDeSantis to provide financial flexibility for mortgage payments and to temporarily stop evictions of residential tenants. https://t.co/TaoFPhtDV2",23,69,https://twitter.com/FrancisSuarez/status/1241112347013451776
2020-03-19 20:28:39,Thrilled to share my story about living with COVID-19 with @TheView and how it can hopefully help dispel a lot of the anxiety surrounding this virus. Catch the conversation on tomorrow’s show. https://t.co/lUh5NFJOBl,33,251,https://twitter.com/FrancisSuarez/status/1240736965709967360
2020-03-19 15:43:36,"In my seventh digital journal, I answer some of your most important questions related to COVID-19 and share some useful tips to keep everyone safe. #InThisTogether https://t.co/L3uAq8XqH3",38,191,https://twitter.com/FrancisSuarez/status/1240665232118296584
recovered
2020-04-25 14:26:27,"Donating plasma saves lives, it’s as simple as that. If you have recovered from #COVID19 please consider giving blood to those who need it. Reach out to @my1blood to donate!! https://t.co/AOjzHfIJ0U",22,79,https://twitter.com/FrancisSuarez/status/1254054169780117504
2020-04-04 16:38:47,"Thanks to @foxandfriends for spreading a message of hope. Together we can beat #COVID19. As someone who recovered from the virus, I joined @my1blood to donate plasma. We all have the responsibility to do our part! As @pitbull says #IBelieveThatWeWillWin @iHeartRadio @ParamountMWC https://t.co/1yLbcWNAO7",44,335,https://twitter.com/FrancisSuarez/status/1246477323735576577
tested positive
2020-03-28 15:35:07,"#ICYMI “...the initial whirlwind of emotions - the anxiety, fear and confusion that hit me when I first tested positive - has now been mostly replaced with action, diligence and optimism.” via @MiamiHerald 
https://t.co/CUKva3ccdd",19,92,https://twitter.com/FrancisSuarez/status/1243924586921672704
2020-03-20 17:49:11,"It’s now day eight since I tested positive for COVID-19, and I’m feeling as good or better than I have in days! In today’s digital journal, I also share my thoughts for those who may be anxious about the idea of self-quarantining. #InThisTogether https://t.co/z8FABSRRHA",57,381,https://twitter.com/FrancisSuarez/status/1241059223091515404
2020-03-16 15:29:44,"It’s now day four since i’ve tested positive for COVID-19, and here’s how I’m feeling. Hopefully, through my experience, I can continue to put a face to this virus and reduce the anxiety many people are experiencing. #InThisTogether https://t.co/p07bO8Euaf",121,632,https://twitter.com/FrancisSuarez/status/1239574578147373057
2020-03-13 16:40:15,My message to our residents in light of the news that I have tested positive for COVID-19. https://t.co/gW9IziifQm,247,637,https://twitter.com/FrancisSuarez/status/1238505160617459712
mild symptoms
2020-03-22 17:44:43,@smitty2gunz I was lucky.  I had mild symptoms.,0,4,https://twitter.com/FrancisSuarez/status/1241782875151794177
positive for Covid
2020-03-20 17:49:11,"It’s now day eight since I tested positive for COVID-19, and I’m feeling as good or better than I have in days! In today’s digital journal, I also share my thoughts for those who may be anxious about the idea of self-quarantining. #InThisTogether https://t.co/z8FABSRRHA",57,381,https://twitter.com/FrancisSuarez/status/1241059223091515404
2020-03-18 19:22:01,"#ICYMI “""As one of the few public officials in the country to come forward as testing positive for Covid-19, I have a rare opportunity to put a face to this virus.” via @NYTimesOpinion https://t.co/0MsZBAFiOM",11,52,https://twitter.com/FrancisSuarez/status/1240357811521011712
2020-03-16 15:29:44,"It’s now day four since i’ve tested positive for COVID-19, and here’s how I’m feeling. Hopefully, through my experience, I can continue to put a face to this virus and reduce the anxiety many people are experiencing. #InThisTogether https://t.co/p07bO8Euaf",121,632,https://twitter.com/FrancisSuarez/status/1239574578147373057
2020-03-13 22:08:13,Many people may be wondering what it’s like to test positive for COVID-19. Here is my first digital journal entry to shed some light on my experience. https://t.co/RDpIH2sNI8,135,612,https://twitter.com/FrancisSuarez/status/1238587698186723328
2020-03-13 16:40:15,My message to our residents in light of the news that I have tested positive for COVID-19. https://t.co/gW9IziifQm,247,637,https://twitter.com/FrancisSuarez/status/1238505160617459712
diagnosed with covid
2020-03-15 15:48:52,"It’s now day three since I’ve been diagnosed with COVID-19, and I’m feeling healthy and strong. Check out my latest digital journal for the full update. https://t.co/qr5lgxaXwo",115,675,https://twitter.com/FrancisSuarez/status/1239217007494680577
test positive
2020-03-13 22:08:13,Many people may be wondering what it’s like to test positive for COVID-19. Here is my first digital journal entry to shed some light on my experience. https://t.co/RDpIH2sNI8,135,612,https://twitter.com/FrancisSuarez/status/1238587698186723328
cancer
2020-02-01 16:56:30,#ICYMI One of my biggest honors as Mayor. “15-year-old battling cancer surprised with Super Bowl tickets.” via @TODAYshow https://t.co/CsLwwBWFPC,4,21,https://twitter.com/FrancisSuarez/status/1223651350355025920
