twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1210431073030737920,Periwinkle896,Fri Dec 27 05:24:58 +0000 2019,False,,270,809,44144,13712
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-28 13:19:01,@mikayla_oseby @marker888888 @brandongc2021 @Breaking911 At this point why should they care? Watching cops murder people will do that to ya. You have no idea the pain and what you would do living with that constant fear.,0,0,https://twitter.com/Periwinkle896/status/1265995996590493698
tired
2020-05-28 03:40:27,"@SellNYJWoody @Breaking911 Nope. They are tired of being murdered by police for nonviolent crimes, they cant get justice no matter what they do. Is it right? Nope. Do I blame them? Nope",0,0,https://twitter.com/Periwinkle896/status/1265850394888081410
2020-05-16 20:56:47,"@dantoujours @Sloughcone Of course they are. I have seen this time and time again. They are always blaming someone for Bernies lack of building bridges and bringing people together. Bernie is working with Biden and that's a good thing, yet they are still mad and making up stuff. Tired of Bernie bros.",0,1,https://twitter.com/Periwinkle896/status/1261762544349446147
2020-05-14 12:41:20,"@sandytntn @attachedstring @_Mad_Cat__ @JonathanTurley Shoe fits. Sorry you got your feelings hurt. So I get insulted and return the favor and I'm the bad guy, sounds just like what a conservative would say. Lmao arent you tired of your perpetual persecution victimhood complex?  We sure are. Lol FO",0,0,https://twitter.com/Periwinkle896/status/1260913082026659840
2020-05-13 19:35:53,@WBHartley1 @TGrifters @shutterrrbug @Inevitable_ET @CBS_Herridge @CBSNews @RichardGrenell Yes we are so tired of your stupid and ridiculous games. Always some distraction that proves nothing. Absolutely nothing.,0,0,https://twitter.com/Periwinkle896/status/1260655021680545793
2020-05-13 01:07:25,@JamilSmith @emarvelous Omg. Damn. This is an outrage. I'm so tired of police officers being completely out of control. I feel so bad for her family. This makes me furious. Tired of seeing senseless killings.,1,0,https://twitter.com/Periwinkle896/status/1260376067665211393
2020-05-07 23:56:02,@TheRickWilson I'm so sick of this admin getting away with everything! Im tired of it,1,14,https://twitter.com/Periwinkle896/status/1258546164749570049
drug
2020-05-28 03:10:04,@Nopesorrydumbo @hagen_mj @AlaskaUSA @DeploraBot108 @LisaJ4Liberty @IamTheSherm @alsosusieq2 @MsMariaT @MittRomney No it's not. There are no studies linking its effectiveness. Every study so far has been abandoned due to the fact there are more deaths with the drug than without.,0,0,https://twitter.com/Periwinkle896/status/1265842752060784640
2020-05-20 01:23:42,@michno03 @Deecee526 @HSWT2020 @BillOReilly It's not working and helping people. Did you not hear about the Veterans they used this on and the ones who used it either died or took longer to recover? Why are you so adamant to use a drug you have absolutely zero information on.,0,0,https://twitter.com/Periwinkle896/status/1262916877694767105
2020-05-19 17:26:57,@Estleton12 @MatthewClynch @CBSNews The cops said nothing about him being parked illegally. They just said there was heavy drug activity in the area. No signs saying no parking. Stop making stupid stuff up.,0,1,https://twitter.com/Periwinkle896/status/1262796901633732612
2020-05-13 17:12:24,@Nohohank10 @no_scooters @Nem_Nova @CNN I did and nothing unusual about it. LE have used those tactics for decades and you dont have a problem with it if it was a drug dealer.,0,0,https://twitter.com/Periwinkle896/status/1260618910170308608
exhausted
2020-05-26 22:41:57,@RadioFreeTom I'm so exhausted with this nutbag. Smdh,0,0,https://twitter.com/Periwinkle896/status/1265412889973862400
asymptomatic
2020-05-26 11:36:54,@sweenprs @JJohnsonLaw @ottgal5571 @brithume Yes he could be contagious! You can be asymptomatic for days and carry and transmit it before you ever showed symptoms.,0,2,https://twitter.com/Periwinkle896/status/1265245521163272193
recover
2020-05-24 19:47:12,@SassyChick1979 Oh gosh I'm so sorry. I hope she and you recover quickly.,0,0,https://twitter.com/Periwinkle896/status/1264644136797458434
Touch
2020-05-21 18:57:20,@DrystOctavius @Flat6forever @Bootoomee @neeratanden @BernieSanders Women couldnt even wear PANTS in congress until late 1993. You really need to educate yourself. It was a strict dress code and she would not have gotten away with it. Ask any women working in congress back then. He didnt touch her. She is lying.,0,0,https://twitter.com/Periwinkle896/status/1263544421368430592
2020-05-18 15:50:02,"@JKaetz @ReeseRogers1 @Jeffmister @benyt She has used and taken from everyone who has helped her. She is a habitual liar. She cant remember what he even did to her. First it's a non sexual touch on her shoulder, then its fingered banged in a public hallway that's frequently used.  Lol not buying it.",0,0,https://twitter.com/Periwinkle896/status/1262410123642908680
covid-19
2020-05-21 05:35:02,@kylegriffin1 Lol I have taken it for over 5 years for RA and I got COVID-19 too. Maybe she should listen to actual doctors instead of the idiot in the White House.,1,1,https://twitter.com/Periwinkle896/status/1263342517178765312
2020-05-15 04:03:40,@NBCNews They made it up. Another distraction from this incompetent admins failed COVID-19 response,0,1,https://twitter.com/Periwinkle896/status/1261145198714904576
2020-05-12 02:07:13,@mspoint1106 I had it and also had COVID-19. There is no comparison. Covid-19 was way worse.,1,4,https://twitter.com/Periwinkle896/status/1260028725883625472
cold
2020-05-12 03:18:18,@ChavezRavine7 @hello_ishmael @Joe21235278 @JackPosobiec @ajc Stop victim blaming. You're ridiculous. He had every right to be on that road. They had no reason to stop him at all. There was no citizens arrest. They didnt see him commit a crime. No reason at all for them to hunt him down. Zero. This was cold blooded murder,0,0,https://twitter.com/Periwinkle896/status/1260046614837768194
2020-05-10 18:42:59,@Barnes_Law @LibertyHangout @Liz_Wheeler That's a lie. They hunted him down. For walking onto a construction site. That's cold blooded murder,0,2,https://twitter.com/Periwinkle896/status/1259554542825414656
freeze
2020-05-10 13:49:56,@hello_ishmael @Joe21235278 @JackPosobiec @ajc So now vicimt blaming because he didnt freeze when attacked? GTFOH,0,4,https://twitter.com/Periwinkle896/status/1259480797897199626
breath
2020-05-06 17:22:14,@WeSears @EYoto32 @daytondesi @GretaGroots @maddow I'm also not in a womb. Breath is life and read your Bible.,0,0,https://twitter.com/Periwinkle896/status/1258084669960130561
painful
2020-05-06 01:40:52,@HoarseWisperer This is straight up premeditated murder. It's so painful to watch.,0,0,https://twitter.com/Periwinkle896/status/1257847769194266624
2020-05-05 11:34:08,@PrettyGinger1 @13Lupo @ScotchieT @mmpadellan Oh how painful for you. I'm so sorry.,0,1,https://twitter.com/Periwinkle896/status/1257634681199169536
