twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
856144708145381376,HomerWasTaken,Sun Apr 23 13:56:19 +0000 2017,False,lebanon ,4499,2762,16867,22767
 
created_at,full_text,retweet_count,favorite_count,twitter_url
chill
2020-05-28 23:34:57,@heyhani chill 😭,0,1,https://twitter.com/HomerWasTaken/status/1266151002245300226
2020-05-27 14:11:26,@BlanketMatters LMAOOOO CHILL,0,0,https://twitter.com/HomerWasTaken/status/1265646800049930242
2020-05-26 23:29:59,@karninaaa lol chill we in public,0,0,https://twitter.com/HomerWasTaken/status/1265424976821313540
2020-05-26 12:11:36,@PeterChemali LMAOO chill,0,0,https://twitter.com/HomerWasTaken/status/1265254255952384003
2020-05-25 23:24:48,@Nonotnad chill,0,0,https://twitter.com/HomerWasTaken/status/1265061283885449216
2020-05-23 17:00:00,@iamnotghazi @Internalizable deghre alabta sex 😳 chill,0,3,https://twitter.com/HomerWasTaken/status/1264239672261316610
exhausted
2020-05-28 18:06:08,idk what people be expecting out of me i’m mentally exhausted like,12,70,https://twitter.com/HomerWasTaken/status/1266068252268118017
breath
2020-05-27 17:44:35,@funnygirl_99 @rwner i breath and get dragged into drama,0,0,https://twitter.com/HomerWasTaken/status/1265700439577812994
2020-05-24 02:10:57,@ayaafawazz i breath and get hate,0,0,https://twitter.com/HomerWasTaken/status/1264378321267298304
2020-05-24 01:56:59,@larachalak_ i breath and get attacked,0,2,https://twitter.com/HomerWasTaken/status/1264374807317053441
pain
2020-05-27 00:20:01,bonding over pain and trauma,6,30,https://twitter.com/HomerWasTaken/status/1265437566922342403
2020-05-26 13:26:51,@Tareq_Sayyed1 pain,0,1,https://twitter.com/HomerWasTaken/status/1265273194132406273
2020-05-18 01:04:00,@ilovebriecheese laughing at my pain,0,1,https://twitter.com/HomerWasTaken/status/1262187145399328769
nose
2020-05-26 22:42:36,its not the zodiac compatability its your ugly nose,5,76,https://twitter.com/HomerWasTaken/status/1265413050796068864
2020-05-22 01:26:46,Iʼm never gonna forgive my parents for giving me an ugly nose,19,145,https://twitter.com/HomerWasTaken/status/1263642428470366208
2020-05-19 17:07:23,"@J00000000000009 la2 left one got lazier eyes w bigger lips, nose completely different (a7la men l right), w she's more of an oval face, w right one got more defined bone structure",0,0,https://twitter.com/HomerWasTaken/status/1262791976698744833
cancer
2020-05-25 18:56:17,@karenwithgh @nadiinesvenom well I got 150 ppl blocked so akid men cancer twitter laughed ana bas shefet nes saying she's trash,0,0,https://twitter.com/HomerWasTaken/status/1264993710481293313
taste
2020-05-24 10:05:42,@Nonotnad taste,0,1,https://twitter.com/HomerWasTaken/status/1264497796922695680
2020-05-20 02:03:42,@dayanee_e taste,0,0,https://twitter.com/HomerWasTaken/status/1262926945001648129
2020-05-20 01:52:25,@Furrrrida wlak taste,0,1,https://twitter.com/HomerWasTaken/status/1262924106162470912
2020-05-18 21:56:08,@tuuttt__ not suprised a bamieh eater got no taste 🙄,0,0,https://twitter.com/HomerWasTaken/status/1262502255607066624
tired
2020-05-24 02:15:42,"tired of being a human, wish i was a fish instead",11,59,https://twitter.com/HomerWasTaken/status/1264379515742097412
2020-05-22 01:29:28,@nrkhwnd im SIMPly tired,0,2,https://twitter.com/HomerWasTaken/status/1263643104734838784
shaking
2020-05-22 18:01:59,@alimbadtrip shiaas r shaking rn,0,2,https://twitter.com/HomerWasTaken/status/1263892883037454336
Sneeze
2020-05-22 10:12:09,@Nonotnad just sneeze 🤧 w rte7e,0,0,https://twitter.com/HomerWasTaken/status/1263774642902306818
Touch
2020-05-19 19:29:20,imma moan when my feet touch the pool again,13,86,https://twitter.com/HomerWasTaken/status/1262827698164031491
smell
2020-05-14 15:26:42,@funnygirl_99 i can smell it,0,0,https://twitter.com/HomerWasTaken/status/1260954698741354502
