twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
15702236,HughE_Dillon,Sat Aug 02 16:05:10 +0000 2008,False,Philadelphia,28327,2728,13135,155889
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tested positive
2020-05-28 23:41:25,"If you or anyone you know tested positive via a swab test for COVID-19 antibodies, Penn Medicine needs to talk to you about possibly donating blood to create a vaccine &amp; to study how it has affected all types of people. (This is not a drug trial, so now worries there.) Thanks https://t.co/MwWcpsAalY",7,11,https://twitter.com/HughE_Dillon/status/1266152629853466625
2020-04-24 14:12:58,Just posted @ShopRiteStores Whitman Plaza 333 W. Oregon Ave.  a worker has tested positive for Covid19 https://t.co/ZuRuSesYgp,3,6,https://twitter.com/HughE_Dillon/status/1253688386155679744
2020-04-19 07:11:01,"COVID-19 patients may be most contagious one to two days before symptoms appear, study finds
https://t.co/ncfCLvMjEB ~ Yes that is exactly what @PHLPublicHealth told me a month ago when I tested positive for Covid19 (they weren't concerned w/people I saw past 3 days)",0,1,https://twitter.com/HughE_Dillon/status/1251770258937036802
2020-04-16 22:10:21,"https://t.co/CHSZbSTqbX ~ Chris Cuomo and George Stephanopoulus have no idea what a sacrifice is . STFI DB u both just tested positive, ugh",0,0,https://twitter.com/HughE_Dillon/status/1250909422538416136
2020-03-21 22:22:21,"Thank you @PHLPublicHealth
for following up on me and my recovery. It's reassuring to know @PhiladelphiaGov has a plan in place to monitor people who have tested positive for #coronavirus . I'm especially grateful for the follow ups which will happen going forward. #stayhome",11,218,https://twitter.com/HughE_Dillon/status/1241490358141440001
2020-03-20 21:09:10,"Today I have tested positive for #coronavirus . I have mild symptoms, cough, sore throat, extreme body aches. I’m resting at home and will be quarantined for 14 days. I’m grateful my symptoms are mild, and extend prayers to those suffering worse. #StayHome",86,1512,https://twitter.com/HughE_Dillon/status/1241109552076029967
2020-03-16 19:24:48,"@Tattoos4ACause Sorry I don't mean to me flippent. I know someone who was directly in contact with the bball player, has all the symptoms but a fever and they turned her down. She contacted them the night he tested positive. I'm trying to get her tested.",0,2,https://twitter.com/HughE_Dillon/status/1239633734846070784
2020-03-15 00:45:53,@DeniseNakanoTV @MiguelMValle @NBCPhiladelphia and Christian Wood from the Piston's just tested positive.,0,0,https://twitter.com/HughE_Dillon/status/1238989761467080709
covid-19
2020-05-28 23:41:25,"If you or anyone you know tested positive via a swab test for COVID-19 antibodies, Penn Medicine needs to talk to you about possibly donating blood to create a vaccine &amp; to study how it has affected all types of people. (This is not a drug trial, so now worries there.) Thanks https://t.co/MwWcpsAalY",7,11,https://twitter.com/HughE_Dillon/status/1266152629853466625
2020-05-27 02:47:03,U.S. farmers will get $16 billion in direct aid because of COVID-19 https://t.co/0RSSeA76TR,0,0,https://twitter.com/HughE_Dillon/status/1265474568724131842
2020-05-23 18:06:17,Fairmount salon owner closing due to uncertainty amid COVID-19 pandemic https://t.co/0bWOeRcbwC via @6abc,0,2,https://twitter.com/HughE_Dillon/status/1264256349543829505
2020-05-22 13:37:09,"Good Review, Good Show. Great fundraiser for @phlcovid19fund &gt;&gt;  PHLove fundraiser for COVID-19 relief showcases Questlove, Daryl Hall, Patti LaBelle | Review https://t.co/UDCChW4KMd via @phillyinquirer @delucadan",3,7,https://twitter.com/HughE_Dillon/status/1263826234020179971
2020-05-21 04:30:20,A Man Shared A Shocking Photo Of What COVID-19 Did To Him After Six Weeks In A Hospital https://t.co/qD8sGBRymh via @davidmackau,0,2,https://twitter.com/HughE_Dillon/status/1263326233737285632
