twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
39682124,jennineak,Wed May 13 03:55:08 +0000 2009,True,Australia,22651,1435,31638,22235
 
created_at,full_text,retweet_count,favorite_count,twitter_url
chills
2020-05-27 11:22:12,"And it gives me chills to know a lot of people pat themselves on the back for dialoguing and championing diversity and multiculturalism, perpetuating the myth that we live in a post-racial world that is just but flawed, while folks get killed for being black here there everywhere",1,34,https://twitter.com/jennineak/status/1265604209694478338
shaking
2020-05-20 03:52:37,President Tweety I’m shaking,0,15,https://twitter.com/jennineak/status/1262954356984418309
2020-05-14 08:50:49,@regisardust @darosmodernlife I’m shaking,0,4,https://twitter.com/jennineak/status/1260855072952430593
2020-04-29 00:32:36,somewhere at m*ssad headquarters they have the tmz article of gigi hadid + zayn malik expecting a baby pinned to a wall in the ‘demographic threat’ department. they’re shaking in their boots. they can’t conceive the ever-expanding diaspora,20,144,https://twitter.com/jennineak/status/1255293873347276801
2020-04-11 00:35:03,I told him it’s Biden v Trump now. we’re all shaking https://t.co/MOx6zbrYxj,3,33,https://twitter.com/jennineak/status/1248771508178059270
autoimmune
2020-05-18 23:51:18,autoimmune diseases are so stupid. the immune system is the wile e coyote of the human body. you’re really gonna attack your own home??? you’re so dumb you believe normal bodily functions are invading infections????? are you ok?? do you need help there ???,1,95,https://twitter.com/jennineak/status/1262531236032999424
2020-04-07 05:35:19,"is iso hitting anyone else with an autoimmune condition really hard? my body is acting out, I can’t sleep but I’m extremely fatigued, I feel burnt out and zombie-like 😞",0,30,https://twitter.com/jennineak/status/1247397523402027008
2020-03-26 09:02:40,"and yes, we do it for others who have autoimmune conditions and are immunocompromised, incl myself, and for the collective good of us all regardless of age. but I have not seen anyone young resist this AS much as old gens resist boosting social services, climate change action etc",1,33,https://twitter.com/jennineak/status/1243101050438967296
2020-03-19 21:51:46,I’m in some Facebook groups for a shared autoimmune condition and people are really out here stockpiling our medication...? I take it everyday to simply function properly and I’m out of a current script too. Can all you scared little bitches chill for a second https://t.co/n6EP2MRdwg,1,23,https://twitter.com/jennineak/status/1240757882867441664
2020-03-14 12:55:27,"the annoying thing is I am - at most - experiencing five of these symptoms often because of an autoimmune condition (fatigue, sore throat, headache, muscle pain) 😞 https://t.co/eS20bS8U9K",4,36,https://twitter.com/jennineak/status/1238810977425952768
2020-03-13 13:16:41,should those of us with autoimmune diseases take any extra/special precautions? the news is starting to make me panicky and I was just hanging out with a friend who has a cold 👀,0,49,https://twitter.com/jennineak/status/1238453930348036096
rash
2020-05-13 07:53:45,more like A Rash am I right,1,8,https://twitter.com/jennineak/status/1260478323412647938
tired
2020-05-06 07:01:55,gonna be a baby for a second. I hate having a chronic condition and medicating everyday and still feeling broken and tired 🥺🥺🥺🥺 I hate that so few people understand it. brb crying into hot water bottle 🥺🥺🥺,0,96,https://twitter.com/jennineak/status/1257928562205548545
2020-04-23 08:54:55,I’m too old and tired for this (life),6,25,https://twitter.com/jennineak/status/1253245959858880512
2020-04-13 20:21:19,This is such a bizarre hill to (continue to) die on. People are tired of the establishment — they don’t want Trump and they also don’t want to return to the political conditions that enabled the likes of Trump and his supporters. It’s not hard to understand. https://t.co/tDwu3BFTeY,4,45,https://twitter.com/jennineak/status/1249794816684113920
pain
2020-05-02 03:01:32,"if you want to criticise eurocentric school curriculums - and that is valid - or the way genocides and historical pain and suffering *can* be weaponised to justify/excuse other injustices, you can do all of this without underplaying the holocaust but ok",1,18,https://twitter.com/jennineak/status/1256418519714951169
2020-04-07 09:37:37,there is so much pain in the world. thinking of survivors everywhere. we see you and we believe you.,2,40,https://twitter.com/jennineak/status/1247458500688543744
2020-04-07 08:15:08,@vivafalastin I know I’m dying from back pain over here 😭,0,3,https://twitter.com/jennineak/status/1247437742100713477
drug
2020-05-01 09:37:33,"to keep my attention, drug cartel shows or bust",0,6,https://twitter.com/jennineak/status/1256155791251234816
2020-03-24 01:48:26,I thought the tweets saying Donald Trump promoted the anti-malaria drug chloroquine as a cure to coronavirus was a joke or overstated. But he really did say that. And people have now died and are being poisoned as a result. https://t.co/I9E7TWPm5Y,11,55,https://twitter.com/jennineak/status/1242266997041197057
sweat
2020-04-20 18:21:20,woke up in a sweat at 4am in Sydney just then because I knew in my heart of hearts that the US oil industry was in crisis,1,41,https://twitter.com/jennineak/status/1252301340199415808
chill
2020-04-16 02:43:51,I have no chill when I’ve caught a rare 0.1% of a feel,0,18,https://twitter.com/jennineak/status/1250615862198824960
2020-04-16 00:01:31,@cuckflag @IwriteOK none of this is “dying on a hill” and I am chill lmfao,0,1,https://twitter.com/jennineak/status/1250575010067935232
2020-04-10 06:24:37,@BobbyPortishead he’ll survive it’s just hair bro chill,0,3,https://twitter.com/jennineak/status/1248497092500176896
2020-04-09 11:15:31,@JanEdwards62 sis I’ve had it for like five yrs chill,0,8,https://twitter.com/jennineak/status/1248207914063376384
2020-04-04 23:45:41,@RahsAlGhul18 it’s not serious please chill,0,3,https://twitter.com/jennineak/status/1246584758844325890
2020-04-04 05:47:11,@MatisseThybuIIe what a lil bitch. chill out https://t.co/vpyWVz9Kc3,0,12,https://twitter.com/jennineak/status/1246313345659080711
2020-03-27 07:39:57,they’re all pretty spread out and maybe those groups are households???? CAN EVERYONE CHILL THE FUCK OUT FOR A SECOND. people in the comments are calling for the military to deal with them and I just https://t.co/1pPOSELE0K,12,98,https://twitter.com/jennineak/status/1243442619193020421
2020-03-26 22:39:18,"@Lexialex my GOD. if this doesn’t highlight how real and strong and systemic the hatred of Palestinians is. they want to bury us, silence us, chill us",1,10,https://twitter.com/jennineak/status/1243306560702435329
2020-03-19 21:51:46,I’m in some Facebook groups for a shared autoimmune condition and people are really out here stockpiling our medication...? I take it everyday to simply function properly and I’m out of a current script too. Can all you scared little bitches chill for a second https://t.co/n6EP2MRdwg,1,23,https://twitter.com/jennineak/status/1240757882867441664
Touch
2020-04-14 04:22:16,"it’s literally all I have been eating + crackers. or straight spoonfuls. I haven’t touch any other food, will I die if this continues",0,10,https://twitter.com/jennineak/status/1249915852838690816
2020-04-07 06:19:37,I said “let’s touch base” in a meeting. it’s over for me now. I’m basic,1,85,https://twitter.com/jennineak/status/1247408669421002752
2020-03-30 05:38:39,Australian Dr Daniel Reardon ended up in hospital after inserting magnets in his nostrils while building a necklace that warns you when you touch your face. I love this guy https://t.co/5miS9O2K8e,10,55,https://twitter.com/jennineak/status/1244499260105580545
2020-03-28 08:02:24,Are there any journalists who want to speak to international students + workers who are in limbo? Out of work? Can’t return home and are stuck in Australia? Have no safety net and no access to welfare? Let me know and I can put you in touch #covid19au,3,25,https://twitter.com/jennineak/status/1243810658476408832
2020-03-23 01:04:47,can touch face without care in the world. he’s rubbing it in https://t.co/HffYTPu9sY,0,54,https://twitter.com/jennineak/status/1241893622338863104
2020-03-14 02:22:22,@FalseGlamour touch wood 😭 it was only a minute,0,5,https://twitter.com/jennineak/status/1238651655840657409
2020-03-04 21:13:13,"don’t know what cable is, sweetie. netflix just debits the money from my account every month. you fool. you out of touch imbecile. you brainless warmonger https://t.co/Ss53XbCQKq",2,67,https://twitter.com/jennineak/status/1235312366331613188
cough
2020-04-12 01:11:55,is it a rona cough or did I smoke too many darts last night,1,53,https://twitter.com/jennineak/status/1249143173680685057
cold
2020-04-12 00:40:16,@ftp1212 I always have a jacket w me to avoid this because I easily get cold so no!!,0,0,https://twitter.com/jennineak/status/1249135207791374339
2020-03-13 13:16:41,should those of us with autoimmune diseases take any extra/special precautions? the news is starting to make me panicky and I was just hanging out with a friend who has a cold 👀,0,49,https://twitter.com/jennineak/status/1238453930348036096
2020-03-05 06:19:41,@DenzDejz time to crack open a cold one,0,1,https://twitter.com/jennineak/status/1235449888722178048
Vitamin D
2020-04-06 02:19:35,I am a PMSing Vitamin D deficient troll in iso today so I’m going to get glammed up and go out for an essential item on my break,0,8,https://twitter.com/jennineak/status/1246985876791422977
Itching
2020-03-28 12:20:25,@coimbrasousa itching to leave the country 😭,0,1,https://twitter.com/jennineak/status/1243875592275017730
tested positive
2020-03-26 02:34:43,"In other news, a Palestinian refugee in a camp in Lebanon has tested positive for coronavirus. I really fear the impacts this will have. Stateless, very little access to healthcare etc https://t.co/ufxZhZD8tx",10,20,https://twitter.com/jennineak/status/1243003418718830592
2020-03-16 04:48:20,A teacher at a primary school in Panania has tested positive for coronavirus. Close 👏 schools 👏 now 👏. This is so irresponsible! You’re putting all staff and students at risk.,6,45,https://twitter.com/jennineak/status/1239413165605015554
2020-03-14 02:08:45,"I’ve been tested POSITIVE for COVID-19, which is GOOD news! The stock market isn’t doing so positively, but the Great people of the United States will get through this!",43,1566,https://twitter.com/jennineak/status/1238648229085851648
Chloroquine
2020-03-24 01:48:26,I thought the tweets saying Donald Trump promoted the anti-malaria drug chloroquine as a cure to coronavirus was a joke or overstated. But he really did say that. And people have now died and are being poisoned as a result. https://t.co/I9E7TWPm5Y,11,55,https://twitter.com/jennineak/status/1242266997041197057
covid-19
2020-03-22 22:56:01,one of the worst social aspects about COVID-19 is that it’s really brought out the karen and kevin narc sensibilities of the aus woke crowd who otherwise generally try hard to suppress it,1,44,https://twitter.com/jennineak/status/1241861217745924097
2020-03-19 00:25:15,covid-19 can’t attack my airways if all this existential dread weighing on my chest suffocates me first,4,57,https://twitter.com/jennineak/status/1240434123635736577
2020-03-18 23:41:41,covid-19 star https://t.co/4sNSIGRwjC,1,14,https://twitter.com/jennineak/status/1240423159028781057
2020-03-14 02:24:26,"gym-goers, what’s the covid-19 plan?",9,171,https://twitter.com/jennineak/status/1238652177498791936
freeze
2020-03-20 00:18:55,working from home thought #912: I should probably freeze my eggs,0,28,https://twitter.com/jennineak/status/1240794917204455425
cancer
2020-03-16 19:49:31,"My sister is a teacher and she’s still being forced to go to school despite being so concerned about contracting the virus. If she does, it could affect my father who is immunocompromised and has ONE working lung, and another family member with cancer who is undergoing chemo https://t.co/O30L83UILI",3,61,https://twitter.com/jennineak/status/1239639953857851392
2020-03-11 08:02:31,On Palestine - Sophie discusses the flouting of international law by denying medical care to Palestinians in Gaza. Examples like toddler cancer patients in Gaza needed permission to go to West Bank hospital and cross Israeli territories but parents weren’t allowed to go with them,1,8,https://twitter.com/jennineak/status/1237650092347150336
2020-03-05 07:31:51,The son of the Iraqi refugee who died from cancer (and needed B negative blood - posted about this earlier) needs a Fri/Sat/Sun job to get by while he studies English. Anyone know anything in western Sydney? Auburn area? Please share.,15,33,https://twitter.com/jennineak/status/1235468048150040577
sore throat
2020-03-14 12:55:27,"the annoying thing is I am - at most - experiencing five of these symptoms often because of an autoimmune condition (fatigue, sore throat, headache, muscle pain) 😞 https://t.co/eS20bS8U9K",4,36,https://twitter.com/jennineak/status/1238810977425952768
Muscle pain
2020-03-14 12:55:27,"the annoying thing is I am - at most - experiencing five of these symptoms often because of an autoimmune condition (fatigue, sore throat, headache, muscle pain) 😞 https://t.co/eS20bS8U9K",4,36,https://twitter.com/jennineak/status/1238810977425952768
positive for Covid
2020-03-14 02:08:45,"I’ve been tested POSITIVE for COVID-19, which is GOOD news! The stock market isn’t doing so positively, but the Great people of the United States will get through this!",43,1566,https://twitter.com/jennineak/status/1238648229085851648
nose
2020-03-12 10:19:57,a guy on TV had his nose bitten off by his dog and surgeons replaced it with skin from his cheek and shaves his nose everyday now because it gets stubble. that’s the tweet,8,86,https://twitter.com/jennineak/status/1238047069777965056
diarrhoea
2020-03-07 08:17:29,"I hope everyone who’s overstocked on toilet paper gets weeks of violent diarrhoea to make it all worth it, psychos",5,91,https://twitter.com/jennineak/status/1236204310960033792
feverish
2020-03-04 10:43:36,@nick__nobody it was so weird but I was too feverish to think much at the time,0,1,https://twitter.com/jennineak/status/1235153918746755072
