twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
113364160,JordanChariton,Thu Feb 11 14:36:02 +0000 2010,True,"New York, NY",113657,620,2355,40675
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 16:06:32,"Trying to distract from the fact that he has had one of the worst COVID-19 responses of any Governor, @NYGovCuomo brings out @rosieperezbklyn to shower him with praise https://t.co/WTBKGbzasZ",20,52,https://twitter.com/JordanChariton/status/1266038155360247808
2020-05-19 21:22:36,I am LIVE RIGHT NOW on YouTube: Trump's Red State Allies Censoring &amp; Mishandling COVID-19 Data https://t.co/7VVFc8tdOr,6,20,https://twitter.com/JordanChariton/status/1262856202293260291
2020-05-11 15:43:45,Who the hell is South Dakota Governor @govkristinoem to tell the Cheyenne River Sioux Tribe to remove its COVID-19 traffic checkpoint on THEIR TREATY LAND! My interview with @CRSTChairman Harold Frazier https://t.co/4BT4IIFBBi,33,73,https://twitter.com/JordanChariton/status/1259871826462871562
2020-05-11 15:39:03,It's truly astounding that @JoeBiden wrote a @washingtonpost op-ed about the Trump administration's horrible COVID-19 response with zero mention of the 35-40 million people laid off w/ out healthcare and what he would do for them (hint--not much)...https://t.co/xN9eFqSi8D,231,773,https://twitter.com/JordanChariton/status/1259870644923248640
2020-05-10 17:49:56,Interviews coming up w/ Cheyenne River Sioux Tribe Chairman @CRSTChairman on SD Governor Attempting to Force Tribe to Shut Down COVID-19 Checkpoints. Also speaking w/ @BenjaminNorton on U.S. plot to overthrow Venezuelan president Maduro during a pandemic! https://t.co/PGtBgfeTgw,9,20,https://twitter.com/JordanChariton/status/1259541192385204224
2020-05-09 17:28:51,Does anyone else get into COVID-19 funks where you feel super BLAH and have a hard time focusing/getting excited about stuff? I think the prolonged cabin fever is getting to me.,32,368,https://twitter.com/JordanChariton/status/1259173502025977857
2020-05-08 22:38:27,"We're less than $200 bucks away from hitting $100,000 via GoFundMe for @StatusCoup! I'm blown away--especially now w/ the COVID-19 devastation, people are still tossing in support for real independent media. Keep it coming (if you can!) https://t.co/8172JcVmYE",44,104,https://twitter.com/JordanChariton/status/1258889025303261187
2020-05-08 17:46:54,"Imagine if the Dem donors who've bought the party would send their hundreds of thousands of dollars to Navajo Nation, Flint, Detroit, and other vulnerable communities ravaged by COVID-19 instead of flushing it down the gold toilet bowl for the honor of zooming w/ @HillaryClinton https://t.co/iPtDdT8buj",150,414,https://twitter.com/JordanChariton/status/1258815653772955648
2020-05-07 17:48:26,"Unacceptable progressives haven't forcefully challenged @SpeakerPelosi's laughable response to COVID-19 while Dems enable @senatemajldr 2 enact the next great American bank heist.

COBRA expansion? Lobbyists bailout? Where's @BernieSanders @aoc @RoKhanna @IlhanMN @RashidaTlaib?",274,775,https://twitter.com/JordanChariton/status/1258453653670825986
