twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
440963378,kevincollier,Mon Dec 19 16:05:00 +0000 2011,True,NYC,19085,2811,31539,4625
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-15 21:42:30,"@jeffstone500 A guy in uniform who's professionally accomplished, jogs 10 miles a day, whose alleged worst vice is a taste for doing sodukus... your friends could do worse.",0,6,https://twitter.com/kevincollier/status/1261411660436135936
2020-04-04 17:30:31,"@_rshapiro Interesting. I still could taste somewhat, so I'd dump cholula on everything to bring out as much flavor as I could.",0,1,https://twitter.com/kevincollier/status/1246490344390373379
shake
2020-05-15 00:28:32,"The Union Station Shake Shack, which I confess was a regular pre-pandemic habit whenever I'd take the train to DC. @GovChristie was there with a lady, just sitting there eating, as one does. https://t.co/eafB5MFTkc",0,5,https://twitter.com/kevincollier/status/1261091056998928384
covid-19
2020-04-30 14:50:19,"In rare statement, @ODNIgov says the IC ""concurs with the wide scientific consensus that the COVID-19 virus was not manmade or genetically modified"" &amp; ""originated in China.""

But remarkably leaves the door open on it accidentally escaping from a Wuhan lab:
https://t.co/NiUePu01ul",7,5,https://twitter.com/kevincollier/status/1255872111761072135
2020-04-10 21:19:01,Neat map that lets you compare Covid-19 infections by county with loooots of different demographic info: https://t.co/GAYLGXNkRY,5,11,https://twitter.com/kevincollier/status/1248722177278586882
2020-04-04 17:21:13,"Uh... I guess you can do the ""jellybean test"" described here but when I lost my sense of smell from COVID-19 I literally couldn't smell an open bottle of vinegar right under my nose. Wasn't rocket surgery.
https://t.co/RZPRBcE7ob",7,50,https://twitter.com/kevincollier/status/1246488003960352775
2020-03-25 18:37:26,"Almost two weeks ago, I experienced mild flu-like symptoms (aches, chills). On Thursday, after they passed, I called @kingscountyhosp, which said I could come down for a COVID-19 test. Yesterday it came back positive.",295,1195,https://twitter.com/kevincollier/status/1242883304908619779
2020-03-12 20:30:13,"As somebody who covers dis- and misinformation, I wanna praise @NYCMayor's office for doing this well. 

A couple people texted me rumors the city was closing subways, bridges, tunnels, &amp; asked if it was true. I had no idea, but signed up for city's covid-19 text alerts. Nope! https://t.co/NaMFIwzJMS",131,309,https://twitter.com/kevincollier/status/1238200645599010816
tired
2020-04-23 22:41:24,"@HenryKrinkIe ""I'm tired of this Earth. These people. I'm tired of being caught in the tangle of their lives. And doctors and nurses are the real superheroes.""",0,1,https://twitter.com/kevincollier/status/1253453948750639104
smell
2020-04-10 19:28:00,"@jsrailton When I totally lost my sense of smell from it (and even now, with it only slightly recovered), I doused almost everything with hot sauce to be able to at least sense a little.",0,2,https://twitter.com/kevincollier/status/1248694237253767176
