twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1150627556116389890,koolgurl630,Mon Jul 15 04:46:01 +0000 2019,False,,114,255,1321,636
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recovered
2020-05-17 05:09:59,@TSM_Chica Girl sending prayers! Just got recovered from COVID as well as my family. Please be safe ❤️,0,1,https://twitter.com/koolgurl630/status/1261886661836910592
breath
2020-05-09 17:37:38,@lasuubs Aw 🥺 hun you know I’m here *hugs* ❤️ just take a breath,0,2,https://twitter.com/koolgurl630/status/1259175712226975746
sore throat
2020-05-06 14:56:11,"I have to monitor her cough/sore throat and when it’s gone wait for 72 hours before going back to work. I know I should take my time to heal but I’m good but I understand why this must be done &amp; I know my folks are happy that I can’t go back yet, I miss work but safety first ❤️",0,1,https://twitter.com/koolgurl630/status/1258047915903397888
2020-05-06 14:56:10,"So it’s been almost a month since I’ve been to work and I’m so grateful for their understanding and protocols. However due to my mother, being diagnosed on 5/3/2020 with a fever but she’s doing fine just a sore throat &amp; cough, according to my doctor I can’t go to work just yet",0,6,https://twitter.com/koolgurl630/status/1258047915018326016
fever
2020-05-06 14:56:10,"So it’s been almost a month since I’ve been to work and I’m so grateful for their understanding and protocols. However due to my mother, being diagnosed on 5/3/2020 with a fever but she’s doing fine just a sore throat &amp; cough, according to my doctor I can’t go to work just yet",0,6,https://twitter.com/koolgurl630/status/1258047915018326016
2020-04-27 01:47:35,"For those who don’t know, I’ve been AFK or not streaming because I’ve been diagnosed with COVID 19 a week ago (April 15) since then I’ve been isolating myself &amp; getting better. Started with a fever that would surpass 102.6 but now my fever is gone just have an annoying coughing..",1,24,https://twitter.com/koolgurl630/status/1254587968955854849
chill
2020-04-29 18:48:22,"Feeling better compared to two weeks ago! I’m going live in an hour and going to be streaming Killing floor and chill with friends killing zeds, hope to see you guys there! Make sure notifications on ☺️",2,10,https://twitter.com/koolgurl630/status/1255569634595569665
tired
2020-04-27 01:54:16,@lasuubs @BabyDollBiss @Daredevilkitty @Bombita03529239 Thanks I try lol and I am just been coughing here and there and feeling tired :/ and my dad is doing well &amp; I know my brother is doing well too lol and thanks that mean a lot to me 🥺❤️ and I’ll be lurking in your streams ❤️😘,0,2,https://twitter.com/koolgurl630/status/1254589651085668353
2020-04-27 01:47:35,"I’m doing fine just been tired and an occasional dry cough, my household is under strict quarantine cause my dad &amp; brother also have it. I’m grateful to have my friends &amp; family  they all have been amazing so please take social distancing seriously and wash your hands! How I got",0,6,https://twitter.com/koolgurl630/status/1254587970276950016
dry cough
2020-04-27 01:47:35,"I’m doing fine just been tired and an occasional dry cough, my household is under strict quarantine cause my dad &amp; brother also have it. I’m grateful to have my friends &amp; family  they all have been amazing so please take social distancing seriously and wash your hands! How I got",0,6,https://twitter.com/koolgurl630/status/1254587970276950016
diagnosed with covid
2020-04-27 01:47:35,"For those who don’t know, I’ve been AFK or not streaming because I’ve been diagnosed with COVID 19 a week ago (April 15) since then I’ve been isolating myself &amp; getting better. Started with a fever that would surpass 102.6 but now my fever is gone just have an annoying coughing..",1,24,https://twitter.com/koolgurl630/status/1254587968955854849
sweats
2020-04-15 20:11:29,"Please drop him a follow, he’s an amazing kid and such a sweetheart and one the kindest sweats you’ll ever meet ❤️❤️

Check out Playing Creative Come say hi 22/50 followers https://t.co/OFTmdnEBIt",2,4,https://twitter.com/koolgurl630/status/1250517120875737090
2020-03-11 17:05:22,@JohnWhicc I remember when there was no sweats in team rumble now you see the Eiffel Tower in every corner 🥺,0,0,https://twitter.com/koolgurl630/status/1237786705006153732
nose
2020-01-08 02:20:18,@SypherPK Dogs have a way of sensing these things and that’s what makes them so special and an important part of our lives ❤️ my dog busted my dads nose and he knew and slowly and sadly walked up to my dad like he was saying sorry 🥺,0,3,https://twitter.com/koolgurl630/status/1214733536642654208
