twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1086997252764327938,LuvStars23216,Sun Jan 20 14:41:55 +0000 2019,False,,691,160,20946,22322
 
created_at,full_text,retweet_count,favorite_count,twitter_url
freeze
2020-05-14 16:35:56,THIS PLEASE🙏🙏 I will say it's more easy than yt now. At least streams don't delete or freeze as in yt. PLEASE STREAM on Genie whenever you find any free link with streams. We can surely make knock chart in genie if continue streaming there. https://t.co/tPEF6SMlaj,5,7,https://twitter.com/LuvStars23216/status/1260972121938935813
2020-05-04 12:57:04,I hope yt views didn't freeze coz of yt premium. We can't stream mv in loop or use playlist even if we have yt premium . Kindly take note of this https://t.co/A3tZECgQ8I,14,14,https://twitter.com/LuvStars23216/status/1257293163359764481
tired
2020-05-13 17:27:46,I know we are tired but rohas don't stop streaming please. Our previous show champion views contributed in scores too that we won in SC today. PLEASE KEEP STREAMING!!!! https://t.co/9J1BQGWyIm,4,4,https://twitter.com/LuvStars23216/status/1260622778383949832
shaking
2020-05-13 10:32:55,THIS WAS SO UNEXPECTED I WAS BUSY SEARCHING ASTRO ON NAVER AND MELON NOTIFICATIONS POP MY JAWS DROP HANDS SHAKING CINFIRMING IT AAAAAHHHHHHHHH #KNOCK1STWIN YES #ASTRO2NDWIN YES YESSSS YESSSSSSSS,3,6,https://twitter.com/LuvStars23216/status/1260518379875688448
massage
2020-05-01 08:30:48,@myungjuniecutie HAHAHAHAHAHA and then on 4th we will be giving ourselves chest massage like Eunwoo😂,0,1,https://twitter.com/LuvStars23216/status/1256138991449104386
Breathless
2020-04-24 10:09:01,The bbubbu babieee literally grown up to a young mature man😭😭 I will miss hide &amp; seek and breathless Sanha sooo muchhh😢🤧 https://t.co/EC0GsLIN7U,2,1,https://twitter.com/LuvStars23216/status/1253626993754681345
2020-04-24 09:47:02,MJ in shorts reminds me of breathless MJ😭😭,0,0,https://twitter.com/LuvStars23216/status/1253621461039931393
Touch
2020-04-20 14:40:21,"[#아스트로]
#ASTRO_GATEWAY is the combination of power + refreshiness means we will get the touch of @offclASTRO refreshness that makes me more EXCITED!!! 

#ASTRO Fighting !",5,1,https://twitter.com/LuvStars23216/status/1252245725364158472
