twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
288502321,LzWeGotOne,Tue Apr 26 23:48:01 +0000 2011,False,,3502,889,25704,101378
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-26 22:06:15,"@Tha_Hustlah Bro I’m tired of commenting on them videos, ain’t no way I’m standing there watching my ppl die, how it make sense",0,2,https://twitter.com/LzWeGotOne/status/1265403904185061378
2020-04-10 17:26:35,@donnylindell I’m fckin tired of Eggs fam lol,0,0,https://twitter.com/LzWeGotOne/status/1248663680524390401
2020-04-10 17:24:14,"Man I’m tired of cookin eggs, why ain’t some breakfast shit came out",2,5,https://twitter.com/LzWeGotOne/status/1248663089555390474
2020-03-30 18:29:34,@Pothead_Briscoe I’m tired of this shit bro lol,0,0,https://twitter.com/LzWeGotOne/status/1244693263770157057
pain
2020-05-10 21:49:19,Murda Pain needs to be in a blockbuster role,1,2,https://twitter.com/LzWeGotOne/status/1259601438914871296
2020-04-07 04:31:56,Murda Pain really a raw ass actor,1,4,https://twitter.com/LzWeGotOne/status/1247381570568081411
2020-04-05 01:08:18,T Pain came out swingin lol,2,2,https://twitter.com/LzWeGotOne/status/1246605549862637574
cancer
2020-05-07 20:44:00,"Black men like Jason Whitlock are cancer in our community..imagine being 53 years old with a platform &amp; resources readily available to help make a change, &amp; instead you passively attempt to belittle others, another black man at that, who do..just a waste https://t.co/H0ACP3tPQO",3,24,https://twitter.com/LzWeGotOne/status/1258497835210878976
2020-04-14 14:00:10,@Yaleexap Kill myself ? We not sayin all that lol you prolly had a cancer 😂😂,0,2,https://twitter.com/LzWeGotOne/status/1250061285162614798
shaking
2020-04-28 21:08:41,"@whoCMarie He was shaking n shit, ain’t no way lol",0,1,https://twitter.com/LzWeGotOne/status/1255242556927074305
cold
2020-04-28 20:03:28,Yvette was really on the phone wit Rodney runnin down my nigga Jody bidness smh it’s a cold world,9,26,https://twitter.com/LzWeGotOne/status/1255226145961848836
