twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
718804407782137860,Mafisinews,Sat Apr 09 14:15:00 +0000 2016,False,facebook.com/mafisinews,3487,4530,9346,18908
 
created_at,full_text,retweet_count,favorite_count,twitter_url
medicine
2020-05-26 03:50:32,"A dose of your own medicine 😂😂😂
https://t.co/UqtkG4B2mG",1,2,https://twitter.com/Mafisinews/status/1265128159466459141
cold
2020-05-09 03:46:07,Preparing for post pandemic phrase! It always feels better after a nice slow run and a cold shower in this part of the world. https://t.co/Fua36RnAgL,0,0,https://twitter.com/Mafisinews/status/1258966451349848065
2020-03-17 04:30:38,"#CoronavirusOutbreak has brought all business to a stand still, Kids and Mums be waiting for bread to start home schooling, little do they know dads be braving the cold just waiting for that customer to show up! It’s dam sad 😥😥😥😥 #COVID2019 #COVID19 #COVID19KE https://t.co/raIZmJakjY",5,14,https://twitter.com/Mafisinews/status/1239771100059443200
2020-01-25 14:23:58,@serahblessings Cold War.,0,2,https://twitter.com/Mafisinews/status/1221076248446808070
2020-01-16 15:39:44,It’s cold out there!  #SeduceSomeoneInFourWords https://t.co/OtN7RtfEsP,0,1,https://twitter.com/Mafisinews/status/1217833822487707648
covid-19
2020-04-30 14:30:44,Thanks... If only you knew how it feels to wait for COVID-19 Report.... https://t.co/jbtwdBxzJS,0,0,https://twitter.com/Mafisinews/status/1255867185643302920
2020-04-30 13:33:58,It’s negative 👍👍👍💪💪🙏🙏🙏Thank all for the support and prayers juts got my covid-19 reports! https://t.co/1yyQgoM1dn,0,0,https://twitter.com/Mafisinews/status/1255852900976394242
2020-04-04 10:31:26,@OwnDoctor Covid-19 is no joke we are abstaining,0,0,https://twitter.com/Mafisinews/status/1246384877940899840
2020-04-03 16:26:24,@TheMedicaIVideo @ian_ochii Boss I am still wondering why we don’t have covid-19 solution with people like you around,0,1,https://twitter.com/Mafisinews/status/1246111823012802568
taste
2020-04-16 17:17:45,@KE_Fridah When is my turn to taste your recipe,0,0,https://twitter.com/Mafisinews/status/1250835784569143296
recovered
2020-04-10 04:52:06,@kipkuley @teddyeugene @LewisMenya @DCI_Kenya Remaining rifle recovered from the archeological site!,1,1,https://twitter.com/Mafisinews/status/1248473809738293249
painful
2020-04-09 18:18:47,@BahatiKenya @diana_marua It will end in painful tears. Mark this tweet!🤡 https://t.co/7dSRvpwaYu,0,0,https://twitter.com/Mafisinews/status/1248314429256630273
2020-02-06 04:13:03,"@mcpipita I told you stop cheating, now look at us, I AM LEAVING!!!  This be painful when she is wearing you favorite jersey",1,1,https://twitter.com/Mafisinews/status/1225271158951596033
Touch
2020-03-24 10:49:29,@ntvkenya @Mwirigi Don’t this mediocre media people touch themselves with the left hand? Theoretically how do they shower 🤷🏽‍♀️,0,0,https://twitter.com/Mafisinews/status/1242403155180171266
2020-03-17 05:01:28,@Africanreports Kenyans are waiting for it to touch the border.,0,0,https://twitter.com/Mafisinews/status/1239778860025217024
pain
2020-02-19 04:04:52,"@prof_pius This back pain be killing me for weeks now doctors says he hit no medications but i figures out that a good back rub from some special hands would do wonders, Whats your say?",0,1,https://twitter.com/Mafisinews/status/1229980141826301952
sweat
2020-02-04 17:16:15,@Mayodi__ @OmbetaC @R_Bargorett I sweat my ass off🤷🏽‍♀️,0,1,https://twitter.com/Mafisinews/status/1224743480771186689
tired
2020-01-27 03:55:58,We are tired if this is how our taxes are used and politicians continue to yap #BBI #KenyansAreTired https://t.co/DvcFX7rgPi,0,3,https://twitter.com/Mafisinews/status/1221642981473767425
shake
2020-01-16 20:31:43,Shake damn legs https://t.co/k9eXxPAcFL,0,2,https://twitter.com/Mafisinews/status/1217907303795564545
