twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
148872468,MaryLouMcDonald,Thu May 27 20:51:35 +0000 2010,True,,125006,781,26474,15146
 
created_at,full_text,retweet_count,favorite_count,twitter_url
asthma
2020-05-06 17:38:47,#StepUpForAsthma on World Asthma Day https://t.co/Xm04KyxWqg,88,614,https://twitter.com/MaryLouMcDonald/status/1258088835147345920
covid-19
2020-04-14 17:30:16,"Yesterday I got a positive diagnosis for Covid-19 having been tested on Sat 28th March The Public Health Doctor says I""m no longer infected/ infectious - a great relief after weeks of sickness
My sympathy to every bereaved family. I am heartbroken for you. #COVID19 #coronavirus https://t.co/EopC9RLNyE",688,8216,https://twitter.com/MaryLouMcDonald/status/1250114159200567296
Touch
2020-03-22 09:50:58,Happy Mothers Day to all of us &amp; to our Mothers too. It's at times like this we most value the strength of the Irish Mammy. Stay safe. Stay apart. Stay in touch #MothersDay https://t.co/GlU3Ya7o2f,79,1090,https://twitter.com/MaryLouMcDonald/status/1241663653277061120
2020-03-15 22:12:00,@loverinhfk Your Mom is worried about everyone's health. She's right. Over the next weeks we will all have to minimise social contact. Keep in touch with your friend but stay apart. That's the best advice. Stay well,3,56,https://twitter.com/MaryLouMcDonald/status/1239313426364669952
2020-03-14 21:15:12,"Today we had a second #coronavirus death. The virus is here and spreading. This is a public health emergency. It is important to stay at home and keep all contact to a minimum. So no parties, no gigs, no pubs, no clubs.Stay home. Stay apart from people. Stay in touch with people.",1768,9596,https://twitter.com/MaryLouMcDonald/status/1238936744491393026
2020-03-11 20:14:21,"That’s a wrap! Thanks to everyone who tuned in to our first online public meeting - ⁦@sinnfeinireland⁩ does politics differently. Keep watching, keep talking, stay in touch and join us again soon #governmentforchange #time4unity https://t.co/zB8HUxBVnU",115,1014,https://twitter.com/MaryLouMcDonald/status/1237834265708167169
covid19
2020-03-17 18:17:53,So this is BS 'fake news' 🙄but the dangers of Covid19 are Very Real. Stay Home Tonight. Make sure you're not getting infected or spreading infection. Mind your family. It's the Irish way 🇮🇪 #COVID19 #CoronaIreland #LaFheilePadraig https://t.co/6a7921FCLD,118,1009,https://twitter.com/MaryLouMcDonald/status/1239979284745400320
