twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
19825835,MattHancock,Sat Jan 31 18:44:16 +0000 2009,True,London & Suffolk,305693,1271,2407,19010
 
created_at,full_text,retweet_count,favorite_count,twitter_url
medicine
2020-05-27 06:52:05,"ICYMI: Select NHS patients will soon be treated with the breakthrough medicine remdesivir, probably the biggest step taken since the #coronavirus crisis began https://t.co/3TEJA1KdPj",348,1746,https://twitter.com/MattHancock/status/1265536236191731715
drug
2020-05-26 17:15:40,"Innovation is vital in fighting #coronavirus. We’re starting a new trial for an antiviral drug - remdesivir - which already has some promising results in shortening recovery time.

Details: https://t.co/lAndPAC3jK https://t.co/fdWjmiqagA",197,1240,https://twitter.com/MattHancock/status/1265330775362338819
2020-02-20 09:02:44,"One of my proudest moments was when we made a life-saving cystic fibrosis drug - Orkambi - available on the NHS. Now we start the fight for the next generation of cystic fibrosis drugs to save lives:

https://t.co/ZXjxzDSsoV https://t.co/25HnZTNjVg",51,176,https://twitter.com/MattHancock/status/1230417489219158016
asymptomatic
2020-05-13 17:33:04,"2/2 Named clinical leads for every care home give instant access to clinical advice

Government supported #coronavirus training programme for support staff

Our testing programme supports all symptomatic &amp; asymptomatic care home staff &amp; residents",26,219,https://twitter.com/MattHancock/status/1260624111350530050
2020-05-11 17:41:25,Our new portal for #coronavirus testing for care homes widens access for symptomatic and asymptomatic staff and residents. Details: https://t.co/o04RAHwwlP,47,271,https://twitter.com/MattHancock/status/1259901440862105602
2020-05-05 13:33:49,We’re further widening #coronavirus testing to enable all symptomatic &amp; asymptomatic care home staff &amp; residents to be tested https://t.co/WgxlfKCVsG,63,551,https://twitter.com/MattHancock/status/1257664799560937473
test positive
2020-05-04 08:42:55,"@piersmorgan @GMB Sorry to see @PiersMorgan has symptoms of coronavirus. If you test positive, I sincerely hope it’s mild. Get well soon.",156,4248,https://twitter.com/MattHancock/status/1257229203763798016
tested positive
2020-03-27 12:56:40,"Following medical advice, I was advised to test for #Coronavirus.

I‘ve tested positive. Thankfully my symptoms are mild and I’m working from home &amp; self-isolating. 

Vital we follow the advice to protect our NHS &amp; save lives

#StayHomeSaveLives https://t.co/TguWH6Blij",4685,18424,https://twitter.com/MattHancock/status/1243522325397622784
2020-03-10 22:40:15,"1/2: Really sorry to hear Nadine has tested positive for coronavirus. She has done the right thing by self isolating at home, and both NHS and PHE staff have been brilliant. We all wish her well as she recovers.",349,2800,https://twitter.com/MattHancock/status/1237508595698274305
covid-19
2020-03-19 19:56:29,I will be on BBC1 at 8pm answering questions about our response to coronavirus Covid-19 https://t.co/ovgK2ohqDc,32,107,https://twitter.com/MattHancock/status/1240728870539726849
cancer
2020-03-10 12:46:23,Prostate cancer has taken too many. This is a positive step forward in our battle against cancer: https://t.co/ocwg7nv1X9,36,114,https://twitter.com/MattHancock/status/1237359141464748033
2020-02-06 07:58:37,Good news this study has the potential to transform cancer treatment. A promising step in helping all those affected https://t.co/xgQSWyvDPA,8,48,https://twitter.com/MattHancock/status/1225327924452130816
2020-02-04 16:05:55,We all have friends and family members who’s lives have been affected by cancer - I want to thank everyone in the NHS working together to beat cancer  #WorldCancerDay,48,224,https://twitter.com/MattHancock/status/1224725784499314688
2020-01-21 07:57:47,"Cancer takes lives too soon and affects too many. This discovery is a coup for British science - shows the importance of investment in research 

https://t.co/m9OpYtNNz5",280,855,https://twitter.com/MattHancock/status/1219529510183489537
2020-01-20 09:25:47,HPV screening &amp; vaccinations will save thousands of women’s lives from cervical cancer - a vital step forward for women’s health https://t.co/pJAnhZrigS,36,158,https://twitter.com/MattHancock/status/1219189267571904513
2020-01-07 11:32:24,"Worth reading this - we’re determined to lead the world in cancer treatment 

https://t.co/pizKpvR4CD",14,44,https://twitter.com/MattHancock/status/1214510088372797442
HIV
2020-01-16 10:41:27,"I remember when HIV was a death sentence. So I’m delighted at the 73% reduction in HIV transmissions. 

Good news, but there’s still more to do. https://t.co/PCLm7PFzGk",95,483,https://twitter.com/MattHancock/status/1217758760057417729
heart disease
2020-01-13 20:27:40,"We will be the first country in the world to access a new cutting-edge treatment for heart disease. 

The revolutionary jab will help with cholesterol and save tens of thousands of lives. https://t.co/0SmsWbjFfU",156,526,https://twitter.com/MattHancock/status/1216819120416657409
