twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
120903580,Melusi_MD,Sun Mar 07 23:09:57 +0000 2010,False,Ruimsig / Sandton,16201,1088,9242,186521
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-27 21:06:22,Better not get tired before I do.,0,0,https://twitter.com/Melusi_MD/status/1265751223749181440
2020-05-27 20:59:18,Don’t y’all get tired of being filled with cum? https://t.co/UwtQ3JwBlL,0,4,https://twitter.com/Melusi_MD/status/1265749444319903758
2020-05-26 16:56:17,I’m tired and in a very shitty mood. I need a glass of red wine.,0,1,https://twitter.com/Melusi_MD/status/1265325899844653057
2020-05-23 17:16:44,I’m sick and tired of being accused of being a hoe. Next person is gonna catch a case.,0,12,https://twitter.com/Melusi_MD/status/1264243879479586816
2020-05-16 17:31:39,@brian_royalza I’m sick and tired of thirst follows being disappointing. I need to educated choices. The pun is intended.,0,3,https://twitter.com/Melusi_MD/status/1261710921363226624
taste
2020-05-26 20:47:05,Ok. This is not funny anymore. I want my taste back.,0,4,https://twitter.com/Melusi_MD/status/1265383980653838338
2020-05-26 19:45:22,Whoa. Does your sense of taste come before the respiratory symptoms? 🥺,1,2,https://twitter.com/Melusi_MD/status/1265368448223322112
2020-05-05 17:44:24,Beats. The owner giving me a taste of noise cancelling technology. https://t.co/cnReEw9i2o,0,21,https://twitter.com/Melusi_MD/status/1257727862850936839
respiratory symptoms
2020-05-26 19:45:22,Whoa. Does your sense of taste come before the respiratory symptoms? 🥺,1,2,https://twitter.com/Melusi_MD/status/1265368448223322112
covid19
2020-05-25 10:55:48,This goes to show just how much still needs to be done on educating the public on COVID19 👇🏾 https://t.co/fuIkbjNuo2,20,29,https://twitter.com/Melusi_MD/status/1264872791062581248
2020-05-25 10:08:22,"@RavenXV Great. I’m glad you found these. So, COVID19 is not an autoimmune disorder as it says in those papers. The other paper suggests it being a trigger of an already existing autoimmune disorder.",0,0,https://twitter.com/Melusi_MD/status/1264860856925519872
2020-05-25 09:17:37,I’m gonna need you to rewrite the pathophysiology of COVID19 because clearly we got it all wrong. Please. https://t.co/n9XZFD9DED,4,17,https://twitter.com/Melusi_MD/status/1264848084263227392
2020-05-25 09:06:05,"@RavenXV I’m not sure about describing a disease wrong only because the reader understands it in that way. It doesn’t make it right. COVID19 is not an autoimmune disorder, like the brochure you read said.",0,6,https://twitter.com/Melusi_MD/status/1264845180928212993
2020-05-24 21:03:13,@RavenXV I know that too. COVID19 is not an auto-immune disease.,0,1,https://twitter.com/Melusi_MD/status/1264663265877151744
2020-05-21 13:52:13,What is a definition of a COVID19 (or related) death?,0,3,https://twitter.com/Melusi_MD/status/1263467635498520581
2020-05-14 17:55:56,Hospitals are hiding COVID19 horror stories 🤭,382,733,https://twitter.com/Melusi_MD/status/1260992253998358528
2020-05-10 15:49:12,I’m attending yet another webinar on COVID19,0,0,https://twitter.com/Melusi_MD/status/1259510809455099904
2020-05-05 07:04:13,"I said they must tell people who come to any of our centres and don’t disclose that they’ve been exposed to someone with COVID19 or they have it, they will be prosecuted.",0,0,https://twitter.com/Melusi_MD/status/1257566754571718656
2020-05-03 12:28:53,I hope COVID19 makes an example out of you.,1,6,https://twitter.com/Melusi_MD/status/1256923682687127553
2020-05-02 19:09:55,New evidence suggests that you’re most infective 2 days before you show COVID19 symptoms. https://t.co/qb6VPLJddO,54,42,https://twitter.com/Melusi_MD/status/1256662220748066817
autoimmune
2020-05-25 10:49:01,"Pathophysiology of autoimmune disorders made sense to me while I was still in med school and it was taught by medical professionals and textbooks. I don’t need another explanation, especially from someone who doesn’t know how autoimmunity works. https://t.co/1QxOmzjazI",1,6,https://twitter.com/Melusi_MD/status/1264871083414519812
2020-05-25 10:08:22,"@RavenXV Great. I’m glad you found these. So, COVID19 is not an autoimmune disorder as it says in those papers. The other paper suggests it being a trigger of an already existing autoimmune disorder.",0,0,https://twitter.com/Melusi_MD/status/1264860856925519872
2020-05-25 09:06:05,"@RavenXV I’m not sure about describing a disease wrong only because the reader understands it in that way. It doesn’t make it right. COVID19 is not an autoimmune disorder, like the brochure you read said.",0,6,https://twitter.com/Melusi_MD/status/1264845180928212993
2020-05-25 09:01:07,@RavenXV This is new. And I love read papers from all those regions and have never seen it being referred to as an autoimmune disorder. I don’t know that you’re reading but I’m pretty sure it’s not medical journals.,0,0,https://twitter.com/Melusi_MD/status/1264843932304891905
2020-05-24 21:04:40,@RavenXV Still not an autoimmune response.,0,0,https://twitter.com/Melusi_MD/status/1264663629967896579
cold
2020-05-24 15:33:55,I need the cold front to get here so y’all can keep your clothes on. Safa!,0,6,https://twitter.com/Melusi_MD/status/1264580394969632772
2020-05-15 10:07:21,I got a very cold reply this morning and ndiyagowa fr https://t.co/fuwpQuAjkG,0,4,https://twitter.com/Melusi_MD/status/1261236721204760578
covid-19
2020-05-19 11:16:29,"Stop acting like children: it’s embarrassing 👇🏾

Politicking, pandemics and prestige: What's really behind the squabbles at South Africa's high-level COVID-19 committee? – Bhekisisa https://t.co/Nj0DAZyUkA",0,2,https://twitter.com/Melusi_MD/status/1262703669935583232
painful
2020-05-19 06:40:08,"I wish you actually understood body dysphoria because letting people be is surely not up your alley. It is painful and debilitating. Seeing people comfortable in bodies that some people might hate or mock them for, makes me so happy. I love seeing them at peace with themselves.",1,18,https://twitter.com/Melusi_MD/status/1262634125242109953
itchy
2020-05-18 19:32:05,I’m so full and I took dopaquel. My eyes are already itchy from being sleepy. I’m just scared that I might regurgitate and aspirate 😭,0,2,https://twitter.com/Melusi_MD/status/1262466005294604291
medicine
2020-05-17 07:57:49,Is the armetisia annua used to make amertisinin different from the armetisia that’s being touted as traditional medicine with efficacy for treating COVID19?,0,0,https://twitter.com/Melusi_MD/status/1261928897102430208
Touch
2020-05-13 10:41:14,"@Mo_Mosia Uhm my license has expired, sis. I’m not allowed to touch patients",0,0,https://twitter.com/Melusi_MD/status/1260520473030463492
