twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
935368364,MikeKellyPA,Thu Nov 08 20:31:21 +0000 2012,True,"Washington, DC",21746,1305,1284,2959
 
created_at,full_text,retweet_count,favorite_count,twitter_url
Hydroxychloroquine
2020-05-19 20:34:19,"Who do we trust when it comes to our health? Medical professionals or @JoyVBehar? @POTUS @realDonaldTrump and I did what all Americans should do before taking Hydroxychloroquine - we sought the counsel of our trusted doctors. That's what ""anybody with a brain"" would do. https://t.co/agec1oIWXu",360,901,https://twitter.com/MikeKellyPA/status/1262844052061458432
covid-19
2020-05-14 18:42:50,"We are excited to welcome @POTUS @realDonaldTrump to the Commonwealth today, &amp; thankful for his support during the COVID-19 pandemic. PA has received:

✅$300+ million for testing
✅$21.4 billion in SBA loans
✅2.6 million N-95 masks

..and so much more from this administration.",612,2329,https://twitter.com/MikeKellyPA/status/1261004057809956866
2020-05-06 15:15:46,"Happy #NationalNursesDay to all nurses. We are grateful for all that you are doing to help those struggling with COVID-19 and all you did before this pandemic and will do after it passes. Thanks for selflessly serving our families, friends, and neighbors!",27,99,https://twitter.com/MikeKellyPA/status/1258052847414865926
2020-04-22 23:36:09,"Western PA's @NexTier bank has loaned $97 million in #PaycheckProtectionProgram funds to local businesses during the COVID-19 pandemic.

Today, CEO Clem Rosenberger joined @TeamCavuto &amp; talked about how #PPP has saved jobs in our communities.

https://t.co/d5fiI1baIM",6,11,https://twitter.com/MikeKellyPA/status/1253105342717865985
2020-04-20 21:11:10,"Erie, Pennsylvania residents seeking to be tested for COVID-19 will soon have another option available to them. ⬇️ https://t.co/fUwmun2nis",3,6,https://twitter.com/MikeKellyPA/status/1252344080056545280
2020-04-16 15:25:54,"Congress must pass a clean bill to increase funding for the Paycheck Program Program so businesses can continue paying employees and get through the COVID-19 pandemic.

@SpeakerPelosi and @SenSchumer: please put people over politics and help us get this done. https://t.co/nI7YGxE0xr",75,141,https://twitter.com/MikeKellyPA/status/1250807636846620673
2020-03-20 17:29:04,"At 2:00 p.m., @GovernorTomWolf &amp; Secretary of Health Dr. Rachel Levine will update Pennsylvanians on efforts to combat the coronavirus.

WHAT: Update on COVID-19 via Virtual Press Conference
WHEN: Today, 2:00 PM
WHERE: Live Stream ⬇️

https://t.co/q5q3q69sci",0,3,https://twitter.com/MikeKellyPA/status/1241054160801468420
tested positive
2020-03-27 20:21:06,"Today I received word that I tested positive for COVID-19. My symptoms are mild, and I will continue serving Pennsylvania's 16th District from home until I fully recover.

Read my full statement here: ⬇️

https://t.co/63g1zGHK9L",366,1274,https://twitter.com/MikeKellyPA/status/1243634172167622667
positive for Covid
2020-03-27 20:21:06,"Today I received word that I tested positive for COVID-19. My symptoms are mild, and I will continue serving Pennsylvania's 16th District from home until I fully recover.

Read my full statement here: ⬇️

https://t.co/63g1zGHK9L",366,1274,https://twitter.com/MikeKellyPA/status/1243634172167622667
mild symptoms
2020-03-13 18:20:04,"We will defeat the #coronavirus.  Most who contract this disease will have mild symptoms, but together we can slow the spread to the elderly &amp; those with underlying medical conditions who are at particular risk.

For key info, please visit my website. ⬇️

https://t.co/JpBcCAGHpj",4,11,https://twitter.com/MikeKellyPA/status/1238530281864339456
