twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
3462078204,MindfulDrG,Sat Sep 05 18:41:22 +0000 2015,False,"Illinois, USA",3490,2405,19220,6010
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-17 00:58:41,@BeingCharisBlog Yup. I was once told I have chronic pain because I have the devil inside of me. She said I needed to go to the elders of her church to get saved. 🤦🏼‍♀️,0,2,https://twitter.com/MindfulDrG/status/1261823419148120065
2020-05-04 17:11:34,@beth_morton A1: Meds and procedures have not worked for me. One thing that seems to help at times is to dig my nails in different areas of my scalp. It can increase pain temporarily for me but then provide at least a perception of relief after. 🤷🏼‍♀️ #migrainechat,1,3,https://twitter.com/MindfulDrG/status/1257357212349063169
2020-04-29 16:52:59,@winedarkme Years of experience living with chronic illness and pain has taught me how to look normal when I feel horrid (makeup helps too!).,0,3,https://twitter.com/MindfulDrG/status/1255540596669906947
2020-03-30 19:47:57,@paintoolkit2 Telehealth has also allowed me to work with patients who are in areas where they do not have access to a pain psychologist. So this is also a major benefit.,1,2,https://twitter.com/MindfulDrG/status/1244712992404619265
2020-03-30 19:44:13,@paintoolkit2 For over 8 years I have offered in person or telehealth sessions to patients. My patients with pain love the option of turning their in person session last minute to telehealth if they are having a particularly bad physical day. It allows for continuity of treatment.,1,3,https://twitter.com/MindfulDrG/status/1244712053862027264
2020-03-26 21:53:30,@LisaKeel9 Pain meds don't work for me (complex medical history). Just taking Tylenol for fever.,2,14,https://twitter.com/MindfulDrG/status/1243295034394333184
2020-03-26 21:21:40,@jaforbes59 Pain meds don't work for me (complex medical history). Just taking Tylenol for fever.,0,2,https://twitter.com/MindfulDrG/status/1243287026499289091
2020-03-26 15:51:06,"-Spike a fever multiple times a day since March 14th (highest was 103) 
-Lung pain and pressure 
-Chest pain and pressure
-Difficulty breathing (mostly slow labored breathing)
-Full body aches 
-Fatigue 
-Get winded from standing or walking at times",8,34,https://twitter.com/MindfulDrG/status/1243203834547261446
2020-03-25 21:31:07,I was diagnosed with #coronavirus earlier this week. I am home in quarantine. Every breath has been a struggle. I've had a fever on and off for 12 days. The pain in my lungs is nothing like I have ever felt. #StayHome #WeAreAllInThisTogether https://t.co/vkBZYNKrsL,5287,14359,https://twitter.com/MindfulDrG/status/1242927015440703488
