twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
904517796,NaijaFlyingDr,Thu Oct 25 19:31:24 +0000 2012,False,LAGOS,119676,266,98894,114122
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-28 07:04:41,"👏👏👏👏👏👏
Never get tired of this story https://t.co/1jd2gC6aXt",4,37,https://twitter.com/NaijaFlyingDr/status/1265901791910092800
covid-19
2020-05-27 15:54:06,"Madagascar to deploy soldiers, doctors to eastern city amid COVID-19 fears

https://t.co/RYSg37WK3k",5,10,https://twitter.com/NaijaFlyingDr/status/1265672635565985794
2020-05-18 07:49:51,"80% of people with Covid-19 will show only mild to moderate symptoms &amp; recover, regardless of what they are given

So even if you’re taking Kolanut, the likelihood is that you will recover from Covid-19, but that doesn’t mean it was the Kolanut that got you better.

Dr Sani Aliyu https://t.co/gvqohkYdpK",103,146,https://twitter.com/NaijaFlyingDr/status/1262289280464011272
2020-05-12 20:17:57,"Ok so I can tell you because it made the news!

37-Year Old COVID-19 Patient Gives Birth To Baby Boy At LUTH

https://t.co/Q53yR1G5Ri https://t.co/Afs31XddeU",14,58,https://twitter.com/NaijaFlyingDr/status/1260303221173686273
2020-05-12 17:31:48,"All Wuhan residents to get COVID-19 test after new outbreak

https://t.co/YPpxb4XcAY",5,14,https://twitter.com/NaijaFlyingDr/status/1260261405019824142
covid19
2020-05-26 14:33:48,Air ambulance transfers across Brazil for COVID19 patients https://t.co/6vy0v6wB6P,2,7,https://twitter.com/NaijaFlyingDr/status/1265290040646815744
2020-05-10 21:26:26,"I am going to start again as I think that tweet just caused too much confusion. 

Kawasaki disease is a 'swelling' of the blood vessels that occurs  in kids. It is more common in Japan, saw many cases when I worked there. 

It seems to be related to COVID19 and can be serious",25,70,https://twitter.com/NaijaFlyingDr/status/1259595680273793025
chill
2020-05-19 11:11:25,"I searched and searched

But there is absolutely no chill in this letter https://t.co/gXzN3oZDoT",9,76,https://twitter.com/NaijaFlyingDr/status/1262702396297351170
recover
2020-05-18 07:49:51,"80% of people with Covid-19 will show only mild to moderate symptoms &amp; recover, regardless of what they are given

So even if you’re taking Kolanut, the likelihood is that you will recover from Covid-19, but that doesn’t mean it was the Kolanut that got you better.

Dr Sani Aliyu https://t.co/gvqohkYdpK",103,146,https://twitter.com/NaijaFlyingDr/status/1262289280464011272
drug
2020-05-14 18:40:00,"With these kind of odds, nairabet or baba ijebu is more likely to make you money when compared to  the chances of developing a blockbuster drug https://t.co/gvqohlfOhi https://t.co/KItrmYh8Py",4,14,https://twitter.com/NaijaFlyingDr/status/1261003346447437825
