twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
117147697,nickrallo,Wed Feb 24 17:52:10 +0000 2010,True,Dallas,1440,1692,12824,8648
 
created_at,full_text,retweet_count,favorite_count,twitter_url
freeze
2020-05-21 15:53:40,@catdownes Well now you have to write something about the Mr. Freeze,0,1,https://twitter.com/nickrallo/status/1263498201631469568
smell
2020-05-09 14:56:41,"@brittanieshey Future potato chip flavors: 
Duck à l'orange with rice pilaf 
Cold beer hot dog mustard relish and Mrs. Baird's bun (now with smell of ballpark!)
King casserole merlot and cloth napkins",0,1,https://twitter.com/nickrallo/status/1259135204708532225
2020-04-29 23:00:55,@TaylorinDallas Yeah I was three blocks away and i saw the smell waves like a shark,0,2,https://twitter.com/nickrallo/status/1255633187855839234
2020-04-02 17:18:12,"Quick rant: Last week, my wife tested positive for COVID19 after she lost smell &amp; taste in the midst of (what we thought was) sinus infection symptoms. I had, what I assumed, was a bad cold—it was mostly congestion and aches—around March 7.",1,35,https://twitter.com/nickrallo/status/1245762471035637762
taste
2020-05-09 14:48:36,@brittanieshey I'm confused though--does it taste like the rye bread too?,0,0,https://twitter.com/nickrallo/status/1259133173440659457
2020-04-02 17:18:12,"Quick rant: Last week, my wife tested positive for COVID19 after she lost smell &amp; taste in the midst of (what we thought was) sinus infection symptoms. I had, what I assumed, was a bad cold—it was mostly congestion and aches—around March 7.",1,35,https://twitter.com/nickrallo/status/1245762471035637762
fever
2020-04-29 16:03:06,"@dallassooner I had chills,  a *wicked* headache, low-grade fever that I initially thought was a nasty cold because I had insane sinus pressure. Also that all-over achy feeling where you're like ""I just need to sit down for 3500 hours"" as you melt into the couch",1,2,https://twitter.com/nickrallo/status/1255528040437817344
cold
2020-04-29 16:03:06,"@dallassooner I had chills,  a *wicked* headache, low-grade fever that I initially thought was a nasty cold because I had insane sinus pressure. Also that all-over achy feeling where you're like ""I just need to sit down for 3500 hours"" as you melt into the couch",1,2,https://twitter.com/nickrallo/status/1255528040437817344
2020-04-14 04:30:46,Hot wings and a cold beer at a bar right now sounds so good that I might tear up,0,22,https://twitter.com/nickrallo/status/1249917994286940160
2020-04-02 17:19:40,"The anxiety of knowing that I could have infected someone before knowing the diagnosis…it twists in my gut. Did I have the virus around March 7 when I had cold symptoms? Did I give it to my wife, or did she give it to me around that time? Our doctor, understandably, is unsure.",0,10,https://twitter.com/nickrallo/status/1245762839903719431
2020-03-30 16:54:59,@AADowd And is this one of the best cold opens? https://t.co/qToXhPj3NR,1,4,https://twitter.com/nickrallo/status/1244669463745769472
2020-02-10 17:08:51,FUNNY STORY: The original title of the Beatles’ “All You Need is Love” was “All You Need is Dan Dan Noodles in a Cold Vinegar Sauce at Dallas’ Royal China” https://t.co/8Kv82RD20w,0,10,https://twitter.com/nickrallo/status/1226915945765130240
achy
2020-04-29 16:03:06,"@dallassooner I had chills,  a *wicked* headache, low-grade fever that I initially thought was a nasty cold because I had insane sinus pressure. Also that all-over achy feeling where you're like ""I just need to sit down for 3500 hours"" as you melt into the couch",1,2,https://twitter.com/nickrallo/status/1255528040437817344
tested positive
2020-04-29 13:09:04,"I tested positive for COVID-19 on April 1. The symptoms I had in early March were not on CDC's list. Now they are. 

I'm trying to get an antibodies test to see if I can donate my blood. If antibodies are low, I get another COVID test. The nurse told me reinfection is possible.",23,61,https://twitter.com/nickrallo/status/1255484244798955521
2020-04-02 17:18:12,"Quick rant: Last week, my wife tested positive for COVID19 after she lost smell &amp; taste in the midst of (what we thought was) sinus infection symptoms. I had, what I assumed, was a bad cold—it was mostly congestion and aches—around March 7.",1,35,https://twitter.com/nickrallo/status/1245762471035637762
positive for Covid
2020-04-29 13:09:04,"I tested positive for COVID-19 on April 1. The symptoms I had in early March were not on CDC's list. Now they are. 

I'm trying to get an antibodies test to see if I can donate my blood. If antibodies are low, I get another COVID test. The nurse told me reinfection is possible.",23,61,https://twitter.com/nickrallo/status/1255484244798955521
2020-04-02 17:18:12,"Quick rant: Last week, my wife tested positive for COVID19 after she lost smell &amp; taste in the midst of (what we thought was) sinus infection symptoms. I had, what I assumed, was a bad cold—it was mostly congestion and aches—around March 7.",1,35,https://twitter.com/nickrallo/status/1245762471035637762
covid-19
2020-04-29 13:09:04,"I tested positive for COVID-19 on April 1. The symptoms I had in early March were not on CDC's list. Now they are. 

I'm trying to get an antibodies test to see if I can donate my blood. If antibodies are low, I get another COVID test. The nurse told me reinfection is possible.",23,61,https://twitter.com/nickrallo/status/1255484244798955521
2020-04-16 18:19:10,Chef texts in COVID-19 times. https://t.co/U6EPtFteS7,0,4,https://twitter.com/nickrallo/status/1250851244136181760
2020-03-16 14:31:24,COVID-19 on the streets and binge-watching FX on Hulu in the sheets,0,0,https://twitter.com/nickrallo/status/1239559900633747458
covid19
2020-04-02 17:18:12,"Quick rant: Last week, my wife tested positive for COVID19 after she lost smell &amp; taste in the midst of (what we thought was) sinus infection symptoms. I had, what I assumed, was a bad cold—it was mostly congestion and aches—around March 7.",1,35,https://twitter.com/nickrallo/status/1245762471035637762
Sneeze
2020-03-16 20:34:32,"Some plug-in ideas for Zoom in the face of #QuarantineLife 
1. Sneeze Detection - auto-shut off during sneeze
2. Music fade-in / fade-out option
3. *Wave at camera* = end meeting
4. Pee break setting",0,0,https://twitter.com/nickrallo/status/1239651283516248068
