twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1142433199248814082,oblabeatles,Sat Jun 22 14:04:34 +0000 2019,False,"Liverpool, England",1183,260,3417,2418
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-17 11:35:29,"Hello, here's a quick thread of John Lennon's iconic and wonderful fashion accessories, from his glasses to his hats to his unique fashion statements 🌻

John had an eccentric and beautiful fashion taste beyond The Beatles' regular Beatlemania suits. https://t.co/VkUmnTtmoX",16,101,https://twitter.com/oblabeatles/status/1261983674574286848
2020-04-30 11:33:46,"I can't tell if my chest is tight because Paul McCartney's beauty continuously takes my breath away or whether it's just the COVID-19.

Little update on my symptoms: I'm still short of breath, my chest is still really tight, my eyes ache and I've lost my smell and taste 🥺 https://t.co/fblVg449T1",2,41,https://twitter.com/oblabeatles/status/1255822650313789441
shaking
2020-05-13 00:54:58,"@huwareyou @the60slovebot Oh, definitely, 'Liverpool 8' is one of his best songs (in my opinion) so it shows. I just laugh everytime I'm in the Cavern and a song comes on by Ringo because there's always locals shaking their heads. And tour guides are always so (rightfully) bitter when talking about him 🌻",0,3,https://twitter.com/oblabeatles/status/1260372932435550210
cold
2020-05-09 16:36:32,"He was dismissed in a cold way, too. He was never informed why he was and he was left to wonder for many, many excruciating years. John has admitted that he regretted the way that Pete was informed and the boys all felt guilty about it.

Pete was, understandably, heartbroken.",0,27,https://twitter.com/oblabeatles/status/1259160336340525056
pain
2020-05-08 10:40:57,"@EUPHORlCMOON It was recorded in 1969 and released a month after the split up, much to Paul's distaste because he didn't like the final decisions made by Spector (he had re-produced the music but Paul didn't have a say) - THE PAIN ahdidixnandkx 🥺💓🥺💓🥺",0,1,https://twitter.com/oblabeatles/status/1258708462021816322
2020-01-02 19:38:29,"@think300 Yeah, that's what I always say. Veganism is not about being healthy anyway, it's about making changes to help reduce the amount of pain felt by animals.

Some vegans can be far too radical and it puts the rest of us to shame; but we're all trying to make a change so good on us 🌻",0,0,https://twitter.com/oblabeatles/status/1212820478575947777
covid-19
2020-05-07 16:33:47,"I hope that - if 2021 is a new tour (maybe to mark 50 years since his solo career began) - the fans that missed out this year due to COVID-19 can get tickets to see him next year.

Whatever he has planned, I'm excited. This was unprecedented and we can be sure he tried his best.",0,5,https://twitter.com/oblabeatles/status/1258434864854032387
2020-04-30 11:33:46,"This was a joke about me personally. I know COVID-19 isn't a laughing matter; people are losing their lives and others are being affected by the losses of loved ones but it's more important than ever to try and be positive (like my test result😹).

I'm sorry if I offended you! 🧡",0,4,https://twitter.com/oblabeatles/status/1255822652205404162
2020-04-28 11:30:53,"Update: I tested positive for COVID-19 so that's ... wild 🙃

My parents and I are very fortunate because our symptoms haven't warranted any trips to hospital so I can't complain. It sucks but I am blessed to have the NHS if I need it. Please stay safe everyone, much love! 💓 https://t.co/T68tHtIZ8c",6,216,https://twitter.com/oblabeatles/status/1255097150758887424
2020-03-23 16:10:04,"The British Government weren't ordering tests for COVID-19 unless you were hospitalised so I wasn't officially diagnosed but I still self-isolated. I felt exhausted and I had a horrible, dry and continuous cough. I'm now still in my house.

PLEASE, stay home and save lives. https://t.co/3svN3JERds",0,5,https://twitter.com/oblabeatles/status/1242121443057577985
2020-03-15 14:20:57,"Small update: my university has closed for the semester amid the COVID-19 pandemic and so I won't be in Liverpool until it all calms down (which I hope is soon because I hate knowing that people are in pain). Home it is!

I hope that everyone is safe and well! 💓 https://t.co/DVMZ0mfy46",1,12,https://twitter.com/oblabeatles/status/1239194879391084545
2020-03-12 21:31:09,"So, in typical British fashion, our Government are keeping quiet about their plans in regards to the COVID-19 pandemic. In all honesty, I hate having to put my trust in a Government that I don't trust BUT we must stay positive.

I hope everyone is healthy - positive thinking! https://t.co/INcPrCGz9Q",3,21,https://twitter.com/oblabeatles/status/1238215980876214273
smell
2020-04-30 11:33:46,"I can't tell if my chest is tight because Paul McCartney's beauty continuously takes my breath away or whether it's just the COVID-19.

Little update on my symptoms: I'm still short of breath, my chest is still really tight, my eyes ache and I've lost my smell and taste 🥺 https://t.co/fblVg449T1",2,41,https://twitter.com/oblabeatles/status/1255822650313789441
breath
2020-04-30 11:33:46,"I can't tell if my chest is tight because Paul McCartney's beauty continuously takes my breath away or whether it's just the COVID-19.

Little update on my symptoms: I'm still short of breath, my chest is still really tight, my eyes ache and I've lost my smell and taste 🥺 https://t.co/fblVg449T1",2,41,https://twitter.com/oblabeatles/status/1255822650313789441
short of breath
2020-04-30 11:33:46,"I can't tell if my chest is tight because Paul McCartney's beauty continuously takes my breath away or whether it's just the COVID-19.

Little update on my symptoms: I'm still short of breath, my chest is still really tight, my eyes ache and I've lost my smell and taste 🥺 https://t.co/fblVg449T1",2,41,https://twitter.com/oblabeatles/status/1255822650313789441
