twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1063908765081120768,JasonNie7,Sat Nov 17 21:36:30 +0000 2018,False,"Baldwin Park, CA",170,144,1587,485
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-08 06:23:25,the pain of dying in cod bc your power goes out,0,4,https://twitter.com/JasonNie7/status/1258643652240224256
tested positive
2020-04-14 06:06:27,i have tested positive for covid-19 and are unable to do homework due to severe symptoms,0,10,https://twitter.com/JasonNie7/status/1249942072208945154
positive for Covid
2020-04-14 06:06:27,i have tested positive for covid-19 and are unable to do homework due to severe symptoms,0,10,https://twitter.com/JasonNie7/status/1249942072208945154
covid-19
2020-04-14 06:06:27,i have tested positive for covid-19 and are unable to do homework due to severe symptoms,0,10,https://twitter.com/JasonNie7/status/1249942072208945154
2020-03-27 21:25:07,"i thought i had covid-19 symptoms, my fatass is just hungry",1,11,https://twitter.com/JasonNie7/status/1243650280375242752
2020-03-20 01:52:28,watch me get covid-19 from making too much jokes,0,8,https://twitter.com/JasonNie7/status/1240818460298366976
tired
2020-03-21 11:31:17,i’m tired of being tired for no reason,1,9,https://twitter.com/JasonNie7/status/1241326509899395072
2020-03-11 04:00:20,tired of seeing all this corona virus sh!t,0,8,https://twitter.com/JasonNie7/status/1237589148032045057
2020-02-20 05:23:11,i’m so damn tired of school,4,11,https://twitter.com/JasonNie7/status/1230362238327738368
