twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1035948712500056066,robertjdenault,Sat Sep 01 17:53:14 +0000 2018,False,"Durham, NC",17444,93,1581,3502
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-27 20:26:15,"Trump accusing a talk-show host of murder is probably his most obvious attempt yet to distract us from the deaths of 100,000+ of our own citizens under his inept leadership. He said COVID-19 was 5 people, soon to be 0. He said it was a hoax. He told us to inject bleach. Enough.",12,43,https://twitter.com/robertjdenault/status/1265741124569882626
2020-05-24 18:33:23,"@jo_jofuller The data on reinfection indicates the virus being detected post-recovery is actually just dead virus cells, not a new infection or a recurrence. Where patients have become symptomatic scientists believe initial infection was likely not a COVID-19 infection.",0,1,https://twitter.com/robertjdenault/status/1264625558262071306
2020-04-30 02:28:59,"Reupping this thread I posted 8 days ago predicting Florida was lying about its COVID-19 numbers in light of this important news from the @TB_Times. Someone needs to investigate Florida Governor @RonDeSantisFL for the coverup here.
https://t.co/XZR5K2khgQ https://t.co/KvwPhR03g1",17,27,https://twitter.com/robertjdenault/status/1255685548800380929
2020-04-26 13:59:50,"@Pravduh15 Speaking as a COVID-19 patient who got sick, thought I was better, then got sick again, I can say that many of those NY stories are not reinfection or recurrence but rather the natural course of the virus. That’s pretty much everyone’s experience who is symptomatic.",0,1,https://twitter.com/robertjdenault/status/1254409857932898305
2020-04-26 13:20:39,"@ProudMary4 Just so you know, it is very likely there will be some cases of reinfection due to immune system compromises or case-specific anomalies, regardless of whether COVID-19 generally confers short-term immunity to infection or not.",0,3,https://twitter.com/robertjdenault/status/1254399998084734977
2020-04-24 18:25:56,There will be a flood of litigation on behalf of inmates who die from COVID-19. For prisons to act like they still don’t know what to do is totally unacceptable. COVID-19 is lethal and spreading in jails. No one deserves to die for a parole violation or drug offense. Act now.,8,36,https://twitter.com/robertjdenault/status/1253752050027913217
2020-04-22 14:28:16,"CDC Director warned things could get worse with COVID-19 this winter and 800,000 Americans could die by the time it’s all over. 

Trump is making him take it back, but COVID-19 doesn’t care about statements or deep state or fake news or even Trump. He just doesn’t get that. https://t.co/eYk4HOZkPg",38,77,https://twitter.com/robertjdenault/status/1252967462326480896
2020-04-20 15:58:43,One way you know Trump’s promotion of hydroxychloroquine was motivated by corruption is that the antiviral Remdesivir has had shown promising results for beating back COVID-19 in multiple studies published in recent days. Trump hasn’t said a word.,58,146,https://twitter.com/robertjdenault/status/1252265449544433666
2020-03-31 17:17:16,"Today, the Supreme Court was supposed to hear 2 cases: subpoenas of Trump’s tax returns and his Deutsche Bank records. COVID-19 halted the cases, but we don’t wait. Here’s what we’ve found, starting w/ a whistleblower who says Russia funded Trump’s loans. https://t.co/AE5hs5hbZZ",462,647,https://twitter.com/robertjdenault/status/1245037456782766081
