twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1130335676,safdalumni,Tue Jan 29 07:29:39 +0000 2013,False,"Huntington Beach, CA",262,242,37655,9224
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tested positive
2020-05-26 15:20:12,@EdMarshall97 @SS_Santana52 Lol at least you’re funny with the thumb comment. I had a lot of time to do my own research while I was at home quarantine after I tested positive and my chick is a doctor. But go on...,0,0,https://twitter.com/safdalumni/status/1265301718293606400
2020-03-29 03:38:33,"I can’t begin to tell you #RaiderNation how AMAZING you guys are. I was little down this morning when I found out I tested positive for COVID-19, but the messages and comments you have left have lifted my spirits. You guys are incredible. THANK YOU, ALL.  @Raiders #family",20,314,https://twitter.com/safdalumni/status/1244106646986481665
2020-03-28 23:08:36,@Rrich1990 I got paperwork with information if I tested positive and what it means. I received a phone call and that’s how I was informed that my test was a positive and they offered assistance with anything which I declined because I’m currently in good hands.,0,1,https://twitter.com/safdalumni/status/1244038711152533505
2020-03-28 21:27:18,"#RaiderNation I need all your good vibes and wanted to keep you guys in the mix. I got a call from the Health Department a few hours ago and, unfortunately, I tested POSITIVE for COVID-19. I feel tired and been sleeping most of the day the last two days. Take care of yourselves.",45,883,https://twitter.com/safdalumni/status/1244013217837268992
cold
2020-05-20 21:58:57,@sportsfreak131 @Averysdaddy84 A cold beer!,0,1,https://twitter.com/safdalumni/status/1263227741320605696
2020-04-05 06:56:39,@Manders012 @TaylorWRaiders 🤣😂 that’s cold bro @TaylorWRaiders,0,0,https://twitter.com/safdalumni/status/1246693215345840130
2020-03-13 01:01:32,All this cold rain in #OrangeCounty and wishing I was back on the lake. https://t.co/enlV4DcMcL,0,1,https://twitter.com/safdalumni/status/1238268924308815872
2020-03-10 23:09:34,@TaylorWRaiders @Averysdaddy84 🤣😂 that’s cold man,0,2,https://twitter.com/safdalumni/status/1237515971641765889
recovered
2020-04-30 17:03:21,"@grmraider Hey man, I recovered from COVID and if you need anything, reach out. Good luck to you. The first 4-5 days are the hardest. My advice is to rest, hydrate, take Tylenol every six hours on the dot and if you have a breathing problem, don’t wait too long and go to the hospital.",1,38,https://twitter.com/safdalumni/status/1255905592050253824
Tylenol
2020-04-30 17:03:21,"@grmraider Hey man, I recovered from COVID and if you need anything, reach out. Good luck to you. The first 4-5 days are the hardest. My advice is to rest, hydrate, take Tylenol every six hours on the dot and if you have a breathing problem, don’t wait too long and go to the hospital.",1,38,https://twitter.com/safdalumni/status/1255905592050253824
2020-04-03 03:03:22,@FightOnNicole @CharlySpider @ochealth @CDCgov I had a fever for almost 5 days. Triple digits all day even with Tylenol every 6 hours. The highest temp I had was 103.1 and it just drained me all day.,0,1,https://twitter.com/safdalumni/status/1245909730133831681
covid19
2020-04-18 17:10:39,It’s crazy how many people think or are under the impression that I have immunity to COVID19 now. Hmm... I wish but my doctors told me the is not enough data to make that claim. https://t.co/mySlXOYhx5,0,2,https://twitter.com/safdalumni/status/1251558775342825472
covid-19
2020-04-15 23:27:42,@JKindred74 The rookie made chocolate chip and oatmeal-raisin cookies so I’m just over here trying to gain the 12 lbs I lost during COVID-19 sickness.,0,1,https://twitter.com/safdalumni/status/1250566500441706496
2020-04-01 23:36:01,@spider2ybananna @LindseyThiry @ESPNLosAngeles I’m positive for COVID-19 and I’m sure I know a hell of a lot more about it than you do.,0,0,https://twitter.com/safdalumni/status/1245495164015009792
Difficulty breathing
2020-04-14 06:31:30,"@SS_Santana52 Tell them to rest and if at any point they have difficulty breathing, call 911 or go to the ER.",0,2,https://twitter.com/safdalumni/status/1249948377170640896
Difficulty breath
2020-04-14 06:31:30,"@SS_Santana52 Tell them to rest and if at any point they have difficulty breathing, call 911 or go to the ER.",0,2,https://twitter.com/safdalumni/status/1249948377170640896
fever
2020-04-03 03:03:22,@FightOnNicole @CharlySpider @ochealth @CDCgov I had a fever for almost 5 days. Triple digits all day even with Tylenol every 6 hours. The highest temp I had was 103.1 and it just drained me all day.,0,1,https://twitter.com/safdalumni/status/1245909730133831681
