twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
28519617,sunnyangela,Fri Apr 03 06:51:24 +0000 2009,True,somewhere near or in an ocean,10464,1894,3467,10684
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tested positive
2020-05-06 01:20:59,"I tested positive for #covid19 in Queensland, donated🩸💉to @ucla. Just following your footsteps @tomhanks ! These are going to go toward #coronavirus research @UCLAHealth thank you  to infectious disease specialist Dr. Otto Yang &amp; @arimoin &amp; their work! #lahealthheroes https://t.co/cnjxwLwlI7",5,76,https://twitter.com/sunnyangela/status/1257842767142649856
2020-03-22 11:05:45,@quakenbaken @ArashMarkazi @SpecNews1SoCal Because I’m in Australia and went to a wedding where 39 ppl tested positive,0,0,https://twitter.com/sunnyangela/status/1241682474809221125
2020-03-21 05:12:34,@JabroniLewis @aramdan Because I was at a wedding where now 37 ppl tested positive. At the time we were notified there were only a few,0,0,https://twitter.com/sunnyangela/status/1241231204243738624
2020-03-20 12:16:44,@raidmunoz I was at a wedding where 37 ppl tested positive :(,1,14,https://twitter.com/sunnyangela/status/1240975560156696576
2020-03-20 10:00:57,"Woke up like this. Yep, I tested positive for COVID-19 and here at the hospital being looked after. As someone who had literally the slightest of symptoms, this is real, and you can easily be an asymptomatic carrier. More on my IG @sunnyangela https://t.co/rA0oEatf6o",41,358,https://twitter.com/sunnyangela/status/1240941389740834816
Touch
2020-04-21 22:01:50,"@rmd_neuro Hi rose a friend sent this to me, I’d love to donate, trying to and waiting to hear back but if you want me to get in touch with someone specific pls msg me!",0,2,https://twitter.com/sunnyangela/status/1252719218421723136
covid19
2020-04-16 18:03:11,@Hoops_DaJour @united I was flying back from australia where I had COVID19 and waited til I got the all clear to come home. I wouldn’t travel unless you have to,0,0,https://twitter.com/sunnyangela/status/1250847219877466112
cancer
2020-03-29 23:55:09,Maria always championed for diversity in news. She was one of the first people I met @aaja years ago &amp; she was a mentor to so many &amp; personally guided me on my journey. She beat cancer many times over while helping create change in the TV landscape. She will forever be missed💔😭 https://t.co/WSmGywJdzh,1,5,https://twitter.com/sunnyangela/status/1244412815542079488
asymptomatic
2020-03-24 14:51:39,@RotoHuk @DuranSports I was in the hospital for 5 days but I had it for about 12 days? Not sure that’s the scary part I was asymptomatic which many ppl are who are positive,0,1,https://twitter.com/sunnyangela/status/1242464097033023488
2020-03-21 05:10:50,"@lnole @susanslusser I’m sorry to hear, self quarantine is the best right now, I’m asymptomatic and so many ppl are",0,1,https://twitter.com/sunnyangela/status/1241230767079841792
2020-03-20 10:00:57,"Woke up like this. Yep, I tested positive for COVID-19 and here at the hospital being looked after. As someone who had literally the slightest of symptoms, this is real, and you can easily be an asymptomatic carrier. More on my IG @sunnyangela https://t.co/rA0oEatf6o",41,358,https://twitter.com/sunnyangela/status/1240941389740834816
fever
2020-03-24 04:44:31,@JonsReal I had a little fever the 2nd week for a few hours one day,0,0,https://twitter.com/sunnyangela/status/1242311308977909760
nose
2020-03-22 11:16:09,"Only symptoms are headache/tired, maybe from all the crying. Mentally it’s really hard feeling trapped. Day 4. I need 2 negative test in 24hrs to get out. This is what they put up my nose every morning. All the way up to what feels like the back of my head😣 #Covid_19australia https://t.co/Ux5sRthgDl",8,41,https://twitter.com/sunnyangela/status/1241685088170995718
my nose
2020-03-22 11:16:09,"Only symptoms are headache/tired, maybe from all the crying. Mentally it’s really hard feeling trapped. Day 4. I need 2 negative test in 24hrs to get out. This is what they put up my nose every morning. All the way up to what feels like the back of my head😣 #Covid_19australia https://t.co/Ux5sRthgDl",8,41,https://twitter.com/sunnyangela/status/1241685088170995718
no symptoms
2020-03-20 12:17:30,"@RandyMarkley7 Thank you, I feel fine and have no symptoms, I just did virtual yoga online class",0,2,https://twitter.com/sunnyangela/status/1240975755539955712
positive for Covid
2020-03-20 10:00:57,"Woke up like this. Yep, I tested positive for COVID-19 and here at the hospital being looked after. As someone who had literally the slightest of symptoms, this is real, and you can easily be an asymptomatic carrier. More on my IG @sunnyangela https://t.co/rA0oEatf6o",41,358,https://twitter.com/sunnyangela/status/1240941389740834816
covid-19
2020-03-20 10:00:57,"Woke up like this. Yep, I tested positive for COVID-19 and here at the hospital being looked after. As someone who had literally the slightest of symptoms, this is real, and you can easily be an asymptomatic carrier. More on my IG @sunnyangela https://t.co/rA0oEatf6o",41,358,https://twitter.com/sunnyangela/status/1240941389740834816
