twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
26918986,SylviaObell,Fri Mar 27 01:52:02 +0000 2009,True,"Brooklyn, NY",29630,2992,18515,75256
 
created_at,full_text,retweet_count,favorite_count,twitter_url
Touch
2020-05-27 23:02:53,I binged Sweet Magnolias on Netflix last night and it was the perfect little escape I needed. Something light and heartwarming with a touch of small town drama. Gilmore Girl vibes except there’s an actual black lead — s/o to Heather Headley.,120,1768,https://twitter.com/SylviaObell/status/1265780544463347712
2020-04-21 13:41:22,So all the places where people touch each other and/or share equipment? 🥴 https://t.co/BSBJGudC8b,3,39,https://twitter.com/SylviaObell/status/1252593269466333185
shake
2020-05-27 00:46:17,@natalieymoore YESSS shake it up! Those students are lucky to have you! 💞,0,2,https://twitter.com/SylviaObell/status/1265444176113684486
2020-04-27 17:26:20,"Wow the love for ""Okay, Now Listen"" this afternoon has been OVERWHELMING. I almost forgot what excitement felt like in these dark ass times. Thank you, thank you, thank you to everyone who spreads the word and SUBSCRIBES to this podcast! Let's shake shit up! https://t.co/yCLTN0Z2IJ",6,109,https://twitter.com/SylviaObell/status/1254824213241901056
2020-02-03 02:05:01,"Also, I feel like J.Lo’s butt was never as big as we were made to believe. The industry was just so starved of actual thick superstars back then it was enough to shake things up. And now butt injections have warped perception as well.",214,2084,https://twitter.com/SylviaObell/status/1224151776317919238
chill
2020-05-26 01:13:04,@QuietRay ima chill 😂😂😂,0,1,https://twitter.com/SylviaObell/status/1265088532307152896
2020-05-09 23:55:02,"Jill be talking Philly slick on top of the most chill beats, I love it. 

You betta back down before you get smack down you betta chill.",10,30,https://twitter.com/SylviaObell/status/1259270688613031941
sweat
2020-05-26 00:38:06,Does Keith Sweat just manifest when a certain amount of R&amp;B hits are played?,204,724,https://twitter.com/SylviaObell/status/1265079730832912385
recovered
2020-05-18 02:02:53,I still haven’t recovered from last week’s #InsecureHBO episode (and the twitter debates that ensued) but here we goooo https://t.co/fJgucCp8Nd,6,8,https://twitter.com/SylviaObell/status/1262201962730262529
2020-03-02 17:00:25,@CleverlyChloe I still haven't recovered tbh,0,1,https://twitter.com/SylviaObell/status/1234523971737079811
tired
2020-05-17 00:20:34,Country Grammar is one of those songs that played sooo much back then that I'm STILL tired of it 😩,0,38,https://twitter.com/SylviaObell/status/1261813825789198336
2020-05-10 22:34:51,#RHOA is back in the Sunday night mix with these reunion episodes + #TheLastDance and #InsecureHBO. I’m both excited and tired just thinking about all that back to back excitement lol.,6,49,https://twitter.com/SylviaObell/status/1259612897036075009
2020-04-20 02:26:54,“Aren’t you tired? Because I’m tired for you.” — Issa is all of US talking to Molly #InsecureHBO,120,304,https://twitter.com/SylviaObell/status/1252061145919356930
2020-04-15 15:13:13,My next grocery order is about to be entirely made up of pre-made food idc idc idc I’m tired of slaving over this got damn stove every damn day https://t.co/1pUUprsJBN,8,153,https://twitter.com/SylviaObell/status/1250442060085092359
2020-04-05 02:47:02,@naima I'm so tired but I can't bring myself to be upset with them lol,0,6,https://twitter.com/SylviaObell/status/1246630397183746050
2020-03-15 18:27:19,@RAVIEB I’m tired Raven!,0,0,https://twitter.com/SylviaObell/status/1239256882591694849
tested positive
2020-04-11 00:06:09,"Teddy Riley: Babyface is sick but not w/ the Coronavirus that ish is a scam to cover up 5G, we’re gonna try this on my homie’s platform. 

Babyface: I tested positive for COVID-19. I’m better now. The Versuz is back on and back on IG Live. 

In Babyface I Trust lol https://t.co/qzK1q2dZnJ",458,1049,https://twitter.com/SylviaObell/status/1248764234802003973
positive for Covid
2020-04-11 00:06:09,"Teddy Riley: Babyface is sick but not w/ the Coronavirus that ish is a scam to cover up 5G, we’re gonna try this on my homie’s platform. 

Babyface: I tested positive for COVID-19. I’m better now. The Versuz is back on and back on IG Live. 

In Babyface I Trust lol https://t.co/qzK1q2dZnJ",458,1049,https://twitter.com/SylviaObell/status/1248764234802003973
drug
2020-03-28 00:12:46,I’m only on episode 2 and there’s already a drug enterprise story within the story.,0,41,https://twitter.com/SylviaObell/status/1243692469738508288
breath
2020-03-19 01:54:16,When Bey took a deep breath before saying I'm hungry... I felt that. #HOMEcoming,5,35,https://twitter.com/SylviaObell/status/1240456525421961216
nose
