twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
18847469,Tennis,Sat Jan 10 21:40:42 +0000 2009,True,"Los Angeles, CA",238010,1235,6949,76085
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-24 20:30:00,"The ATP tour has taken commendable steps to ensure its pros aren't left to play mind games during the COVID-19 crisis.

https://t.co/BU3Siwhyk2",2,10,https://twitter.com/Tennis/status/1264654905370980354
2020-05-21 17:00:00,"In 2009, Dr. Reka Zsilinskza was helping Duke win an NCAA title.

Now she's helping patients battle COVID-19 in the emergency room. 

https://t.co/ijWohTP1kK",3,5,https://twitter.com/Tennis/status/1263514895623979009
2020-05-21 11:00:01,"This week on @GreatShotPod, @Bretjust1T discusses the financial implications of the COVID-19 pandemic on professional tennis.

#coronavirus

https://t.co/Nm00ngjoFz https://t.co/9OtfJpMRDn",3,4,https://twitter.com/Tennis/status/1263424301631336448
2020-05-21 00:30:00,".@RajeevRam pulled off a dream run in January in Melbourne, and is now dealing with COVID-19 reality just like the rest of us. 

WATCH → https://t.co/8OfqrJ4P5J

SUBSCRIBE → https://t.co/RcoaVRamsw https://t.co/STqkMtuUnd",4,7,https://twitter.com/Tennis/status/1263265752859148292
2020-05-18 16:17:44,"In an interview with @racqetmagazine, @ReillyOpelka challenged the ATP's response to the COVID-19 pandemic.

""I think they couldn’t have handled it much worse. We’re completely left in the dark, we don’t know what’s going on.""

https://t.co/Ttjxk1I0n8",6,25,https://twitter.com/Tennis/status/1262417092726255616
2020-04-22 02:39:27,"In a follow-up to comments surrounding a scenario of being forced into taking a COVID-19 vaccination, Novak Djokovic said, ""I have expressed my views because I have the right to and I also feel responsible to highlight certain essential topics.""

https://t.co/HVbMzlx5lv",4,15,https://twitter.com/Tennis/status/1252789081878265857
2020-04-19 22:00:00,".@mitch_krueger is this week’s guest on @TennisPodcasts. He opens up about life since COVID-19 and the ATP’s response to the pandemic.

#ATP #coronavirus

https://t.co/9CADAUBi4i https://t.co/DKV3iT9ReC",7,9,https://twitter.com/Tennis/status/1251993981669474305
2020-04-13 18:00:00,"Listen as @mini_break_pod host Alex Gruskin discusses the financial impact COVID-19 will have in the world of tennis.

#coronavirus

https://t.co/AOhYxrxwpn https://t.co/RSVlhZIXuZ",8,10,https://twitter.com/Tennis/status/1249759255416074242
2020-04-03 23:00:00,"Andy Roddick and @BrooklynDecker are combating destructive emotions brought on by COVID-19 with a greater force: love and optimism.

Get involved by sharing a story showcasing the good side of humanity. Use #LoveAll and tag @AndyRoddick and @TennisChannel.
https://t.co/5uMjjK8sBi",13,48,https://twitter.com/Tennis/status/1246210873649065985
2020-04-03 13:34:43,"All tour events through the grass-court season have been cancelled or postponed and player rankings are frozen during the period of inactivity due to COVID-19 concerns.

https://t.co/mQMlpTF8os",8,19,https://twitter.com/Tennis/status/1246068614836281351
2020-03-31 22:30:00,"New York is one of the epicenters of COVID-19 in the US, so the @usta is stepping up. 👏 https://t.co/T53I4Icyd0",34,162,https://twitter.com/Tennis/status/1245116159474593793
2020-03-31 18:00:01,"As part of the @usta's coronavirus support efforts, the @usopen's Louis Armstrong Stadium will be used for food service to support health-care workers, underprivileged children and COVID-19 patients. 

""They are setting up on the actual court itself.""

https://t.co/ePS2lcVenZ",7,35,https://twitter.com/Tennis/status/1245048215713599488
2020-03-30 18:01:00,"Last week: 
#Tokyo2020 was postponed in light of the escalating COVID-19 pandemic.

Today: 
The IOC announced an agreement has been reached to host the Olympics exactly one year after its original window—July 23 to August 8, 2021.

https://t.co/IlGeJVyTsr",3,13,https://twitter.com/Tennis/status/1244686075861188608
2020-03-29 23:30:00,".@tsonga7 will return to ATP action when the worldwide pandemic caused by COVID-19 lets up. 

For now, he relishes time with family and jams away at various instruments with his partner in tunery, 3-year-old son Sugar.

https://t.co/5evBzl6Rof",1,25,https://twitter.com/Tennis/status/1244406483439083521
2020-03-29 02:05:00,"Tune in to hear more about the impact COVID-19 has had on the Tennessee Men’s Tennis program.

https://t.co/BVGO46QmFd https://t.co/5sR82UQ90q",4,11,https://twitter.com/Tennis/status/1244083102634344451
2020-03-17 21:00:00,"If there's one positive thing we’ve seen from this difficult time, it's humans stepping up to support one another. 🙌

Players like @Bandreescu_, @FTiafoe, and more are giving back, and 100% of all donations go to the CDP's COVID-19 Response Fund.
Donate→ https://t.co/fq4tYoKH7z https://t.co/NjAfdCSSnx",17,55,https://twitter.com/Tennis/status/1240020080076849154
freezing
2020-05-19 17:00:00,".@CaroWozniacki has been on freezing swims, dolphin journeys and freestyle dives. 

https://t.co/js3TyomYTe",5,10,https://twitter.com/Tennis/status/1262790117917257728
2020-05-02 20:30:00,"When asked by @raviubha if he would object to tournaments freezing or decreasing prize money, @cilic_marin said no. 

“That would be just a normal situation.""

More on the Croatian's reasoning, along with insight from @bambamsam30, among others.

https://t.co/1PxUU7sF6F",8,12,https://twitter.com/Tennis/status/1256682372239634440
breath
2020-05-19 00:30:00,"""He takes a deep breath and sprints as far as he can without releasing it, pushing to reach an ever-shifting finish line. Today, two cones serve as a figurative point B, but a Slam triumph is where @ThiemDomi's ultimate incline ends.""

From @iammattfitz:

https://t.co/hL3HsNQpWk",5,22,https://twitter.com/Tennis/status/1262540976150765569
Touch
2020-05-18 23:45:00,"""You can kick their balls but you can't touch them."" 👀

New York politician Laura Curran recently spoke out about how to safely handle tennis balls and it didn't quite go according to plan... 
https://t.co/Bfrd2qJvyI",9,34,https://twitter.com/Tennis/status/1262529651454300161
2020-04-21 02:15:00,"""I didn't touch a racquet since Indian Wells."" - @RafaelNadal

""Perfect! You won't be able to play tennis anymore when you get back."" - @RogerFederer😂

The two champions indulged in comical banter during Nadal's IG Live. These are the Top 5 moments. ⬇️
https://t.co/km3rUbKEUf",8,76,https://twitter.com/Tennis/status/1252420540125478914
2020-04-20 23:51:37,"Rafa: I didn't touch a racket since Indian Wells.
Roger: Perfect! 
😂

These were our favorite moments from @RafaelNadal and @RogerFederer's Instagram live. https://t.co/HXfUVrdzdm",162,1154,https://twitter.com/Tennis/status/1252384457878691841
2020-03-06 21:00:39,"The @BNPPARIBASOPEN has issued a statement regarding coronavirus (COVID-19).

Some highlights:

—Players will be required to manage their own towel on court and ball kids will not touch or move player towels.
—Ball kids will wear gloves

Full statement in: https://t.co/yy3RikVro6",13,45,https://twitter.com/Tennis/status/1236033976747331585
2020-02-13 00:04:00,"""I'm a huge maple syrup guy...it's quite good for endurance sports, so I thought I'd give it a go, and I love it."" 😂

@VasekPospisil is certainly in touch with his Canadian roots, and if the syrup is working, why not chug it on court??

@PrakashAmritraj | #abnamrowtt https://t.co/1p0BO8uaip",7,55,https://twitter.com/Tennis/status/1227745198123470848
itch
2020-05-14 02:00:00,"If you thought your tennis itch was bad... maybe think again. 

https://t.co/coJe8IAdjl",3,19,https://twitter.com/Tennis/status/1260751685879599105
cold
2020-05-10 02:57:27,"Craig Tiley’s warnings about the 2021 Australian Open were a cold bath of real talk. 

But if tennis is going to create a new normal, it needs to know that the old normal isn’t coming back any time soon.

From @SteveTignor: https://t.co/9fC63svOBC",13,31,https://twitter.com/Tennis/status/1259316595199037441
