twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
929895579215208448,tine__christine,Mon Nov 13 02:15:57 +0000 2017,False,United States,613,266,22899,5366
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-27 20:58:47,@MargaretStutts I’m trying to speak to the vet. The tech who called pushed Benadryl. He has a back disease and is on pain meds &amp; muscle relaxers. They make him really sleepy. I’m asking for a better solution. I won’t add another sedative and risk his life even if there’s allergy relief.,0,1,https://twitter.com/tine__christine/status/1265749314204102656
2020-05-02 12:51:33,@PippaScott007 My pleasure. PF is no fun. I know your pain and I feel bad for you. I hope you get some relief soon.,1,1,https://twitter.com/tine__christine/status/1256567000320503809
2020-04-26 16:40:04,@mereburmaster He has a degenerative spine disease called IVDD. It’s common in dachshunds but any dog can get it. It started last summer. He’s had a few flare ups. This one is a bad one. There’s no cure but there’s pain management.,0,1,https://twitter.com/tine__christine/status/1254450181002588161
2020-02-15 20:06:05,"Poor Louie. 
I spent all morning at the vet. He has Intervertebral Disc Disease (IVDD) if you remember. It’s chronic &amp; flared up. 
Symptoms started yesterday with yelping and shaking. I gave him his pain meds. Today he woke up with swelling.  
1/2",1,15,https://twitter.com/tine__christine/status/1228772487464288256
2020-02-14 12:40:45,@Brookefiona Thank you. My sleep pattern is all messed up but my pain is less and that’s what matters today.,0,1,https://twitter.com/tine__christine/status/1228298030824054785
2020-01-08 02:59:28,@empp126 @TSBsLTR I bet you could. Line the tray with a glue gun to prevent slippage. You could maybe try it before surgery. I know your in pain now. It can’t hurt to try.,0,2,https://twitter.com/tine__christine/status/1214743393244307456
rash
2020-05-27 20:36:30,@MargaretStutts Black and orange. He’s allergic to something in the back yard. We just moved. He has a rash and won’t stop licking.,0,1,https://twitter.com/tine__christine/status/1265743706155413504
2020-05-27 03:13:22,@barb6558 I didn’t even think of that. He gets a belly rash from dried leaves. Corn starch fixes that right up. I’m having some luck tonight with Bag Balm. It’s for cow udders. He’s not licking it. I think it’s this ground cover type stuff on the side of the house. It’s pretty- has to go.,0,3,https://twitter.com/tine__christine/status/1265481192230420482
taste
2020-05-23 22:37:40,@Twirlgirlll @FrodoChihuawhat I eat cheese. Every day. Mom says it’s my pills but all I taste is cheese. Oh and lots of naps.,0,4,https://twitter.com/tine__christine/status/1264324645488074752
2020-03-14 21:00:09,Pre game taste test. https://t.co/nNgWr1Mdwv,1,5,https://twitter.com/tine__christine/status/1238932957395476483
smell
2020-05-22 14:24:27,Good morning. Don’t forget to stop and smell the flowers. https://t.co/BzNVdakd1z,5,43,https://twitter.com/tine__christine/status/1263838135907086338
2020-05-15 22:59:14,@syd_akaYog @ColleenMaryErin @cooperscocoanc1 @Mommaofdexter @corganddox1215 @JagerTavor @MarlinIsAGoodB1 @Pawventures2 @dsears75 @mslr4ever @PSparks2 @prefect @ImRockyTwo @BurgConcerto @pug_rosie @winstonandlily @crazy4gldnz2 @BaronThePBGV @bulldog_manny @MickeyHashtag @michielou73 @DownDixie @SallypugWeir @buffywatcher23 @TR0724 @SirSpencerPug @MaggieMayRose1 @schnauzer_maddy @FrodoChihuawhat @coloradousabarb @PhanielovesDogs @krazycaregiver @BulldogMiranda It’s hard when there’s so many smells to smell and things to see.,0,6,https://twitter.com/tine__christine/status/1261430972496531456
2020-05-13 15:50:59,"@Nettie05705192 Thank you! I’ve heard that about GP’s. We might not see anything but they will see, smell or hear what we can’t. I can’t believe someone shaved her. And so short. Especially in winter. That’s cruel in my opinion.",0,1,https://twitter.com/tine__christine/status/1260598423088058368
2020-05-05 00:34:59,Sometimes you just need to stop. And smell the flowers. And sometimes you just smell the flowers to see if they’re worth peeing on. #dogsduringlockdown #dogsoftwitter #chisquad https://t.co/SupjQr0N1A,1,13,https://twitter.com/tine__christine/status/1257468801362395136
2020-02-15 20:10:42,This is Louie trying to figure out why mom brought a bag he can’t fit in. His Service Dog training included being in a bag so he could smell chem changes associated with seizures and alert me. I’m not supposed to lift anything yet but he’s my baby and I really don’t care. https://t.co/0ElLxjDso4,0,13,https://twitter.com/tine__christine/status/1228773652272832518
