twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
962240859570876416,TOKCityOfLights,Sat Feb 10 08:24:33 +0000 2018,False,"Karachi, Pakistan",6767,634,1504,3132
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recovered
2020-05-28 17:13:32,"JUST IN: Sindh reported almost 2,000 patients have recovered from the #coronavirus &amp; returned to their homes over the past 24 hrs for the first time since emergence of the pandemic in #Sindh, total number of recoveries so far bumped up to 11,190 in Sindh, confirmed CM Sindh. https://t.co/GVVGfOuszi",5,19,https://twitter.com/TOKCityOfLights/status/1266055014570745857
2020-05-17 08:48:20,"BREAKING: ""During the last 24 hours, 398 #COVID__19 patients recovered &amp; 11 people unfortunately passed away in #Sindh. There has been a sharp increase in patients requiring ICU &amp; so far 92 patients are in the ICU &amp; 31 are on the Ventilator"", informed sindh spokesperson. https://t.co/89QSRYtanm",6,20,https://twitter.com/TOKCityOfLights/status/1261941612978061313
2020-05-16 10:12:36,"A #coronavirus patient who was the first person to undergo plasma therapy in #Sindh, recovered from the virus, testing negative for it - Liaquat University Hospital confirmed that infected lawyer, who had been critically ill before receiving plasma 12 days ago, had recovered. https://t.co/dang9TXsn2",20,62,https://twitter.com/TOKCityOfLights/status/1261600430087458816
2020-05-11 10:55:16,National Institute of Blood Diseases Head Dr Tahir Shamsi said that first patient has completely recovered &amp; sent home after receiving #plasmatherapy - The patient who hails from #Karachi underwent passive immunization therapy on April 30 and recovered from the virus on May 08. https://t.co/OOCLAHo15U,11,37,https://twitter.com/TOKCityOfLights/status/1259799228483801088
2020-05-03 15:26:14,"JUST IN: The recovery ratio of #coronavirus patients ""seems to be encouraging"", however, cases of local transmission are ""still on the rise"" - Over the past 24 hours, 214 patients recovered while another 363 tested positive in #Sindh, says CM Sindh. 

#CoronaVirusUpdate #Karachi https://t.co/fJWUKKK4ok",1,13,https://twitter.com/TOKCityOfLights/status/1256968315647545351
2020-04-30 19:47:43,"JUST IN: #Sindh Health Department permitted three hospitals in Sindh to use #plasma of recovered patients of #COVID__19 for passive immunisation therapy on an experimental basis.

Read: https://t.co/9WgV5z3a9K

#CoronaVirusUpdate #Karachi #TimesOfKarachi",3,8,https://twitter.com/TOKCityOfLights/status/1255946955487940609
2020-04-26 09:48:40,"BREAKING: 5 children died after drowning in a water-filled pit formed in an empty plot in #Karachi’s Surjani area - Acc to police, the bodies have been recovered from the site &amp; sent to the hospital - The children were between the ages of 9 to 14 &amp; belonged to the same locality. https://t.co/uyEGjb4L2Z",6,20,https://twitter.com/TOKCityOfLights/status/1254346649457000448
2020-04-13 16:03:14,"GOOD NEWS: 271 out of 274 pilgrims in #Sukkur quarantine have recovered from #COVID__19. Now recovery rate in #Sindh province jumps to 419. 

#CoronaVirusUpdate #COVID2019 #TimesOfKarachi https://t.co/hQYINixJEO",8,26,https://twitter.com/TOKCityOfLights/status/1249729867958169605
2020-04-13 12:01:22,"#DowUniversity medical experts claimed that Intravenous Immunoglobulin (IVIG) can cure the #COVID2019 patients which was manufactured with purified antibodies, obtained from the recovered #coronavirus patients.

#CoronaVirusUpdate #Karachi #TimesOfKarachi https://t.co/61BdTlwfn6",31,68,https://twitter.com/TOKCityOfLights/status/1249669000319008768
2020-04-08 10:56:34,"BREAKING: A war missile recovered from #seaview in Karachi on which bomb disposal squad evacauated the area - ""Missile is free of explosive material &amp; is used for adding color in sea water"", says Police official. 

#Karachi #TimesOfKarachi https://t.co/vqXRDnf30G",16,51,https://twitter.com/TOKCityOfLights/status/1247840756812873728
2020-04-04 08:32:44,"GOOD NEWS: ""Another 9 patients have recovered &amp; their corona virus test has come negative. Now the total number of recovered patients in Sindh stand at 74"", confirmed Sindh Spokesperson Murtaza Wahab. 

#CoronaVirusUpdate #Karachi #COVID2019 #TimesOfKarachi https://t.co/Jn3m79mMXJ",8,21,https://twitter.com/TOKCityOfLights/status/1246355005101277187
2020-04-02 15:54:14,"BREAKING: ""Another 11 patients have recovered &amp; their corona virus test has come negative. Now the total number of recovered patients in Sindh stand at 65"", confirmed Sindh Spokesperson Murtaza Wahab. 

#CoronaVirusUpdate #Karachi #TimesOfKarachi",3,17,https://twitter.com/TOKCityOfLights/status/1245741336613060608
2020-04-02 12:58:55,"Young Yahya Jafri becomes the first person to donate blood plasma for the treatment of Corona patient. Jafri was himself a Covid_19 patient who was recently recovered and today, he came with his parents to donate blood plasma. Huge respect for the whole family 🙌 https://t.co/nRLhiuAdd7",91,185,https://twitter.com/TOKCityOfLights/status/1245697219325505536
2020-04-01 08:41:06,"JUST IN: ""Another 3 patients have recovered &amp; their corona virus test come negative. Now the total number of recovered patients in Sindh stand at 54"", Confirmed #Sindh Spokesperson Murtaza Wahab.

#CoronaVirusUpdate #Karachi #COVIDー19 #TimesOfKarachi https://t.co/jdC17EChOr",9,19,https://twitter.com/TOKCityOfLights/status/1245269947447750657
2020-03-30 12:38:32,"GOOD NEWS: #Sindh Health Dept has 4 patients who have recovered in Sindh - All patients (Aged 53,70,7 and 50 years old) were tested negative twice and have been discharged from Dow Ojha this morning - These patients had a history of travel to Syria and Dubai. 

#Covid19Update https://t.co/xchRzXcpbc",17,28,https://twitter.com/TOKCityOfLights/status/1244604927281901573
2020-03-29 08:25:57,"JUST IN: 3 more have recovered in #Pakistan from #Covid_19 acc to the government's official portal — increasing the total to 28 - So far, Pakistan has reported 1,513 cases of the #coronavirus, which has claimed the lives of 12 people.

#CoronaInPakistan  #CoronaUpdate https://t.co/zDAUOMzXWi",10,21,https://twitter.com/TOKCityOfLights/status/1244178972151291904
2020-03-26 14:17:46,"BREAKING: State Minister Zafar Mirza informed that out of 1,118 patients of #COVID2019 in #Pakistan so far, 21 have recovered &amp; returned to their home.

#CoronaVirusUpdate #COVID19Pakistan #TimesOfKarachi https://t.co/oLvvX3EWWg",4,14,https://twitter.com/TOKCityOfLights/status/1243180348302921731
2020-03-24 18:16:31,"A total of 18 cases have been recovered from Corona Virus in Pakistan. Here’s the full update till today; 

#CoronaVirusUpdate #COVID19Pakistan https://t.co/o59Hl1dPf1",16,53,https://twitter.com/TOKCityOfLights/status/1242515653246025729
