twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
30597662,toricantstfu,Sun Apr 12 04:05:23 +0000 2009,False,"Tennessee, USA",11127,2071,35924,16495
 
created_at,full_text,retweet_count,favorite_count,twitter_url
Tylenol
2020-05-26 15:26:11,@paige_cayton Yesss. I’m gonna take some Tylenol before hand and remember to breathe lmao,0,1,https://twitter.com/toricantstfu/status/1265303225961496578
cold
2020-05-20 13:54:15,@jojoboocakes I was busted in 2006. Why wasn’t I murdered in cold blood?,0,6,https://twitter.com/toricantstfu/status/1263105759358967809
2020-05-13 02:57:56,"@JonHampton Well, that being said, my man-friend is like a human space heater. So after about an hour, I’m rolling over and sticking my leg out of the covers because he will burn me alive. During cold months or if I have the a/c on right and I’m nekked, it’s PERFECT.",1,1,https://twitter.com/toricantstfu/status/1260403878505390080
tired
2020-05-18 16:25:37,I am sick and tired of this. I need to move to CT 😩 https://t.co/a2QAT3O6fh,0,15,https://twitter.com/toricantstfu/status/1262419079710810115
2020-05-13 02:56:39,@s_fupa He’s tired of everyone tryna peep my titties,0,1,https://twitter.com/toricantstfu/status/1260403557473402880
2020-05-09 08:13:06,@Nikkeilaa1 I’m tired of emotional abuse because he can’t physically abuse me anymore. Always texting me during the weekends on some drunk fuck shit and then will email me Monday to apologize.,0,2,https://twitter.com/toricantstfu/status/1259033640228605953
2020-05-09 08:11:36,@Jamell30251125 I’m tired of going in emotional abuse circles because he can’t physically put hands on me anymore.,0,2,https://twitter.com/toricantstfu/status/1259033265530376197
2020-05-04 20:45:41,@Chayyslayys Lmao I’m so tired of these ugly men.,0,0,https://twitter.com/toricantstfu/status/1257411095591112710
2020-05-02 17:40:45,I’m so TIRED of SHAVING. I’m almost 6’ tall and I am EXHAUSTED.,0,79,https://twitter.com/toricantstfu/status/1256639780064047104
2020-04-17 02:34:47,"@andrew_the_pom @Wrist_Papi sleep all day. Not everyday, but some days. If your mental and your body is too tired and weak to get out of bed, sometimes you just need to let it rest. Fight it tomorrow. You don’t win every battle, every day, but you keep fighting and that’s what’s most important.",0,4,https://twitter.com/toricantstfu/status/1250975969185333248
2020-04-07 03:36:32,@AwkwardIRL Girl 😩😩😩😩 I am so tired,0,2,https://twitter.com/toricantstfu/status/1247367631298015233
painful
2020-05-15 14:10:40,@soledj23 It was so painful and now.... I’m a hoe,1,9,https://twitter.com/toricantstfu/status/1261297952150237186
2020-05-02 03:08:09,"@Jamell30251125 3. Feeling punished for being nice is spot on. When you feel like you’re being taken advantage of or treated like a fool for being kind for NO reason other than that’s just who you are and how you move, it’s a painful punishment.",0,2,https://twitter.com/toricantstfu/status/1256420183666765835
breath
2020-05-15 05:45:45,"@B_MetalSucks @Jamellpelle Oh, for sure. With a “that’s what you get, silly bitch” under his breath so his daddy wouldn’t hear him",0,4,https://twitter.com/toricantstfu/status/1261170886620655617
2020-03-27 19:39:29,"@anigoeswhoa It’s really not that bad. I’ve had them done twice. I took my shirt off and put it in my mouth to bite down on, deep breath during the needle and it’s over. The first three days of soreness are the worst, so sports bras are essential but definitely worth it.",0,7,https://twitter.com/toricantstfu/status/1243623697610608641
taste
2020-05-13 19:06:34,@gotablasst Kitty gonna taste SCHWEEEEEET 😂,0,2,https://twitter.com/toricantstfu/status/1260647643077767175
2020-05-06 00:54:49,"@andrew_the_pom Taste like shit, too.",0,9,https://twitter.com/toricantstfu/status/1257836180885975040
ache
2020-05-13 16:19:06,@Coopsage @TiredElementary The way my thighs ACHE for two days after I ride is NOT okay,0,1,https://twitter.com/toricantstfu/status/1260605499201986560
2020-04-25 22:50:53,I ate too much and I resent myself now. This stomach ache just 😩😩😭,0,23,https://twitter.com/toricantstfu/status/1254181112055762945
drug
2020-05-12 16:46:55,@TalkXick Drug cartel and a suburban family working with them. It’s great.,0,0,https://twitter.com/toricantstfu/status/1260250110237294597
Touch
2020-05-04 18:09:58,@still_sexellent I would literally used a broken beer bottle as a dildo before ever letting that man touch me again.,0,1,https://twitter.com/toricantstfu/status/1257371909018341381
nose
2020-05-03 23:57:43,@KaytsAdventures That’s cute as shit and it just means he dicked you down really good. Me and my open ass mouth like I don’t have a fully functioning nose to breathe through... a mess.,0,1,https://twitter.com/toricantstfu/status/1257097036668731393
nauseous
2020-04-24 16:59:23,@aPlayaNamedAnt Nobody lmaoooo I’m just nauseous,0,0,https://twitter.com/toricantstfu/status/1253730265630818304
nausea
2020-04-24 16:56:25,Got that “butterfly” type nausea today and I’m not here for it.,0,10,https://twitter.com/toricantstfu/status/1253729521502695427
chill
2020-04-21 21:39:32,@TankussArt Of course. I love your work and I have zeeeero respect or chill for someone like her.,0,1,https://twitter.com/toricantstfu/status/1252713604857634819
sweating
2020-04-11 16:08:41,@Sweet_blisse Imagine sweating and this shit getting in ya eyes,0,1,https://twitter.com/toricantstfu/status/1249006465173598209
2020-03-27 16:49:10,@Mr_FEspinal Getting hot while I sleep is the WORST. I will wake up mad as hell if I’m sweating in my sleep cause I’ve got a little human space heater attached to me.,0,1,https://twitter.com/toricantstfu/status/1243580837519593481
