twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
59152065,USMCSDI,Wed Jul 22 15:18:33 +0000 2009,False,,57320,55158,86969,14179
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 23:50:52,"Leave it up to COVID-19 to make sure it ONLY affects Male and Females

What happened to the OTHER 59 genders the LIBTARDS came up with?",142,342,https://twitter.com/USMCSDI/status/1266155006752948227
2020-05-24 22:17:32,"Romance novels written during the Covid-19 shutdown will be like:

As she slowly slipped her mask down and removed her gloves",177,732,https://twitter.com/USMCSDI/status/1264681967754383362
2020-05-23 20:38:07,Breaking News:  66 people died in Chicago yesterday from Covid-19 related gunshot wounds-- But they will be voting by mail,627,1155,https://twitter.com/USMCSDI/status/1264294560349511681
2020-05-21 21:53:58,I will not... I repeat.... I WILL NOT be vaccinated for COVID-19,400,1394,https://twitter.com/USMCSDI/status/1263588874262986763
2020-05-21 18:46:15,@SenSchumer That bill was worse for America than AIDS &amp; Covid-19 combined dirt bag,2,4,https://twitter.com/USMCSDI/status/1263541631774588935
2020-05-21 14:26:19,@reallouiehuey Well he was actually eaten by a shark but they blamed it on covid-19,0,15,https://twitter.com/USMCSDI/status/1263476220781568007
2020-05-18 13:24:38,@realDonaldTrump @WhiteHouse @washingtonpost I don’t wanna be tested. Fuck COVID-19,13,74,https://twitter.com/USMCSDI/status/1262373531079368706
2020-05-17 11:49:48,"When MLB resumes the players are not allowed to..... get this..... are you ready for it????

SPIT!

They have outlawed spitting because your covid-19 saliva will infect the ENTIRE world and everyone will die!",232,559,https://twitter.com/USMCSDI/status/1261987276864847872
2020-05-12 15:26:21,@dotjenna They’ll list it as another Covid-19 case,25,136,https://twitter.com/USMCSDI/status/1260229834657206272
2020-05-07 23:40:17,"I will NOT social distance, I will NOT wear a mask and I will NOT buy into this PLANDEMIC to ruin the BEST American economy America had

I WILL social distance myself from scumbag, America HATING liberals and Democrats!

I trust AIDS and COVID-19 more than I do the Democrat party",331,885,https://twitter.com/USMCSDI/status/1258542198334713856
2020-05-07 00:12:14,"DEMOCRATS are worse for America than COVID-19 and the Murder Hornets!

DEMOCRATS HATE AMERICA!",140,288,https://twitter.com/USMCSDI/status/1258187853307281408
2020-05-07 00:02:36,"Dear LIBERALS

How come COVID-19 is only affecting 2 GENDERS?

What happened to the other 37?",120,306,https://twitter.com/USMCSDI/status/1258185429364375554
2020-05-01 22:51:53,"[911 call post COVID-19 shutdown]

Dispatcher:  ""Okay... he has a gun... is he coughing, sneezing or showing ANY flu like symptoms... ask him if he has a fever""",59,164,https://twitter.com/USMCSDI/status/1256355690802827265
2020-04-25 23:55:30,"A virus has NEVER shut down America before... EVER!

President Donald J. Trump so shocked the world with the economy and unemployment #'s the ""GLOBALISTS"" who play us like PUPPETS implemented this virus

I am a Marine and NOT afraid to die!  FUCK COVID-19 and this SHUTDOWN!",398,949,https://twitter.com/USMCSDI/status/1254197374383161344
2020-04-24 08:59:14,"Good Morning

Time to get the PT run done!

Have a GREAT Friday and FUCK China &amp; COVID-19",90,469,https://twitter.com/USMCSDI/status/1253609434162565122
