twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
67209164,Phenom307,Thu Aug 20 03:00:43 +0000 2009,False,"Indianapolis, IN",565,489,8005,3036
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-18 00:45:54,"@1jacobvickers That was a helluva game that really could’ve went either way.  I liked our (LN’s) chances to go all the way after that battle. It seems so long ago.  Condolences to the families of those that passed away, and blessings to all that are battling COVID-19 and the repercussions!",0,1,https://twitter.com/Phenom307/status/1262182592188575744
2020-05-06 14:13:40,@JayBoog_35 You will go down as an important part of LNGB’s first state championship team! So sorry the Covid-19 virus negatively impacted the last several months of the year. #GoCats #TheChampsAreHere,0,1,https://twitter.com/Phenom307/status/1258037218205224960
2020-04-24 14:04:17,"Just because I know some of you care about me, and since I’m a COVID-19 survivor! #NoDisinfectantInjections #NoManMadeUVRays😁 https://t.co/YZwIIpDMn3",0,36,https://twitter.com/Phenom307/status/1253686202294775810
2020-04-14 03:17:04,@coachbrannen @MorganDMorris @CoachTimMorris This is so AWESOME‼️ Thank you - from a COVID-19 survivor,0,3,https://twitter.com/Phenom307/status/1249899445938008065
2020-04-06 14:53:12,@Nick_Baumgart Keep us posted!  We still have a “meeting” when all of this COVID-19 blows over.,0,0,https://twitter.com/Phenom307/status/1247175531562512384
2020-03-31 01:29:00,"COVID-19 has taken 3 souls that I know in the past 24 hours. Lord, I come humbly rejoicing and thanking You for being You. I don’t know Your ways, but ask for Your Grace and Mercy during this tough time, especially for those impacted by this horrible disease. In Jesus’ name-Amen!",21,408,https://twitter.com/Phenom307/status/1244798821365932033
2020-03-29 13:26:22,Sick. Tested positive for COVID-19 a week ago. Pissed off at all this virus has stolen from me and others. Ready to recover and comeback stronger. God bless and be safe...Amen‼️💪🏾,14,665,https://twitter.com/Phenom307/status/1244254573323341824
2020-03-17 15:39:27,"Shout out to the sports journalists, bloggers, insiders, columnists, reporters, and writers for providing opinion pieces/stories to help fill the sports void during the COVID-19 pandemic. Health care/medical professionals are HEROES, but entertainment is good for mental health.",0,2,https://twitter.com/Phenom307/status/1239939413624397826
cold
2020-05-06 13:17:50,@ehunt66 For him it’s just a business transaction.  He’s cold and impersonal.,0,1,https://twitter.com/Phenom307/status/1258023167391600642
shaking
2020-05-05 20:05:28,"@ErvinUlyss @Morehouse_Dad His credentials say he should’ve been on team. I don’t think it was just “bully ball” that hurt Thomas. Not shaking hands with the Bulls, co-signing w/Rodam’s bigoted comments towards Bird, and falling out with Magic - all contributed to the snub.",0,2,https://twitter.com/Phenom307/status/1257763363473494019
2020-04-30 18:48:25,"@CoachJ_VU @Oprah I can only speak for myself (and most of the guys I know) when I say...Nope, while shaking my ‘fro.  Still like Oprah, though. 😁 https://t.co/UNOwawY3uu",0,0,https://twitter.com/Phenom307/status/1255932032011718656
tested positive
2020-04-19 07:33:51,"@KyleNeddenriep Thanks for writing, Kyle. As you know I attended the games, fell ill, tested positive (for COVID-19) and have mostly recovered. This should serve as a cautionary tale for protesters of the governor’s shelter-in-place order. The loss of life and suffering is not worth the risk!",1,20,https://twitter.com/Phenom307/status/1251776004734976004
2020-03-29 13:26:22,Sick. Tested positive for COVID-19 a week ago. Pissed off at all this virus has stolen from me and others. Ready to recover and comeback stronger. God bless and be safe...Amen‼️💪🏾,14,665,https://twitter.com/Phenom307/status/1244254573323341824
recovered
2020-04-03 19:02:51,"@yeahitstammy Fully recovered and amazed at how young people (like yourself) are managing through all the craziness in the world. Me, as a young man, would’ve been a mess! Take care!",0,1,https://twitter.com/Phenom307/status/1246151192687845377
recover
2020-03-29 13:26:22,Sick. Tested positive for COVID-19 a week ago. Pissed off at all this virus has stolen from me and others. Ready to recover and comeback stronger. God bless and be safe...Amen‼️💪🏾,14,665,https://twitter.com/Phenom307/status/1244254573323341824
positive for Covid
2020-03-29 13:26:22,Sick. Tested positive for COVID-19 a week ago. Pissed off at all this virus has stolen from me and others. Ready to recover and comeback stronger. God bless and be safe...Amen‼️💪🏾,14,665,https://twitter.com/Phenom307/status/1244254573323341824
