twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
63525003,YossiGestetner,Thu Aug 06 20:01:50 +0000 2009,True,New York,30506,162,312,64331
 
created_at,full_text,retweet_count,favorite_count,twitter_url
cancer
2020-05-28 13:16:26,"@melissadderosa The idea that prolonged lockdowns, never tried on a mass scale in modern times, is a net life saver while opening is about profits, is false! Look at the reports of suicides and fatal ODs rising in recent months while doctor care for cancer etc dropping.",0,1,https://twitter.com/YossiGestetner/status/1265995346234269705
2020-05-25 19:38:40,"@rorynyc @AlexBerenson @BuckSexton @JordanSchachtel @dbongino @brithume @NolteNC No. The argument against a lockdown is not Economic. The argument is that prolonged lockdowns are causing a reduction in vaccinations, cancer screenings and healthcare employment, while increasing suicides, fatal ODs and domestic abuse.",1,3,https://twitter.com/YossiGestetner/status/1265004374029451269
2020-05-25 05:25:44,"It’s insane to implement policies which lead to a cut in vaccination, cancer screening, and health care jobs; and a rise in suicides, fatal ODs and domestic violence until we know it all. The less we know, the less these policies make sense. I am not sure what you are arguing. https://t.co/Y0MuAn7MSk",8,36,https://twitter.com/YossiGestetner/status/1264789729360388096
2020-05-13 03:15:22,@RonwellQDobbs @MelissaRusso4NY @Tom_Winter No one’s child should die from lack of access to care created by the lockdowns! 1.4 MILLION healthcare workers nationwide lost their jobs in April! Cancer screening etc are not happening normal! Calls to suicide hotline and ODs are rising. Need balanced policies.,1,2,https://twitter.com/YossiGestetner/status/1260408267320238081
2020-05-12 23:45:09,"@AndrewDesiderio @burgessev @marianne_levine “Eager to revive the flailing economy”? More like eager to reduce suicides, ODs and lack of care to non-Covid items such as for cancer patients. See this short clip. Thank you. https://t.co/q6fqY5xFaf",0,0,https://twitter.com/YossiGestetner/status/1260355362353528832
2020-05-06 19:40:19,"@curaffairs Did you see stats of recent calls to suicide hotlines and the spike in ODs? Seen studies from past downturns showing that prolonged unemployment brings death from despair and from lack of care (for cancer patients, etc)? Lockdows are not a one-way street you arrogant duck!",8,15,https://twitter.com/YossiGestetner/status/1258119423455608832
2020-05-06 15:07:37,"- NEW STUDY: 1.4 MILLION are expected to die globally from tuberculosis due to lockdown delaying needed care. https://t.co/uPic6Barvo

- OLDER STUDY: economic downturn (of 2008) linked with at least 260K excess global cancer deaths. https://t.co/kZCkeBwCJx

#LockdownGovernors",38,58,https://twitter.com/YossiGestetner/status/1258050795263713282
2020-05-06 02:56:08,@TextHQ @speechboy71 Cancer pateints are suffering now from the lockdown.,0,0,https://twitter.com/YossiGestetner/status/1257866710767542274
2020-05-05 23:36:03,"Cuomo keeps repeating - as late as today! - that Covid cost are lives but shutdown costs are only economic. Really? See years of data showing the human cost to economic downturns: Suicides, Drug ODs to more cancer deaths. Forget studies. See news from NY of April 2020! https://t.co/v7vFr4GuKS",28,81,https://twitter.com/YossiGestetner/status/1257816357229428742
2020-05-05 22:21:43,"Global economic downturn (of 2008) linked with at least 260,000 excess cancer deaths, per a study by multiple colleges including Imperial. 

https://t.co/kZCkeBwCJx

@speechboy71 how many LockdownDeaths are ok with you?",8,11,https://twitter.com/YossiGestetner/status/1257797653246640136
2020-05-04 00:43:59,"@RMConservative @JordanSchachtel A NY cancer patient with whom I spoke mid/late-March, could not go to Baltimore to treat a flare up becasue everything non-Corona was shut. He was instead sent to a local hospital. He is now six feet under.",19,31,https://twitter.com/YossiGestetner/status/1257108676755800068
Difficulty breathing
2020-05-28 01:54:16,.@Cernovich Stone-cold killer ignored a 2 minute pea of difficulty breathing and like a mindless robot kept his knee for another FOUR MINUTES after the victim became quiet. What did that mentally-challenged thug and his co-thugs think happened that the person became quiet?,8,44,https://twitter.com/YossiGestetner/status/1265823674780790784
Difficulty breath
2020-05-28 01:54:16,.@Cernovich Stone-cold killer ignored a 2 minute pea of difficulty breathing and like a mindless robot kept his knee for another FOUR MINUTES after the victim became quiet. What did that mentally-challenged thug and his co-thugs think happened that the person became quiet?,8,44,https://twitter.com/YossiGestetner/status/1265823674780790784
asymptomatic
2020-05-26 03:37:08,Shutdowns were done with the thinking that Covid is 10 to 34 deadlier than the flu. CDC last week puts it at 4 times the flu. It drops to under 3 times the flu when adding asymptomatic cases. This is huge/great news but nobody is home.,78,194,https://twitter.com/YossiGestetner/status/1265124785207607303
covid-19
2020-05-25 03:37:02,.@Noahpinion Or... Covid-19 is not the mass contagion that you think it is. Otherwise the no/low lockdowm Sweeden would have had a much higher rate. https://t.co/BUuxgFHuQb,9,39,https://twitter.com/YossiGestetner/status/1264762373719588866
2020-05-24 13:26:46,"“Professor Adrian Hill said an upcoming Oxford vaccine trial, involving 10,000 volunteers, threatened to return ‘no result’ because of low transmission of COVID-19 in the community.” - 5/24/20 https://t.co/IYcQKQHYbZ

cc @kerpen @AlexBerenson @jeffmason1 @kaitlancollins",16,41,https://twitter.com/YossiGestetner/status/1264548398272831488
2020-05-24 12:46:36,"@NYCGreenfield NY/NJ combiend have only 8.6% of the US population but they have 40.7% of Covid-19 deaths as of now.

https://t.co/7GlJcsL6RW",16,38,https://twitter.com/YossiGestetner/status/1264538286300844037
2020-05-20 14:02:08,"Of 22,843 Coronavirus deaths in NY, 14 are under the age of 20. This is 0.061% of all Coronavirus deaths. In 2017, children this age were 1.15% of all deaths in NY which is 18.8 times worse than their portion among Covid-19 deaths. https://t.co/BcXpNVG1Xm",31,76,https://twitter.com/YossiGestetner/status/1263107744988569603
2020-05-11 17:02:07,@bern_hogan I just spoke to Covid-19 of the Southern Tier via phone and it promised me not to cross into Fingner Lakes becasus a human being decided that it’s a different region and a region that is ready to open. Coivd tells me that its decision is data/science-based. https://t.co/CDjuATU9H5,2,8,https://twitter.com/YossiGestetner/status/1259891547363041280
2020-05-11 14:53:29,"@LizMair @NYCHealthCommr @MarkLevineNYC @mnholcombe @DavidOlson11 @GannettAlbany @sarbetter @NickReisman @ZackFinkNews @NYCSpeakerCoJo @StephenLevin33 @SEichenstein @Pinnyringel @NYSEDNews @Dani_Lever @melissadderosa @RichAzzopardi @KarinGoldmark @lesliebrody Per a 4/29/20 article in Sky, Switzerland's COVID-19 response leader says scientists now know “young children don't transmit the virus.” He says brief physical contacts between young children and grandparents is ok.

https://t.co/7N1EYaB4jz",5,14,https://twitter.com/YossiGestetner/status/1259859175682834434
2020-05-10 17:49:10,@brithume @kerpen Switzerland's COVID-19 response leader says scientists now know “young children don't transmit the virus.” He says brief physical contacts between youmg children and grandparents is ok per a 4/29/20 article in Sky. https://t.co/7N1EYaB4jz,9,38,https://twitter.com/YossiGestetner/status/1259541003247202304
2020-05-05 21:29:13,"Oy. @realDonaldTrump says: 'Possible there will be some' COVID-19 deaths as country reopens.

The line to use is “endless lockdowns  lead to deaths as seen from a spike in calls to suicide hotlines and an increased number in ODs, so we need to open in a smart way.”

THREAD: https://t.co/HZfUYjTARy",10,37,https://twitter.com/YossiGestetner/status/1257784440480247808
2020-05-05 19:10:43,"“Far fewer children are affected by COVID-19 and transmissions from... children to adults is far less [than the flu]. - Australia’s Deputy Medical Chief 5/3/20. https://t.co/U1WrKBHMtn

Scientists ""now know young children don't transmit the virus.” - Swiss https://t.co/7N1EYaB4jz",9,20,https://twitter.com/YossiGestetner/status/1257749583842680832
2020-05-04 06:05:52,"“Overdose deaths skyrocket in Pennsylvania during COVID-19 pandemic.” - 4/22/20 https://t.co/JJ6TuXMxej

In Jacksonville FL, OD calls were up 20% in March from Feb levels. https://t.co/jJayKkRNFV

If these lockdowns can save one life.

Reckless idiots!",39,92,https://twitter.com/YossiGestetner/status/1257189684574326784
2020-04-26 17:49:07,"Open Letter: Our Mom Survived COVID-19 But Died Of Hopelessness, All Alone.

Name: Lea Neuman.

Hospital: Good Samaritan.

Room: Loria 305.

Date of death: April 23

#NoPatientLeftAlone

#CompanionsSaveLives 

https://t.co/R83speakwN",75,89,https://twitter.com/YossiGestetner/status/1254467556569755657
2020-04-22 17:24:00,"Moreover, CDC says the next Covid-19 wave can be worse. Ok, so continue to build up Covid-only hospitals to be at the ready when needed. Nobody on his team is keeping track why we shutdown to begin with? Odd.",6,26,https://twitter.com/YossiGestetner/status/1253011685968941056
2020-04-19 13:18:15,"“Why a study showing that covid-19 is everywhere is good news: If millions of people were infected weeks ago without dying, the virus must be less deadly than official data suggest.” (The Economist, Apr 11th 2020).

The Yossi 3/19/20: https://t.co/BJe8gmtJXP",10,35,https://twitter.com/YossiGestetner/status/1251862677846179843
2020-04-19 13:17:49,"“Why a study showing that covid-19 is everywhere is good news: If millions of people were infected weeks ago without dying, the virus must be less deadly than official data suggest.” (The Economist, Apr 11th 2020).

The Yossi 3/24/20: https://t.co/csCr1uWUD0",71,143,https://twitter.com/YossiGestetner/status/1251862568760721408
2020-04-17 20:52:16,Imagine the lives that could have been saved if for the last 10 days just a fraction of the focus that was given on so many things related to Covid-19 was given to care at hospitals. Please read this thread and make a difference. Thank you! https://t.co/6jZrBCYm1M,14,23,https://twitter.com/YossiGestetner/status/1251252160601432070
2020-04-17 05:48:19,"I did not spend much time on the fact that many Covid-19 deaths are not lab-tested; it’s people who officials assume died from Covid.

NY added 3,778 “probable” cases to its death count. This is more than 10% of the UNITED STATES count which is at 33K when counting those 3,778. https://t.co/6MIaUAf1ta",7,20,https://twitter.com/YossiGestetner/status/1251024672617103361
2020-04-12 14:47:36,They said 14 days is enough to crush Covid-19 and that hospitalizations run two weeks behind infections. Ok. Italy and Spain a month+ into full lockdowns are still losing 10 times more people a day than pre-lockdown. At what point do we get answers beyond “could have been worse”? https://t.co/C3yCrdvmnC,42,110,https://twitter.com/YossiGestetner/status/1249348447985176580
cough
2020-05-24 01:53:09,"At the time you became AG, the IC - per Brennon and Clapper - had no evidence of collusion despite an unprecedented spying operation involving FISA and human sources. You had the power and duty to tell Comey at al to cough up or shut up. Instead, you rolled over. https://t.co/nnLm0tABsp",45,109,https://twitter.com/YossiGestetner/status/1264373841167560705
illusion
