twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
743863334164959240,Zaaiinaabbb,Fri Jun 17 17:50:13 +0000 2016,False,,307,269,3999,862
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-13 00:19:47,My taste better come back before Eid,0,4,https://twitter.com/Zaaiinaabbb/status/1260364079308341251
2020-05-05 13:32:50,@minnie0952 I feel you 😭 I've lost both my smell and taste since I got it,0,1,https://twitter.com/Zaaiinaabbb/status/1257664554353528833
cough
2020-05-05 13:40:49,@minnie0952 I've still got a cough and a slight breathing issue but Alhamdulilah Im much better ❤️,0,0,https://twitter.com/Zaaiinaabbb/status/1257666563467087877
smell
2020-05-05 13:32:50,@minnie0952 I feel you 😭 I've lost both my smell and taste since I got it,0,1,https://twitter.com/Zaaiinaabbb/status/1257664554353528833
pain
2020-05-01 00:09:57,This wisdom tooth pain really ain't it,0,4,https://twitter.com/Zaaiinaabbb/status/1256012949900197889
2020-04-16 22:17:53,@whatModoyouwant It'll help with the pain in your body trust me 😜,0,1,https://twitter.com/Zaaiinaabbb/status/1250911316052713475
2020-03-18 20:02:57,This is the worst pain I've been through,0,0,https://twitter.com/Zaaiinaabbb/status/1240368112307965954
2020-01-23 20:00:43,This pain really ain't it.,0,1,https://twitter.com/Zaaiinaabbb/status/1220436215629000705
tested positive
2020-04-25 15:42:03,I kindly request you all to keep me and my family in your duas. I tested positive for Covid. It has hit me hard and I'm struggling. May Allah grant every person who is suffering from an illness complete shifa ❤️,59,307,https://twitter.com/Zaaiinaabbb/status/1254073195164045319
positive for Covid
2020-04-25 15:42:03,I kindly request you all to keep me and my family in your duas. I tested positive for Covid. It has hit me hard and I'm struggling. May Allah grant every person who is suffering from an illness complete shifa ❤️,59,307,https://twitter.com/Zaaiinaabbb/status/1254073195164045319
migraine
2020-04-11 09:13:41,It should be illegal to have a migraine this early in the morning,0,1,https://twitter.com/Zaaiinaabbb/status/1248902027792584705
2020-04-09 22:07:58,I have a migraine from all the crying I did whilst watching Miracle in cell no.7,0,2,https://twitter.com/Zaaiinaabbb/status/1248372104593989642
2020-03-11 15:15:04,Having a cold and a migraine is the worst,0,0,https://twitter.com/Zaaiinaabbb/status/1237758946963861505
shaking
2020-03-18 18:45:50,What is going on. I can't stop shaking,0,2,https://twitter.com/Zaaiinaabbb/status/1240348705175285762
tired
2020-03-14 11:58:34,The day hasn't even started and I'm tired already,0,1,https://twitter.com/Zaaiinaabbb/status/1238796662191132672
cold
2020-03-11 15:15:04,Having a cold and a migraine is the worst,0,0,https://twitter.com/Zaaiinaabbb/status/1237758946963861505
body ache
2020-03-01 22:42:46,Literally every muscle in my body aches,0,0,https://twitter.com/Zaaiinaabbb/status/1234247737559986176
body aches
2020-03-01 22:42:46,Literally every muscle in my body aches,0,0,https://twitter.com/Zaaiinaabbb/status/1234247737559986176
aches
2020-03-01 22:42:46,Literally every muscle in my body aches,0,0,https://twitter.com/Zaaiinaabbb/status/1234247737559986176
fever
2020-02-19 19:08:50,Living with a baby doesn't help with baby fever 😩,0,3,https://twitter.com/Zaaiinaabbb/status/1230207633426145283
