twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
619652778,yobitchdrea,Wed Jun 27 01:33:45 +0000 2012,False,"Brooklyn, NY",735,280,53842,85104
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-28 20:19:42,i’m tired of non black people putting their two cents in when it comes to racial injustice,0,3,https://twitter.com/yobitchdrea/status/1266101865974042625
2020-05-10 02:42:12,"i’m gonna start giving y’all the same energy y’all give me, getting real tired of this shit",1,0,https://twitter.com/yobitchdrea/status/1259312755988926465
2020-04-25 05:27:57,i’m so tired of alternating between these social media apps,0,1,https://twitter.com/yobitchdrea/status/1253918650844811264
2020-03-11 15:54:58,"i’m so tired of life constantly throwing shit at me, idk how much more i can handle",0,1,https://twitter.com/yobitchdrea/status/1237768990795202561
2020-02-27 22:13:21,i’m fucking tired of capitalism,0,0,https://twitter.com/yobitchdrea/status/1233153169678651393
2020-02-27 21:08:06,doordash better count their fucking days !!! i’m tired of their shit and the dashers always fucking up orders,0,2,https://twitter.com/yobitchdrea/status/1233136750731649024
2020-01-13 06:21:04,"i seriously need friends who like to go out, tired of spending my weekends at the crib",0,0,https://twitter.com/yobitchdrea/status/1216606068639522817
pain
2020-05-20 23:45:58,every time i hear pi’erre’s tag at the beginning of pain 1993 i think bean by uzi is playing and i get hyped lol,0,0,https://twitter.com/yobitchdrea/status/1263254669989740545
2020-04-10 06:19:30,"instead of getting better, i feel like the pain keeps intensifying 😓",0,0,https://twitter.com/yobitchdrea/status/1248495806094557192
tested positive
2020-04-27 21:35:10,"my sister knows i’ve been sick for 3 weeks now and that i tested positive about 2 weeks ago and the bitch is just now texting me saying “hope all is well and you’re feeling better”. keep that fake energy to yourself, bitch",0,0,https://twitter.com/yobitchdrea/status/1254886834045362182
2020-04-20 20:16:59,so i got my test results today and i tested positive for covid-19,0,0,https://twitter.com/yobitchdrea/status/1252330442914697216
