twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
616487153,EybertD,Sat Jun 23 21:24:31 +0000 2012,False,,2294,2050,29534,206114
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-28 00:41:08,Those of us 65+ are 49.2 million People. That's over 15%of the population who are just being told to stay home. We're sick and tired of there being no plans for us besides stay home.,0,0,https://twitter.com/EybertD/status/1265805269855961088
covid-19
2020-05-27 21:40:55,@kellyanneconway you are going to be held accountable in some way for the hundred thousand plus people dying of covid-19 also. You two are a murderous,0,0,https://twitter.com/EybertD/status/1265759916330975233
2020-05-23 14:45:21,Not to mention the spittle they hold could contain covid-19 https://t.co/yPd9syt3nl,0,0,https://twitter.com/EybertD/status/1264205784209977347
2020-05-22 15:19:00,@andrewcuomo stop touching the outside of the mask and then touching the inside of the https://t.co/NVebiF3VvG are putting possible covid-19 on the inside of the bask for you to inhale when you put it back on.,0,0,https://twitter.com/EybertD/status/1263851864988151809
2020-05-21 02:05:33,"We can't understand her when she talks. She has zero covid-19 expertise. I'm not watching.
Melania Trump to take part in CNN global town hall

https://t.co/CXi2I6jYSw",0,0,https://twitter.com/EybertD/status/1263289799495974914
2020-05-16 02:59:46,@CBSNews the special about covid-19 was excellent,1,1,https://twitter.com/EybertD/status/1261491501772738561
2020-05-15 23:20:41,"I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
I want a coffin emoji.
89k human Americans killed by covid-19 because he was and is a dumb fucking idiot.",1,1,https://twitter.com/EybertD/status/1261436368074358784
2020-05-14 00:28:20,I have many autoimmune issues. I need a blood test yet my Dr. Told me today the risk of covid-19 contamination from the trip into the hospital makes it unwise to get it. So we have to watch and wait.,0,0,https://twitter.com/EybertD/status/1260728617237008385
2020-05-12 04:15:09,Major headache stomach cramps fever 100.1 bones ache everywhere. I wonder if I have covid-19 again,0,0,https://twitter.com/EybertD/status/1260060921243656193
2020-05-11 23:42:35,Well along with everything else now I have a fever of 101. Already had covid-19 I know I can get it again feel worse this time than I did last time,0,0,https://twitter.com/EybertD/status/1259992327335997446
2020-05-11 18:48:55,Will there be a covid-19 quilt? People need a visual for 82k dead people. Then they will wear a mask.,0,0,https://twitter.com/EybertD/status/1259918426425815040
