twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
18893030,Trisity_,Mon Jan 12 05:55:24 +0000 2009,False,United States,2003,580,3503,622589
 
created_at,full_text,retweet_count,favorite_count,twitter_url
smell
2020-05-26 20:30:27,I smell like mangoes.,0,0,https://twitter.com/Trisity_/status/1265379795375972353
tired
2020-05-25 01:33:45,I was finna make tacos but it’s late and I’m tired so TRISGRIDDLE IT IS!,0,0,https://twitter.com/Trisity_/status/1264731347937099778
2020-05-19 16:21:18,I’m three days into this skin care routine and I’m tired of swirling my arms and fingers around my face. Lemme go buy some shit lo,0,1,https://twitter.com/Trisity_/status/1262780381092249603
2020-05-11 16:13:31,I gotta go to Kroger. Im tired of this store lol,0,0,https://twitter.com/Trisity_/status/1259879318647382017
2020-05-10 20:24:27,@TheGoodsOmarC I went to three different stores. IM TIRED LOL,0,0,https://twitter.com/Trisity_/status/1259580078742097920
prone
2020-05-23 01:15:30,"down was the one
who came in contact
with those
with slow goals
who prone to sell crack
on this megaphone
hey look world im on
you off
he floss hard
cause he celebrate the fact",0,0,https://twitter.com/Trisity_/status/1264001977354240006
cold
2020-05-18 23:48:09,"Matt and Ty really fucking hated each other, lmao. Also, how the hell a Digimon get a damn cold",1,0,https://twitter.com/Trisity_/status/1262530446459654145
sweat
2020-05-17 23:35:49,It’s hilarious how much Keith Sweat sounds like Prince on “I Want Her”,0,0,https://twitter.com/Trisity_/status/1262164952686702596
shaking
2020-05-15 02:55:33,Lmfaoooo why she shaking her like that? You gone be the one to kill her.,0,0,https://twitter.com/Trisity_/status/1261128053348085760
taste
2020-05-11 21:07:27,"i think where people mess up is they don’t season it enough. if you taste it not seasoned right, I can get why someone wouldn’t like it. https://t.co/QgoFpKP7JK",2,1,https://twitter.com/Trisity_/status/1259953287618531334
Touch
2020-05-10 15:49:48,Yolanda Adams - Reach Out and Touch (Diana Ross tribute) https://t.co/1KeXtPYu4c,0,0,https://twitter.com/Trisity_/status/1259510959623766016
