twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1241125523650158596,DEJWhitehead,Fri Mar 20 22:13:25 +0000 2020,False,"North East, England",220,249,271,260
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-27 22:33:10,It's no small feat that our cochlear implant team in Middlesbrough have managed to continue implanting during COVID-19 through teamwork @BCIG_UK @SouthTees @ENT_UK @ENT_AudsNews @CIIJournal @CochlearUK @CochlearGlobal @medel @AdvancedBionics https://t.co/X2wdzHhPVx,2,17,https://twitter.com/DEJWhitehead/status/1265773067541909506
2020-04-10 20:17:11,Does COVID-19 affect TRPA1 receptors such that agonists of TRPA1 work less well and patients do not cough as much when they have COVID-19. Just a thought? 🤓🤔,2,11,https://twitter.com/DEJWhitehead/status/1248706614179356672
2020-04-03 10:22:17,[Updating] Italian hospital saves Covid-19 patients lives by 3D printing valves for reanimation devices https://t.co/n3sX29dPNa via @davidesher,0,1,https://twitter.com/DEJWhitehead/status/1246020187339587584
2020-04-01 15:43:20,"It's been done. Detection of COVID-19 from other sites. Testing of specimens from multiple sites may improve the sensitivity and reduce false-negative test results n=205 
@JAMA_current @ENT_UK https://t.co/tRsuyoFBo3 https://t.co/3pqKePz8FD",0,1,https://twitter.com/DEJWhitehead/status/1245376207996293120
2020-04-01 10:52:09,Training Devices to help volunteers do correct nasal swabs for COVID-19 https://t.co/6qvpOQlfTK,0,0,https://twitter.com/DEJWhitehead/status/1245302930204475392
2020-03-31 17:02:12,Detection of COVID-19 from other sites. Testing of specimens from multiple sites may improve the sensitivity and reduce false-negative test results n=205 @JAMA_current https://t.co/WNI2YL7MZB,0,0,https://twitter.com/DEJWhitehead/status/1245033668994838529
2020-03-31 16:15:46,Lung ultrasound is going to be used a great deal for known or suspected COVID-19 pulmonary syndrome https://t.co/w6FKBuK6Zt @SonoSite @SonoSiteEurope,0,2,https://twitter.com/DEJWhitehead/status/1245021982162370562
2020-03-31 12:36:09,COVID-19 PCR test result just back for me....positive 🦠 for coronovirus. No surprise there. I’m feeling much better today. Myalgia is a bit of a pain 😊,0,0,https://twitter.com/DEJWhitehead/status/1244966711809519621
2020-03-31 11:37:03,Swab technique for collection of Nasopharyngeal specimen for COVID-19 #COVID19 #covid19UK #NHSuk @ENT_UK @BBCNews https://t.co/rA8lF9ul8I,13,25,https://twitter.com/DEJWhitehead/status/1244951841877745665
2020-03-31 10:01:04,"@DrBenLovell Consider a high dose 2000mg, high quality Omega-3 to protect from olfactory loss with COVID-19 @ENT_UK @FifthSenseUK https://t.co/lW3zEKFsKw https://t.co/a9lWkIRCJ5",0,0,https://twitter.com/DEJWhitehead/status/1244927683525566464
2020-03-31 09:02:28,"Consider a high dose 2000mg, high quality Omega-3 to protect from olfactory loss with COVID-19 @ENT_UK @FifthSenseUK https://t.co/KOiANnapbu https://t.co/vHcJnVZuuz",0,0,https://twitter.com/DEJWhitehead/status/1244912937271201792
2020-03-31 07:51:30,"And on the 3 day he felt better. Somewhat obsessed with Heart Rate Variability HRV, autonomic nervous system @firstbeat @Garmin @GarminUK and COVID-19 https://t.co/E5YHhbz9IG",0,4,https://twitter.com/DEJWhitehead/status/1244895076943364096
cancer
2020-05-17 17:43:50,@lizrossauc Most of our capacity is currently cancer and CIs. Im not certain about TORS but it was being pushed around theatres the other day...,0,1,https://twitter.com/DEJWhitehead/status/1262076376196186115
smell
2020-05-12 12:15:56,"Great article from Tim Spector @timspector and his team about COVID smell and taste. Been there...🦠🥵...done that...👃🌶️...great work! 

@kingsmedicine 
@KingsCollegeLon 
@NatureMedicine https://t.co/1azFuIQpSl",0,0,https://twitter.com/DEJWhitehead/status/1260181915732193282
2020-05-01 08:27:51,"I'm linking Omega-3 to Smell recovery, protection against Viral Infections and ARDS treatment in ICU.👃🦠🏩

DOI: 10.1093/neuros/nyz559
DOI: 10.3390/nu12041181
DOI: 10.1016/j.nut.2018.10.026
#COVID19 @FifthSenseUK @AbScentUK https://t.co/c8byF6EJbW",3,7,https://twitter.com/DEJWhitehead/status/1256138250047164417
2020-05-01 00:09:48,@sachiko_koyama @STRIVEacademic @SouthTees @BritishSleepSoc @ESRS_Sleep @AASMorg Yes my smell is much improved. I couldn’t say 100% as I need to repeat an UPSIT. Thank you 🙏 for asking ☺️,0,1,https://twitter.com/DEJWhitehead/status/1256012913963405312
2020-04-11 14:29:19,@paulacroxson @FifthSenseUK @stevenmunger @AbScentUK Mint was cooling to the external nose only and somewhat diminished. I could not smell mint for a while,0,0,https://twitter.com/DEJWhitehead/status/1248981458301091845
2020-04-07 17:22:10,"Tue 18:19 I am starting to be able to appreciate fresh mint, chewed in my mouth. Airwaves menthol chewing gum: More oral appreciation (cooling effect), minimal or no nasal. Cinnamon freshly ground: I can just smell something",2,23,https://twitter.com/DEJWhitehead/status/1247575407727185920
2020-04-05 20:44:13,NB still cannot smell mint which is olfactory nerve,2,14,https://twitter.com/DEJWhitehead/status/1246901476695388162
2020-04-05 18:19:11,"#COVID Chilli, Capsaicin taste test. I developed complete anosmia yesterday. COVID PCR positive. My tolerance to Capsaicin has gone up. It binds to TRPV1 receptors. It appears that stimulation is not entirely trigeminal. Can't smell mint. @FifthSenseUK @stevenmunger @AbScentUK https://t.co/50rtz0ARqC",213,533,https://twitter.com/DEJWhitehead/status/1246864978801500173
2020-04-05 11:25:04,12:16 Sunday. Smell returning. (5%) I can just smell Verbena again. It would appear to be a transient isolated sudden-onset anosmia TISOA @AbScentUK @FifthSenseUK @mrsimongane #coronavirus #Symptoms,0,2,https://twitter.com/DEJWhitehead/status/1246760763886362625
2020-04-04 21:06:39,@MikeAlbertMD @RosaPinpoint Certainly I had pins and needles and neuropathic type pain along dermatomes. Lost my smell today,0,3,https://twitter.com/DEJWhitehead/status/1246544736741187584
2020-04-04 18:19:01,@AbScentUK @FifthSenseUK @mrsimongane From smell to no smell in 3 hours. I think it was pure luck and being a rhinologist that I managed to capture this timeframe.,0,3,https://twitter.com/DEJWhitehead/status/1246502549915648002
2020-04-04 17:33:55,"Delayed Sudden Onset Hyposmia (DSOH). 6 days post symptoms of PCR confirmed #COVID19 I developed a reduction in smell. Could smell Verbena at 1535 nothing at 1830. So DSOA now

Subjective 90% drop.👇
#hyposmia @FifthSenseUK @AbScentUK @mrsimongane 

Anyone have an #UPSIT? https://t.co/voMYcWtqp0",0,5,https://twitter.com/DEJWhitehead/status/1246491200644886529
2020-04-04 08:00:37,"The #UPSIT Smell Identification Test is the most reliable and accurate olfactory test available. The worldwide standard for loss of smell:

https://t.co/FNDciJEoZy

@Sensonics_Intl @FifthSenseUK @ENT_UK @AchemsInfo #COVID19 #coronavirus #smell #taste #sense #anosmia https://t.co/BE038gpqjZ",1,1,https://twitter.com/DEJWhitehead/status/1246346925076512769
2020-03-31 01:46:09,@GuildfordENT @PARADicmSHIFT Of the 3 papers referenced regarding smell (could not find ref. 30) only one documented smell clearly. n=18 with a non significant drop in smell post PVP-I. Low numbers with a drop? @TweedieDaniel https://t.co/3yMAetL8dN,0,0,https://twitter.com/DEJWhitehead/status/1244803136210034688
2020-03-31 00:43:24,@TweedieDaniel @GuildfordENT @PARADicmSHIFT I would advise a pre- and post treatment University of Pennsylvania Smell Identification Test (UPSIT). Both these papers used the UPSIT as a safety observation https://t.co/DuyXed9OYE,1,0,https://twitter.com/DEJWhitehead/status/1244787344932311040
2020-03-30 23:45:22,@GaryLineker Try smell training. Details on The Fifth Sense website https://t.co/m2YOx0MFbF  @FifthSenseUK,0,1,https://twitter.com/DEJWhitehead/status/1244772738922938370
taste
2020-05-01 13:51:30,@sachiko_koyama @STRIVEacademic @SouthTees @BritishSleepSoc @ESRS_Sleep @AASMorg Even I was surprised that the Chilli had virtually no effect on me. I'm not exactly sure how I stumbled on the idea. I think it was along the lines of....let me see if I can taste this?,0,1,https://twitter.com/DEJWhitehead/status/1256219701769838595
2020-05-01 06:59:55,@sachiko_koyama @STRIVEacademic @SouthTees @BritishSleepSoc @ESRS_Sleep @AASMorg Yes taste is back 😋,0,1,https://twitter.com/DEJWhitehead/status/1256116120161005569
2020-04-11 17:54:50,"5 days ago I undertook the #COVID Chilli Capsaicin taste test. For the 35,000 people who have viewed this...I have repeated it again today, all in the name of science. All I wish to say is I have recovered and my mouth is now on FIRE 🌶️🤬 🥵 https://t.co/DyXhBT3A5j",18,77,https://twitter.com/DEJWhitehead/status/1249033177244540929
2020-04-06 10:35:42,"@smithbarryc @FifthSenseUK @stevenmunger @AbScentUK That you. Yes I can taste salt +++, sugar, sour but alas no UMAMI to test",0,8,https://twitter.com/DEJWhitehead/status/1247110730278674433
2020-04-05 18:19:11,"#COVID Chilli, Capsaicin taste test. I developed complete anosmia yesterday. COVID PCR positive. My tolerance to Capsaicin has gone up. It binds to TRPV1 receptors. It appears that stimulation is not entirely trigeminal. Can't smell mint. @FifthSenseUK @stevenmunger @AbScentUK https://t.co/50rtz0ARqC",213,533,https://twitter.com/DEJWhitehead/status/1246864978801500173
recovered
2020-04-30 20:55:46,"Just about recovered from the SLASH tracheostomy I did yesterday. Acute epiglottitis, suspected COVID-19. Can't intubate...can't ventilate. Haemostasis...whats that? Last done by me Tunbridge Wells many years ago",0,4,https://twitter.com/DEJWhitehead/status/1255964083691585541
2020-04-11 17:54:50,"5 days ago I undertook the #COVID Chilli Capsaicin taste test. For the 35,000 people who have viewed this...I have repeated it again today, all in the name of science. All I wish to say is I have recovered and my mouth is now on FIRE 🌶️🤬 🥵 https://t.co/DyXhBT3A5j",18,77,https://twitter.com/DEJWhitehead/status/1249033177244540929
nose
2020-04-11 14:29:19,@paulacroxson @FifthSenseUK @stevenmunger @AbScentUK Mint was cooling to the external nose only and somewhat diminished. I could not smell mint for a while,0,0,https://twitter.com/DEJWhitehead/status/1248981458301091845
2020-04-07 15:30:28,"@sachiko_koyama @FifthSenseUK @stevenmunger @AbScentUK Yes headache, fatigue ++, mild cough, body ache getting better but had been v bad. Burning nose one day. No eye pain. Ear pain/otalgia resolving. No skin irritation",0,6,https://twitter.com/DEJWhitehead/status/1247547296876822528
2020-04-01 12:50:21,Nasopharyngeal swab anatomy #COVIDー19 taken from Clinical Anatomy of the Nose Johannes Lang translated by P.M.Stell a true polymath @ThiemeUK #NHS @ENT_UK @ENT_AudsNews @RCSEd @RCSnews @CDCgov @NEJM @bmj_latest https://t.co/AdkCZ6VeKG,7,19,https://twitter.com/DEJWhitehead/status/1245332674169929729
