twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
183427957,troll91294,Thu Aug 26 23:58:22 +0000 2010,False,,258,629,12562,2199
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-25 22:44:55,"@Rose_Moru It is scary and I do regret it but at the same time I’m not in so much agonizing pain but it depends on what you want to do, I had to beg my doctors to remove mine they didn’t want to because I was so young. Do what you think is best.",0,1,https://twitter.com/troll91294/status/1265051247234764801
2020-05-25 22:40:26,"@__Resmind It’s different for other people though to some people have endometriosis and have no pain they can even be at stage four and have no pain, me I was at stage III and I had so much pain it depends on the person though and how they can deal pain.",0,1,https://twitter.com/troll91294/status/1265050116911742979
2020-05-25 22:38:59,"@__Resmind Well having very heavy bleeding or not heavy bleeding but a lot of pain, pain can be so bad that you can barely breathe and then on top of that cyst rupturing, and sometimes your periods can last up to 2 to 3 months which I was losing too much blood so I had to go to hospital",0,1,https://twitter.com/troll91294/status/1265049752195956738
2020-05-25 22:32:36,"@__Resmind @StarTheWerewolf I was pretty much in pain since the age of 10 to the age of 25. Still have some pains here and there, because I still have some endometriosis inside of me there’s a couple on my bladder, but they couldn’t do anything because that was dangerous to remove.",0,2,https://twitter.com/troll91294/status/1265048149447643142
2020-05-25 22:29:35,"@__Resmind @StarTheWerewolf I was 10 years old when I started developing pain and they finally figured out what I had at the age 17. So it took them seven years to figure out what was wrong, and I’m 25 right now and I have no more reproductive organs😥",0,1,https://twitter.com/troll91294/status/1265047389582372870
2020-05-25 17:38:30,"@StarTheWerewolf I wouldn’t get an IUD made things a lot worse for me, I know I was in a lot of pain but sometimes I still regret getting rid of my reproductive organs. So if you do get yours removed be ready for a bumpy ride a lot of emotions regret hormone pills, I still have some endo in me.",0,2,https://twitter.com/troll91294/status/1264974135198957570
2020-05-25 17:16:17,@StarTheWerewolf So if you ever want to talk I am here for you. I understand the pain very well.,0,3,https://twitter.com/troll91294/status/1264968543453556736
2020-05-25 17:14:44,"@StarTheWerewolf I had endometriosis and cyst on my ovaries the pain was so unbearable that I got all my reproductive organs removed and I’m only 25, so I understand your pain. Got my right ovary removed got my uterus removed and just recently on March 3 I got my left ovary removed",0,3,https://twitter.com/troll91294/status/1264968153555238913
2020-05-19 22:35:10,@ArtistorShit2 My pain is always constant even when I had cyst on my ovaries and also endometriosis on top of that. But since I don’t have any of those anymore I don’t know why I’m still having this pain.,0,1,https://twitter.com/troll91294/status/1262874467354673155
