twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1226737243412320261,DontAskMeBitch2,Mon Feb 10 05:18:58 +0000 2020,False,"South Los Angeles, Los Angeles",3503,3976,4974,5871
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recovered
2020-05-22 09:11:47,Someone once told me “you look like your daddy nutted on a plant and had you”......I’ve never recovered from that comment https://t.co/lNUFCrVCJe,0,4,https://twitter.com/DontAskMeBitch2/status/1263759451309240322
tired
2020-05-21 12:43:55,@SouljaSav912 @NyaaSoyy I’m not tired of living. I’m tired of existing.,1,2,https://twitter.com/DontAskMeBitch2/status/1263450448486252544
2020-05-21 07:40:08,"I’m tired of drinking
I’m tired of smoking
I’m tired of sleeping
I’m tired of waking up",54,102,https://twitter.com/DontAskMeBitch2/status/1263373998097756161
2020-05-20 17:43:08,Text me with a damn “k” and you won’t hear from me for the rest of the day. I’m tired of repeating myself ✌🏾,1,8,https://twitter.com/DontAskMeBitch2/status/1263163363346935809
2020-05-08 01:12:43,@pancchitoo Shit. Kind of. I’m tired of getting attached 🤦🏾‍♀️,0,0,https://twitter.com/DontAskMeBitch2/status/1258565460393525248
headache
2020-05-21 07:16:10,This headache can really kiss my ass bruh 😭,0,0,https://twitter.com/DontAskMeBitch2/status/1263367966575390720
2020-05-18 01:08:42,This headache if from fucking hell 🤬😭,1,3,https://twitter.com/DontAskMeBitch2/status/1262188329170120705
Touch
2020-05-19 16:10:41,All my sugar daddy wants is to touch my ass every 6 months. He know damn well I’m never having sex with him 😂 https://t.co/SMmIxikcji,1,7,https://twitter.com/DontAskMeBitch2/status/1262777707974156291
shake
2020-05-17 17:33:53,Y’all mind if I shake the room real quick? #issaproudLGBTQ https://t.co/rJ6B8wHuft,3,62,https://twitter.com/DontAskMeBitch2/status/1262073871748026372
pain
2020-05-17 05:10:50,Imma smoke all my pain away.....,14,20,https://twitter.com/DontAskMeBitch2/status/1261886874290814977
Sneeze
2020-05-14 23:10:17,@veeenachos Punch them in the throat if they sneeze again,0,1,https://twitter.com/DontAskMeBitch2/status/1261071365521563649
taste
2020-05-13 11:04:49,Nickels taste better.... https://t.co/5GptghbxzY,3,10,https://twitter.com/DontAskMeBitch2/status/1260526405860745216
2020-05-05 21:38:09,I’d rather my titties not taste like dimes 👌🏾 https://t.co/aCyV0JGrhE,0,4,https://twitter.com/DontAskMeBitch2/status/1257786686005669889
breath
2020-05-13 05:33:23,I stay watching my phone ring these days. Ain’t nobody check on me when I was down. It’s fuck y’all til my last breath 👌🏾,0,0,https://twitter.com/DontAskMeBitch2/status/1260442996987830272
cold
2020-05-05 23:44:44,"Somebody really said ‘Bobby Shmurda is the greatest rapper of all time’. 🧐 BOY, IF YOU DONT GTF. That man is just angry. Don’t be talking about shit 🙄 cold ass dance though 🤷🏾‍♀️",2,2,https://twitter.com/DontAskMeBitch2/status/1257818544978321408
