twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
62683025,LowryOhB,Tue Aug 04 01:42:01 +0000 2009,False,"Brooklyn, NY",231,439,9818,9118
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-22 03:28:37,Thinking about all the people who have lost their lives to COVID-19 and all those who have lost someone close to them during this pandemic. I hate that this has become a situation where deaths are almost celebrated because they number in the 100s and not the thousands 😞,0,1,https://twitter.com/LowryOhB/status/1263673090711715841
2020-03-26 16:53:57,@NYGovCuomo I live in Brooklyn and can’t get tested because I’m not at the point where I need to go to the ER. How can folks with potential mild cases of covid-19 get tested?,0,0,https://twitter.com/LowryOhB/status/1243219651359891456
2020-03-23 16:01:40,Just so you know I'm not taking anti-malaria meds for COVID-19 until that shit been through an RCT.,0,2,https://twitter.com/LowryOhB/status/1242119328977375233
itchy
2020-05-20 19:14:18,to clarify though like high end sweats. That cheap cotton itchy,0,1,https://twitter.com/LowryOhB/status/1263186303195242496
sweats
2020-05-20 19:02:36,Only 26 but ready to settle in to a wardrobe of just sweats and hoodies,0,2,https://twitter.com/LowryOhB/status/1263183358428942339
diarrhea
2020-05-12 14:14:35,can you imagine your franchise player having explosive diarrhea twice in one series?!? @sixers,0,0,https://twitter.com/LowryOhB/status/1260211774806274049
nose
2020-05-07 19:37:29,@Oncoutinho @bathbodyworks @voguebritt Restocking next week and do your nose a favor and catch a smell and a 🔥 playlist to go alongside it,0,1,https://twitter.com/LowryOhB/status/1258481098214060033
smell
2020-05-07 19:37:29,@Oncoutinho @bathbodyworks @voguebritt Restocking next week and do your nose a favor and catch a smell and a 🔥 playlist to go alongside it,0,1,https://twitter.com/LowryOhB/status/1258481098214060033
Hydroxychloroquine
2020-05-05 23:51:48,"@uche_blackstock @thedoctorfelix Right Black seed oil, ginger, turmeric won’t kill you but misapplied ‘western’ treatments like hydroxychloroquine might",0,20,https://twitter.com/LowryOhB/status/1257820321790545931
pain
2020-05-01 17:59:20,"Dark Lane Demo Tapes - Tracks Ranked Part 1:

14. Pain 1993 - could have been a hit but Playboy ruined the whole song
13. War - needed a UK cat on the track
12. Deep Pockets - Drake's set the bar too high for intros, this doesn't meet the mark he's set for himself",0,1,https://twitter.com/LowryOhB/status/1256282068981612545
2020-03-25 08:56:38,Worst part so far is the splitting headache and back pain,0,2,https://twitter.com/LowryOhB/status/1242737142826180608
fever
2020-04-29 04:05:30,"@AmustbetheMANI It would entail govt using big tech and mandating tracking of vaccination, health status like if you have a fever or not etc. location tracking So if you’re suspected of having covid you would be promptly stopped. That’s basically what China does",0,0,https://twitter.com/LowryOhB/status/1255347450585518080
2020-04-01 11:51:51,Day 9 - still have a fever that sits between 99-100 degrees. On a positive I can now sleep through the night mostly.,0,14,https://twitter.com/LowryOhB/status/1245317954616647680
2020-03-30 11:49:19,This virus is diabolical. This is my 7th day with symptoms. Fever and cough are relentless. 😞,0,5,https://twitter.com/LowryOhB/status/1244592539782582273
2020-03-26 06:18:09,"Update on my condition: fever is breaking, still have extreme fatigue/weakness and chills. Chest tightness is settling in and coughing is increasing. This virus isn’t a joke",0,5,https://twitter.com/LowryOhB/status/1243059645322792961
2020-03-25 08:55:03,Came down with a fever last night and typical flu like symptoms. Been a miserable last 12 hours hoping that if this is corona that I don’t get worse.,0,6,https://twitter.com/LowryOhB/status/1242736745365606403
2020-03-15 02:33:09,I had Coronavirus like symptoms so I did a virtual visit who added me to the DOH list for review. Got a call 3 days later asking if my condition got worse which it hasn’t. They told me since I don’t have a fever I don’t meet criteria for testing. No further guidance was provided,1,6,https://twitter.com/LowryOhB/status/1239016756167008256
have a fever
2020-04-29 04:05:30,"@AmustbetheMANI It would entail govt using big tech and mandating tracking of vaccination, health status like if you have a fever or not etc. location tracking So if you’re suspected of having covid you would be promptly stopped. That’s basically what China does",0,0,https://twitter.com/LowryOhB/status/1255347450585518080
2020-04-01 11:51:51,Day 9 - still have a fever that sits between 99-100 degrees. On a positive I can now sleep through the night mostly.,0,14,https://twitter.com/LowryOhB/status/1245317954616647680
2020-03-15 02:33:09,I had Coronavirus like symptoms so I did a virtual visit who added me to the DOH list for review. Got a call 3 days later asking if my condition got worse which it hasn’t. They told me since I don’t have a fever I don’t meet criteria for testing. No further guidance was provided,1,6,https://twitter.com/LowryOhB/status/1239016756167008256
breath
2020-04-05 20:48:36,Just hit a 20 count of push ups for the first time since I had Rona. I feel like I just climbed Everest. Out of breath fml,0,7,https://twitter.com/LowryOhB/status/1246902581856788480
cough
2020-03-30 11:49:19,This virus is diabolical. This is my 7th day with symptoms. Fever and cough are relentless. 😞,0,5,https://twitter.com/LowryOhB/status/1244592539782582273
Vitamin C
2020-03-28 23:41:03,"Please keep Tylenol, Tussin/delsym, and vitamin C on deck. This 🦠 can lay you out and I was unprepared with even just a mild case. If you can keep a few gallons of water ready as well. Fortunately I had plenty of water on hand to stay hydrated.",0,12,https://twitter.com/LowryOhB/status/1244046875688341506
recover
2020-03-28 23:05:20,The test result came back positive. I have COVID-19. I thought I’d be relieved to know the result either way but it’s turned out to be a lot to process. Thanks for everyone who has been supportive and continue to be as I self isolate and recover from the virus.,1,42,https://twitter.com/LowryOhB/status/1244037890142846979
headache
2020-03-25 15:43:02,I survived the night. Still feel like shit but headache is down to a point where I finally got some sleep and body aches are not as intense.,0,4,https://twitter.com/LowryOhB/status/1242839415644454912
2020-03-25 08:56:38,Worst part so far is the splitting headache and back pain,0,2,https://twitter.com/LowryOhB/status/1242737142826180608
body ache
2020-03-25 15:43:02,I survived the night. Still feel like shit but headache is down to a point where I finally got some sleep and body aches are not as intense.,0,4,https://twitter.com/LowryOhB/status/1242839415644454912
body aches
2020-03-25 15:43:02,I survived the night. Still feel like shit but headache is down to a point where I finally got some sleep and body aches are not as intense.,0,4,https://twitter.com/LowryOhB/status/1242839415644454912
aches
2020-03-25 15:43:02,I survived the night. Still feel like shit but headache is down to a point where I finally got some sleep and body aches are not as intense.,0,4,https://twitter.com/LowryOhB/status/1242839415644454912
asymptomatic
2020-03-17 21:29:39,@HarrisonSanford Or maybe they can wait like the rest of ordinary citizens and not waste govt resources/tests on their asymptomatic bodies,0,1,https://twitter.com/LowryOhB/status/1240027544545636352
tired
2020-02-05 01:48:59,@talmonsmith @Genius Yea it’s still a tired and shallow take,0,0,https://twitter.com/LowryOhB/status/1224872515660546050
2020-02-05 01:40:11,@Genius @talmonsmith It’s a pretty tired take,0,0,https://twitter.com/LowryOhB/status/1224870301894434816
cancer
2020-01-03 19:06:59,@_NopeName American exceptionalism is a cancer that leads most Americans in to blindly thinking they are some how superior and more worthy of life than anyone else on Earth regardless of political affiliation or racial identity. It's sick,4,3,https://twitter.com/LowryOhB/status/1213174936703029248
