twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
23550534,Emilburp,Tue Mar 10 03:24:13 +0000 2009,False,I'm on Earth. I think.,698,625,1040,8943
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-21 04:29:21,"Many may know that O- is the universal blood donor, but did you know that AB+ is the universal plasma donor? I didn't know my blood type until I donated, but now that I know that I am a universal plasma donor and that I was COVID-19 positive, I am more in need now than ever... https://t.co/qUF4Lw9Mpm",0,4,https://twitter.com/Emilburp/status/1263325987917320193
2020-05-16 21:17:49,Donated a liter of my love to help fight against COVID-19 and will continue to donate until this is over. Hearing that you’re positive is one of the scariest moments of your life. Hearing that you survived and have the opportunity to help others is a reward in itself. https://t.co/WPp9nH9cJs,2,5,https://twitter.com/Emilburp/status/1261767838814965760
recovered
2020-05-16 21:18:20,"If you have tested positive, recovered and fall under the criteria to donate, then please visit https://t.co/dm13UJgsFr to find out more information and to see if you qualify to donate your convalescent plasma. Together, we can and will get through this! ❤️❤️❤️.",1,0,https://twitter.com/Emilburp/status/1261767965286023178
tested positive
2020-05-16 21:18:20,"If you have tested positive, recovered and fall under the criteria to donate, then please visit https://t.co/dm13UJgsFr to find out more information and to see if you qualify to donate your convalescent plasma. Together, we can and will get through this! ❤️❤️❤️.",1,0,https://twitter.com/Emilburp/status/1261767965286023178
2020-04-30 00:32:19,"The amount of characters can not fully express what I need to say. To those who have tested positive and recovered, please check out https://t.co/4PC0DaFAjS https://t.co/jx9Jg0agP1",2,4,https://twitter.com/Emilburp/status/1255656189548916738
2020-04-30 00:25:43,"5 weeks ago, I was a statistic. I tested positive for COVID-19. I was scared. Scared at how the disease can escalate but more so scared of infecting my loved ones at home. Thankful and blessed it was mild and only lasted for a week. Now I am given the opportunity to give back ❤️. https://t.co/LODTGLsOko",4,24,https://twitter.com/Emilburp/status/1255654529267150848
positive for Covid
2020-04-30 00:25:43,"5 weeks ago, I was a statistic. I tested positive for COVID-19. I was scared. Scared at how the disease can escalate but more so scared of infecting my loved ones at home. Thankful and blessed it was mild and only lasted for a week. Now I am given the opportunity to give back ❤️. https://t.co/LODTGLsOko",4,24,https://twitter.com/Emilburp/status/1255654529267150848
