twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
1082839907821912065,LendyAlejandra,Wed Jan 09 03:22:07 +0000 2019,False,"San Fernando, CA",231,332,12772,2774
 
created_at,full_text,retweet_count,favorite_count,twitter_url
breath
2020-04-28 00:12:51,"@bee_541 Take a deep breath In as soon as they do it and hold it, it’s really uncomfortable but it will be done quick",0,0,https://twitter.com/LendyAlejandra/status/1254926517961883648
tested positive
2020-04-28 00:10:35,@bee_541 I got tested positive yesterday 😔 I hope he doesn’t 🙏🏽,0,1,https://twitter.com/LendyAlejandra/status/1254925945879879680
2020-04-27 16:46:50,@AngieRenteria3 I tested positive for covid they sent me home tho since their mild symptoms 😔,0,0,https://twitter.com/LendyAlejandra/status/1254814272963706880
positive for Covid
2020-04-27 16:46:50,@AngieRenteria3 I tested positive for covid they sent me home tho since their mild symptoms 😔,0,0,https://twitter.com/LendyAlejandra/status/1254814272963706880
mild symptoms
2020-04-27 16:46:50,@AngieRenteria3 I tested positive for covid they sent me home tho since their mild symptoms 😔,0,0,https://twitter.com/LendyAlejandra/status/1254814272963706880
covid19
2020-04-27 05:58:15,That covid19 swab ain’t no joke 😖,0,5,https://twitter.com/LendyAlejandra/status/1254651050134396929
pain
2020-02-19 16:51:18,Debating if I should go to work. a Bih in pain yo 😣,0,0,https://twitter.com/LendyAlejandra/status/1230173023522742272
2020-02-11 08:02:19,At times I hate having a high tolerance for pain because I don’t know when I should run to the hospital🤦🏽‍♀️,0,1,https://twitter.com/LendyAlejandra/status/1227140796064899072
2020-01-11 16:57:41,"biggest waste of time u could ever do in your life is spending time to listen the words that bring u down by the people who don’t even matter. What do they know? They don’t get to live the life you have, feel the joy and pain you felt, have the same past or the same future as u.",1,5,https://twitter.com/LendyAlejandra/status/1216041501274148864
cold
2020-01-13 15:35:52,Myah “mom check if we got school today because it’s cold outside” 😂,0,7,https://twitter.com/LendyAlejandra/status/1216745687427076097
