twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
29417304,deray,Tue Apr 07 09:38:56 +0000 2009,True,Wakanda,1045149,965,56834,255723
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-23 08:11:48,I’m so tired but just cannot fall back to sleep.,17,350,https://twitter.com/deray/status/1264106745238106112
2020-04-17 01:19:28,"Also, I don’t think I can take anymore naps. I’m a little tired of watching TV. I’ve loved FT’ing with my niece &amp; nephew, sister, &amp; friends. I’m obsessed with the HouseParty app and overwhelmed by the IG Live craze. If you have any suggestions on how to remain sane, let me know.",193,4345,https://twitter.com/deray/status/1250957013275889666
smell
2020-05-20 19:16:00,"So, I don't think I love almond milk. I've been making smoothies with it for the past 4ish weeks but I couldn't smell or taste anything. And now that my smell and taste have returned, I think this might be the end of almond milk for me.",25,1896,https://twitter.com/deray/status/1263186732515831809
2020-05-19 13:18:27,"I tested positive for COVID19 the 3rd week of April. I’m now fully COVID-free. 

It’s good to be able to smell &amp; taste again. I had a long shedding period - it lingered even as I wasn’t spreading it.

Thanks to all who provided care &amp; for the ease of setting up this house visit. https://t.co/SUyYPyWq8R",596,10737,https://twitter.com/deray/status/1262734364179410944
2020-05-02 10:38:21,@rianalynn taste/smell is still slowly returning. taste is better than smell at the moment.,0,16,https://twitter.com/deray/status/1256533477912186882
taste
2020-05-20 19:16:00,"So, I don't think I love almond milk. I've been making smoothies with it for the past 4ish weeks but I couldn't smell or taste anything. And now that my smell and taste have returned, I think this might be the end of almond milk for me.",25,1896,https://twitter.com/deray/status/1263186732515831809
2020-05-20 15:27:40,Now that I can taste again I just want to go buy cake.,18,1813,https://twitter.com/deray/status/1263129270584520704
2020-05-19 13:18:27,"I tested positive for COVID19 the 3rd week of April. I’m now fully COVID-free. 

It’s good to be able to smell &amp; taste again. I had a long shedding period - it lingered even as I wasn’t spreading it.

Thanks to all who provided care &amp; for the ease of setting up this house visit. https://t.co/SUyYPyWq8R",596,10737,https://twitter.com/deray/status/1262734364179410944
2020-05-02 10:38:21,@rianalynn taste/smell is still slowly returning. taste is better than smell at the moment.,0,16,https://twitter.com/deray/status/1256533477912186882
2020-04-23 23:45:55,"@ArykanotErika just no real taste or smell, otherwise good.",0,0,https://twitter.com/deray/status/1253470187699015681
2020-04-17 01:19:27,"I just tested positive for COVID-19. I lost my sense of taste about a week ago — a mild symptom, the doctor said. Quarantine has now turned into isolation. Luckily, taste is beginning to come back. The doc expects me to recover fully, told me to call if I have any chest pains.",3754,55369,https://twitter.com/deray/status/1250957010532696066
covid-19
2020-05-19 13:18:28,"I’m also reminded that there’s so much about COVID-19 that even the doctors still don’t know. 

The anti-body test results were good, too.

After multiple tests, I’m happy this is over. &amp; shout-out to @CityMD for having such a smooth &amp; easy process. #StayHome",73,1475,https://twitter.com/deray/status/1262734366322708486
2020-05-19 04:56:20,Texas Was One of the First States to Reopen. It Just Had Its Largest Single-Day Jump In COVID-19 Cases https://t.co/GES1dd3CUu,153,287,https://twitter.com/deray/status/1262608000096878593
2020-05-14 18:09:03,"What is a COVID-19 surcharge? Why some restaurants are adding an extra fee to your bill.
https://t.co/eDT3CZkxET",17,33,https://twitter.com/deray/status/1260995554621997057
2020-05-01 18:26:09,Lawmakers say data on how many COVID-19 patients identify as LGBTQ will be critical to the community's overall health amid the pandemic. https://t.co/nlOkqV5o7z,5,17,https://twitter.com/deray/status/1256288818036080644
2020-05-01 18:23:47,This gig worker emergency fund is giving away no-strings-attached COVID-19 relief checks https://t.co/EkuHjv06B3,21,37,https://twitter.com/deray/status/1256288222931451906
2020-04-29 03:17:39,Apple Maps now shows COVID-19 testing sites https://t.co/AGW4oQFpkL,186,471,https://twitter.com/deray/status/1255335411720863746
2020-04-28 20:46:14,Mike Pence visits Mayo Clinic without mask despite Covid-19 https://t.co/eBcaYTbVGW,22,94,https://twitter.com/deray/status/1255236905844834305
2020-04-26 14:47:11,"It was easy for my step brother to get tested for COVID-19 at Johns Hopkins. Then they called &amp; said he was positive. &amp; now they’ve set up a virtual check-up with a doctor for tomorrow which is great. 

He has asthma tho. How do they check his lungs &amp; oxygen virtually?",55,855,https://twitter.com/deray/status/1254421774655242242
2020-04-25 17:10:46,I just spoke with my step-brother &amp; he just tested positive for COVID-19 in Baltimore. He got easily tested at Johns Hopkins &amp; is now in isolation. This is close to all of us.,53,978,https://twitter.com/deray/status/1254095519372148736
tested positive
2020-05-19 13:18:27,"I tested positive for COVID19 the 3rd week of April. I’m now fully COVID-free. 

It’s good to be able to smell &amp; taste again. I had a long shedding period - it lingered even as I wasn’t spreading it.

Thanks to all who provided care &amp; for the ease of setting up this house visit. https://t.co/SUyYPyWq8R",596,10737,https://twitter.com/deray/status/1262734364179410944
2020-05-03 00:43:46,"Since I announced that I tested positive for COVID19 &amp; lost my sense of taste/smell, several people have reached out to me saying that they also lost their taste/smell but didn’t think anything of it. 

And my response every time is GO GET TESTED.",427,3875,https://twitter.com/deray/status/1256746234884370433
2020-04-25 17:10:46,I just spoke with my step-brother &amp; he just tested positive for COVID-19 in Baltimore. He got easily tested at Johns Hopkins &amp; is now in isolation. This is close to all of us.,53,978,https://twitter.com/deray/status/1254095519372148736
2020-04-17 01:19:27,"I just tested positive for COVID-19. I lost my sense of taste about a week ago — a mild symptom, the doctor said. Quarantine has now turned into isolation. Luckily, taste is beginning to come back. The doc expects me to recover fully, told me to call if I have any chest pains.",3754,55369,https://twitter.com/deray/status/1250957010532696066
positive for Covid
2020-05-19 13:18:27,"I tested positive for COVID19 the 3rd week of April. I’m now fully COVID-free. 

It’s good to be able to smell &amp; taste again. I had a long shedding period - it lingered even as I wasn’t spreading it.

Thanks to all who provided care &amp; for the ease of setting up this house visit. https://t.co/SUyYPyWq8R",596,10737,https://twitter.com/deray/status/1262734364179410944
2020-05-03 00:43:46,"Since I announced that I tested positive for COVID19 &amp; lost my sense of taste/smell, several people have reached out to me saying that they also lost their taste/smell but didn’t think anything of it. 

And my response every time is GO GET TESTED.",427,3875,https://twitter.com/deray/status/1256746234884370433
2020-04-25 17:10:46,I just spoke with my step-brother &amp; he just tested positive for COVID-19 in Baltimore. He got easily tested at Johns Hopkins &amp; is now in isolation. This is close to all of us.,53,978,https://twitter.com/deray/status/1254095519372148736
