twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
280572451,sierramoniquee,Mon Apr 11 16:03:27 +0000 2011,False,📍 nola,1369,1297,9615,126144
 
created_at,full_text,retweet_count,favorite_count,twitter_url
tired
2020-05-28 20:52:33,Girl that’s how tired I am😭😂 https://t.co/6W962o1lN4,0,0,https://twitter.com/sierramoniquee/status/1266110132787838977
2020-05-27 04:07:16,@Coriebeeee_ I’m tired of it. 😭,1,0,https://twitter.com/sierramoniquee/status/1265494756697792513
2020-05-20 01:45:15,I been so tired 😭,0,0,https://twitter.com/sierramoniquee/status/1262922300279517186
2020-05-12 18:35:30,The ability to be able to reach a point of washing my back without getting tired https://t.co/mdjuVmzAMt,0,0,https://twitter.com/sierramoniquee/status/1260277438673825792
2020-05-10 05:27:03,@Fruitsss3 I know she is tired 😩😂,0,0,https://twitter.com/sierramoniquee/status/1259354243003187200
2020-05-09 21:30:09,I am so fucking tired of this shit! RIP beautiful!💕 https://t.co/YcJoqQT1CR,1,0,https://twitter.com/sierramoniquee/status/1259234226949554179
2020-05-07 23:33:58,Let me join in on this zoom. I be tired man. 🥺,0,0,https://twitter.com/sierramoniquee/status/1258540608618000385
2020-05-07 16:09:22,@emma_n_ken Girl I am tired of these people sis😩,0,0,https://twitter.com/sierramoniquee/status/1258428720659955714
2020-05-06 20:37:39,So what’s an appropriate age to stop having twitter. This was a discussion between me and some friends. I said “whenever your hands get tired of tweeting”🤣,0,0,https://twitter.com/sierramoniquee/status/1258133849265049600
2020-05-06 15:26:49,Yes because I’m tired of hitting people cars cause I don’t have a parking spot😭 https://t.co/KADCzJfPLO,2,0,https://twitter.com/sierramoniquee/status/1258055626321727488
2020-05-02 22:34:45,I’m so tired of these bingo games. Just take a day off. 😭,1,0,https://twitter.com/sierramoniquee/status/1256713768303820801
shake
2020-05-23 19:15:35,We making a shake back💪🏾 https://t.co/Q45bFUrAFP,0,0,https://twitter.com/sierramoniquee/status/1264273790650941442
2020-05-22 14:07:26,@QueenNawf1 Cousin what shake down? I was sleep!👀🤣,0,0,https://twitter.com/sierramoniquee/status/1263833853472407556
2020-05-08 04:37:04,@Tricey_J_ Listen with Jhenè album I was all in. Imma listen to it again Hasizzle then gave me them beats and I can’t shake it 🤣🤣🤣🤣,0,0,https://twitter.com/sierramoniquee/status/1258616888294326272
nosey
2020-05-20 21:42:21,I’m being nosey but Dr Bowling can throw a few balls at me if he would like 🥰😂 https://t.co/zLOIYFHz9d,0,1,https://twitter.com/sierramoniquee/status/1263223563001171968
headache
2020-05-20 16:42:40,I got a headache man. 😩,0,0,https://twitter.com/sierramoniquee/status/1263148144050626560
chill
2020-05-17 14:27:46,Just want to relax and chill today. 💙,2,2,https://twitter.com/sierramoniquee/status/1262027030851436544
covid-19
2020-05-15 12:51:02,It’s been 31 days and I’m officially COVID-19 free. Thank you God. 😭❤️,10,165,https://twitter.com/sierramoniquee/status/1261277912902316033
2020-05-14 19:04:31,Listen if you didn’t have COVID-19 you can’t tell no one who had it how to feel or how to move around. That shit is not a joke. I wouldn’t wish that anyone.  It’s always the hoes who don’t even go to their yearly check ups trying to give advice. Get the fuck.,4,6,https://twitter.com/sierramoniquee/status/1261009513827663872
2020-05-11 01:15:14,Y’all know where there will be drive Thur testing for covid-19 Tuesday?,0,0,https://twitter.com/sierramoniquee/status/1259653256080494592
2020-05-10 18:05:14,Y’all looking real before covid-19 today and how?😂😭🥰,0,0,https://twitter.com/sierramoniquee/status/1259545044526170113
2020-05-07 15:57:29,I just hope when we free to go back out into these streets that this COVID-19 is completely gone. I would hate for anyone to experience it and us being set back.,0,0,https://twitter.com/sierramoniquee/status/1258425732415569920
2020-05-03 15:06:16,Business owners I understand that orders may be delayed because of COVID-19 but please state that. Thanks ☺️,0,1,https://twitter.com/sierramoniquee/status/1256963292591001602
smell
2020-05-12 17:06:15,I can’t wait to be able to smell slip some candles in my bag once bath and body works open up😌,0,0,https://twitter.com/sierramoniquee/status/1260254976493924354
2020-05-04 03:26:26,I just love the smell of burning candles. 😍😩,0,0,https://twitter.com/sierramoniquee/status/1257149561459617792
pain
2020-05-10 05:12:11,"Sending love to anyone who lost their mother. I know your exact pain but always hold on to your memories. Know that it is okay to feel angry, sad, and hurt but try to surround yourself with those that you love and those that love you. Pray, visit your mom grave, stay strong.❤️",3,5,https://twitter.com/sierramoniquee/status/1259350499167535113
shaking
2020-05-08 23:52:05,@bawseygal Thank you sis. Yes. Shaking back. 😘,0,0,https://twitter.com/sierramoniquee/status/1258907556254298114
sweating
2020-05-08 20:23:51,Bitch take off all your clothing and sweating 😭 https://t.co/wGvMetDeBj,0,0,https://twitter.com/sierramoniquee/status/1258855153479946244
Itching
2020-05-06 03:52:31,I’m fucking itching from reading this! https://t.co/vtlVfzq3is,0,0,https://twitter.com/sierramoniquee/status/1257880898332172288
