twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
21889693,BirgitC,Wed Feb 25 17:19:10 +0000 2009,False,Sussex ,3950,1995,44227,15901
 
created_at,full_text,retweet_count,favorite_count,twitter_url
fieber
2020-05-28 11:42:33,"@miriam_vollmer Ja, bin ca 60% ok, Atemprobleme etc pp. Mein Mann hatte schlimmen Relapse am WE mit hohem Fieber &amp; noch immer gastro Probleme. Wir sind aber nicht allein, Tausende von uns: https://t.co/sBDrlmFv1w

#covid19ESP   #covid1in20 #apresJ20 #apresJ60 #MitCoronaLeben  #CovidPersistente",5,11,https://twitter.com/BirgitC/status/1265971722261598208
2020-05-13 20:43:47,"@thesuingone Herzrasen, Fieber fuer 4 und dann nochmal 2 Wochen, Puls 140, hoher Blutdruck (fuer mich) 160/100, dann Atmung schwer, Brennen in der Lunge, extremes Stechen in den Rippen, Kreuzschmerzen, Schmerzen in der Schulter, Druck auf den Zaehnen, Geschmacks- &amp; Geruchssinn verzerrt (2)",0,4,https://twitter.com/BirgitC/status/1260672108616712193
2020-04-14 08:59:33,"@sabinedoering @Marius_Raabe Danke!!  Bitte nicht auf die leichte Schulter nehmen und ganz vorsichtig sein.  Symptome variieren sehr je nach Person, aber ich hatte ueber 3 Wochen lang Fieber und konnte teils kaum aus dem Bett kriechen (keine Uebertreibung, leider).",0,5,https://twitter.com/BirgitC/status/1249985635450081280
fever
2020-05-27 08:20:25,@katemeredithp @StarredBastard @WHO @cdc Nor is the @NHSuk who are still telling us about fever and continuous cough. @BorisJohnson  is clearly not on top of things in the UK either. He looks rather unwell and I wonder about the neurological effects Covid has had / is having on him.  Road to nowhere...,0,2,https://twitter.com/BirgitC/status/1265558464857812996
2020-05-27 08:18:14,"@katemeredithp Hmm, likely. My husband is working (remotely but fully) &amp; had several very long days last week where he worked 15h or so. Then the relapse with tightness in chest, heart beat racing, fatigue, high fever, GI. Fever down, GI issues massive. It's relentless. I send you MUCH LOVE!!",0,2,https://twitter.com/BirgitC/status/1265557915898912768
2020-05-26 06:51:23,"@katemeredithp Oh Kate. My husband had the same last week and then had awful GI symptoms with high fever for the last three days. Husband and I are both on day 72 of Covid (recovery). Sending you much, much love.",0,7,https://twitter.com/BirgitC/status/1265173668986060801
2020-05-24 12:25:06,"Husband having a #covid relapse with high fever &amp; bad GI symptoms. 

7 year old son just said: ""It seems like all the happiness has been sucked out of the world"".  

I have SOB, dizziness myself, headache, close to breaking down in tears.  Day 70 with Covid.",86,342,https://twitter.com/BirgitC/status/1264532879104770048
2020-05-15 20:35:22,"""As more information becomes available, the {UK] government’s Covid model seems increasingly out of date. Many Covid patients do not develop a fever and cough. Instead they get muscle ache, a sore throat and headache. ""  Yes, agree. I never really coughed much.",0,14,https://twitter.com/BirgitC/status/1261394767843229696
2020-05-13 21:23:09,"@LawyerKostya The official NHS information is not helping... makes no sense. Fever and cough, over after 7 days. Sure, as long as we all stay alert...  I am bracing myself for the second wave.",0,0,https://twitter.com/BirgitC/status/1260682015571148801
2020-05-09 11:38:34,"@hsmall @atheist_punk1 Hearing such drivel really upsets me. I have never been so ill in my whole life, I'm breathless, dizzy, have fever etc on day 55 of this awful virus. ""Supernatural""? I cannot believe someone talking like that is an official advisor to anyone. Awful.",0,1,https://twitter.com/BirgitC/status/1259085348858204161
2020-04-21 21:22:16,"@robsmith115 @ElenaBrowett @FernRiddell At the peak of the virus, middle 18 days, I could feel it like electricity or evil bees under my skin moving up and down my whole body, that combined with the fever and dizziness.  I was so weak at some point, I was crawling. Just crazy.  Is it the neural system, you think?",0,1,https://twitter.com/BirgitC/status/1252709261798506497
2020-04-15 10:59:24,"@lilianedwards ... sinus pain at the beginning, aches and cramps, raised temp and fever on and off, massive exhaustion, no cough but trying to clear throat all the time, headache...?",0,0,https://twitter.com/BirgitC/status/1250378182555025415
high fever
2020-05-27 08:18:14,"@katemeredithp Hmm, likely. My husband is working (remotely but fully) &amp; had several very long days last week where he worked 15h or so. Then the relapse with tightness in chest, heart beat racing, fatigue, high fever, GI. Fever down, GI issues massive. It's relentless. I send you MUCH LOVE!!",0,2,https://twitter.com/BirgitC/status/1265557915898912768
2020-05-26 06:51:23,"@katemeredithp Oh Kate. My husband had the same last week and then had awful GI symptoms with high fever for the last three days. Husband and I are both on day 72 of Covid (recovery). Sending you much, much love.",0,7,https://twitter.com/BirgitC/status/1265173668986060801
2020-05-24 12:25:06,"Husband having a #covid relapse with high fever &amp; bad GI symptoms. 

7 year old son just said: ""It seems like all the happiness has been sucked out of the world"".  

I have SOB, dizziness myself, headache, close to breaking down in tears.  Day 70 with Covid.",86,342,https://twitter.com/BirgitC/status/1264532879104770048
cough
2020-05-23 17:46:52,"@preshitorian @BorisJohnson Yes, hit &amp; miss with NHS GPs. Private ones seem to know everything (have access through my work). One NHS GP told me that GI symptoms are not Covid, only(!) continuous cough and fever. I told him I was reading the Lancet &amp; he then connected me to local Covid hub, that GP was good",0,1,https://twitter.com/BirgitC/status/1264251464031129600
2020-05-15 22:23:47,"@DrAlexConcorde Similarly, German official list of Covid symptoms differs strongly from NHS info - but why?: cough (50% of patients), fever( 41%), cold (21%), pneumonia (2.9%) &amp; sore throat, shortness of breath, headache &amp; body aches, no appetite, weight loss, nausea, abdominal pain, (1/2)",2,1,https://twitter.com/BirgitC/status/1261422051300118528
2020-04-22 21:12:30,@AlexAnstey She is actually very good - I shouldn't kill the messenger. I already had awful continuous dry cough end of Jan/Feb this year where my lungs felt like I had swallowed talcum powder and no this thing - day 37.   Just so exhausted by being unwell ...,0,1,https://twitter.com/BirgitC/status/1253069188752646145
2020-04-21 22:19:49,"@robsmith115 @ElenaBrowett @FernRiddell My friends spoke to a private French GP, who recommended it. I felt it kept the cough I wanted to start at bay and made me breath more easily. My lung function improved too. Shower (and smell of shower gel I usually love) also made me feel like suffocating.  So I can relate!",0,0,https://twitter.com/BirgitC/status/1252723742431731714
2020-04-21 21:41:27,"@robsmith115 @ElenaBrowett @FernRiddell Had no cough but had to clear my throat constantly, throat hurt, fever, aches, taste/smell funny, GI issues, sinuses pain. Only when I read German info &amp; heard friends who had been in contact with French GP did I realise that 40% have no cough. Lungs hurt though &amp; brainfog, dizzy",0,1,https://twitter.com/BirgitC/status/1252714086779027458
2020-04-18 09:35:33,"@lorelixenberg The first thing in Jan/Feb was a cold &amp; cough I think, what I have (had) now is Covid.",0,0,https://twitter.com/BirgitC/status/1251444247431127041
2020-04-18 09:29:12,"@lorelixenberg Thank you Lore. It's a new disease, I understand that. Had this weird, endless tickly dry cough at end Jan/Feb after having been in the lift with a Chinese delegation where my lungs felt tight &amp; I ended up with breathing problems after 2 weeks. My lungs feel similar now. Oh dear.",0,0,https://twitter.com/BirgitC/status/1251442649468407808
2020-04-15 10:59:24,"@lilianedwards ... sinus pain at the beginning, aches and cramps, raised temp and fever on and off, massive exhaustion, no cough but trying to clear throat all the time, headache...?",0,0,https://twitter.com/BirgitC/status/1250378182555025415
2020-04-12 11:57:34,@miafia @M_Wilson_FL @kealchambers @peterjukes @OxfordDiplomat Let's hope we are now all finally recovering.  I just don't think we will be immune.  I had a lingering cold with awful barking cough already from 24 Jan to mid Feb where I had breathing problems too (&amp; had been in a lift with Chinese delegation at my office on 21 Jan).,0,0,https://twitter.com/BirgitC/status/1249305658962444288
pain
2020-05-23 14:48:44,"@ClaireHastie1 @DominicMoss13 @RTF0D3N @j4mesrenfrew @preshitorian @manx_maid @PaulGarnerWoof Same to you Claire.  Husband so far had no GI or lung stabbing pain symptoms, he has got them now, all new. I had them for much longer. So hard to stay positive, it's so scary at times #covid1in20",0,3,https://twitter.com/BirgitC/status/1264206635498684417
2020-05-12 21:59:25,"@manx_maid @DominicMoss13 My kind Covid GP suggested I have that.  Backpain, stabbing pain ribs, tight chest.  Joys (huh) of Covid.",0,2,https://twitter.com/BirgitC/status/1260328753177255936
2020-05-08 20:37:11,"@MaksA90514125 I got the sharp burning pain in my ribcage to the left, lower end of my rips, side and front.",0,0,https://twitter.com/BirgitC/status/1258858506989588481
2020-05-08 20:04:14,@lancebloke83 @hughesthenews I have chest and back pain too.,0,0,https://twitter.com/BirgitC/status/1258850216624689160
2020-05-08 15:49:19,"@juliettet83 @LtotheJtotheP I had 10 really good days in between with just some breathlessness and pain in my lungs and it then came back with a vengeance. Please take it easy, don't rush back to work and sending you a hug. 1940s music is a great idea.  x",0,2,https://twitter.com/BirgitC/status/1258786064262709249
2020-05-07 09:37:18,"@Jodie11957620 A slight burning sensation on my chest, on my skin, not so much on my face but buzzing &amp; fizzing through my whole body.  I also had ""ad chest pain and squeezing round chest and rib cage and short of breath as well as not eating"". Lost over 10kg since 16 March. Get better!! Hug.",0,2,https://twitter.com/BirgitC/status/1258330054758739968
