twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
15881516,marvinlwilliams,Sun Aug 17 12:50:13 +0000 2008,False,"Haslett, MI",5061,5567,31355,22934
 
created_at,full_text,retweet_count,favorite_count,twitter_url
pain
2020-05-24 23:27:56,@nowuor66 I can hardly bear the pain of this suffering and persecution. 😂 😂 I need a brother to help bear this load. 😂,0,1,https://twitter.com/marvinlwilliams/status/1264699686637785089
2020-04-27 03:40:33,"A few takeaways from The Last Dance:

1. Acceptance is powerful (Rodman)
2. Great leaders get people to change (Phil/Michael)
3. Great leaders don't want to be great alone (MJ/Pip)
4. Sportsmanship matters (Detroit)
5. Joy is on the other side of pain (91 Ship)
6. ESPN hates us",2,18,https://twitter.com/marvinlwilliams/status/1254616397679931393
positive for Covid
2020-05-10 01:21:55,"@BrianKDodd @samchand Absolutely! @BrianKDodd, check our my latest blog post about my experience of testing positive for COVID19. Maybe it can help someone. Thanks.",0,1,https://twitter.com/marvinlwilliams/status/1259292549858168832
2020-05-09 16:42:37,"When I tested positive for COVID19, I experienced waves of emotions - sadness, discouragement, and fear. But, when I look over my experience, I realize God taught me 5 unexpected lessons.  https://t.co/JHXHCTKeo3 via @marvinlwilliams",15,53,https://twitter.com/marvinlwilliams/status/1259161866271629314
2020-04-01 22:44:37,"Hey, good people! Just want you all to know that my wife and I tested positive for COVID19. We assume that our entire family has been exposed. We are recovering very well. My wife and son have been fever-free for over three days. This is good. Please pray for us. #RELENTLESS",34,1196,https://twitter.com/marvinlwilliams/status/1245482226072027140
tested positive
2020-05-09 16:42:37,"When I tested positive for COVID19, I experienced waves of emotions - sadness, discouragement, and fear. But, when I look over my experience, I realize God taught me 5 unexpected lessons.  https://t.co/JHXHCTKeo3 via @marvinlwilliams",15,53,https://twitter.com/marvinlwilliams/status/1259161866271629314
2020-04-01 22:44:37,"Hey, good people! Just want you all to know that my wife and I tested positive for COVID19. We assume that our entire family has been exposed. We are recovering very well. My wife and son have been fever-free for over three days. This is good. Please pray for us. #RELENTLESS",34,1196,https://twitter.com/marvinlwilliams/status/1245482226072027140
painful
2020-04-21 18:25:39,"@petescazzero Yes, Sir! This is so good. God is always birthing something good out of our painful sorrow. Thanks, @petescazzero.",0,1,https://twitter.com/marvinlwilliams/status/1252664811487473664
cold
2020-04-13 23:24:50,"@AdamRuffPhoto Man, you’re not alone. The cold and overcast weather isn’t helping either.",0,7,https://twitter.com/marvinlwilliams/status/1249841003370033152
2020-03-08 21:14:48,Our offense has gone cold over the last several minutes. Stop settling for 3s and get the ball inside to the Bigs.,2,14,https://twitter.com/marvinlwilliams/status/1236762316315770882
smell
2020-04-12 20:00:51,"@danielfusco @danielfusco, thanks for asking. We feel great. My taste and smell returned a few days ago, I was able to work out for the first time in fourteen days and I preached twice this weekend. Thanks for checking in on me. It means a lot. Seriously. Happy Resurrection Sunday!",0,2,https://twitter.com/marvinlwilliams/status/1249427280784474119
2020-04-06 13:44:59,"Good morning, friends. Thank you for the prayers and well wishes. We are recovering well. Taste and smell have almost fully returned (that was the craziest part), my wife has been fever free for 8 days and I’m working on day four. We are feeling stronger each day. 🙏🏾 #RELENTLESS https://t.co/pDO43xNwCp",9,515,https://twitter.com/marvinlwilliams/status/1247158361113669632
