twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
241400800,SocialWorkItOut,Sat Jan 22 04:53:24 +0000 2011,False,"Baltimore, MD",24932,22754,6752,8294
 
created_at,full_text,retweet_count,favorite_count,twitter_url
weary
2020-05-27 11:05:11,Today’s moment of levity is brought to you by a weary Waldo 😉 https://t.co/AUclIBk8XF,0,2,https://twitter.com/SocialWorkItOut/status/1265599928895713280
diabetes
2020-05-26 22:50:48,"🔥🤬🤯 ""Donald Trump wants older voters with diabetes to repay him in November for a deal his administration struck to lower their insulin costs..."" 🤬🤯🔥

https://t.co/lkJm4SwqUa",2,9,https://twitter.com/SocialWorkItOut/status/1265415115811311617
Hydroxychloroquine
2020-05-25 23:37:24,"""The @WHO says it is...halting its clinical trials that use #hydroxychloroquine to treat #COVID-19... the medical journal @TheLancet reported on Friday that patients getting hydroxychloroquine were dying at higher rates than other #coronavirus patients."" https://t.co/kdCgQtBDqI",3,4,https://twitter.com/SocialWorkItOut/status/1265064456154943496
2020-04-05 16:47:10,"""...a study just published in a French medical journal provides new evidence that hydroxychloroquine does not appear to help the immune system clear the coronavirus from the body."" 

https://t.co/1LlZU3hV33",6,6,https://twitter.com/SocialWorkItOut/status/1246841822732857357
2020-04-04 21:49:59,Ummmmm...... Do the makers of hydroxychloroquine have Trump on their payrolls or something? Why does he keep bringing the medicine up!? #TrumpPressBriefing https://t.co/MhfibKvcG0,16,58,https://twitter.com/SocialWorkItOut/status/1246555640329355266
drug
2020-05-22 18:01:56,"""Hospitalized #COVID19 patients who were treated with #hydroxychloroquine, an anti-malaria drug touted by President Trump, had a much higher risk of death than those who were not, according to a new study of 96,000 patients."" 

https://t.co/XNbqbE1myY",2,2,https://twitter.com/SocialWorkItOut/status/1263892866490929153
2020-05-05 20:59:23,"“A federal scientist (Dr. Bright) who says he was ousted from his job amid a dispute over an unproven malaria drug promoted by President Trump said on Tuesday that he was pressured to steer contracts to the clients of a well-connected consultant.” 

https://t.co/6JsrXkEY4r",1,0,https://twitter.com/SocialWorkItOut/status/1257776929803063296
2020-04-21 22:26:28,"""A malaria drug widely touted by @realDonaldTrump for treating the new #coronavirus showed no benefit in a large analysis of its use... There were more deaths among those given #hydroxychloroquine versus standard care, researchers reported."" 

https://t.co/AjN8ued8WZ",2,1,https://twitter.com/SocialWorkItOut/status/1252725417334714369
2020-03-31 00:46:45,"""The death of Patrick Jones is the first #COVID19-related death of an inmate in the federal prison system... Jones was locked up on drug charges at a minimum-security prison."" 💔💔💔

https://t.co/mRoVcON83L",2,1,https://twitter.com/SocialWorkItOut/status/1244788186343264256
